기자|reporter|記者
그쪽|that, that way; you|
달리다|to run; to hang;  to depend on|
재미있게|interestingly, in a fun way|
못|not; nail|
하얗다|to be white|
주인|owner, employer|主人
아무나|anybody|
기억나다|to remember, recollect|
지난달|last month|
군데|place, spot|
사탕|candy|砂糖
어떻다|to be the manner in which something is done|
귀|ear|
이따가|a little later|
잃다|to lose (something)|
교회|church|敎會
그릇|bowl, container|
펴다|to open, unfold, spread|
목소리|voice|
소식|news (from people you know)|消息
밝히다|to brighten (up), lighten; to clarify, disclose|
침실|bedroom|寢室
북쪽|north|北-
구름|cloud|
벗다|to take off (clothes)|
닭고기|chicken (meat)|
밑|the bottom, below|
만지다|to touch|
모레|the day after tomorrow|
시내|the city, downtown; brook, stream|市內
달다|to be sweet;<br />to put up, attach; to weigh, measure|
거의|almost|
간호사|nurse|看護師
불안하다|to be anxious, uneasy|不安
배달|delivery|配達
아무도|no one, nobody|
곧|soon|
흐리다|to be cloudy|
장갑|glove|掌匣
복습하다|to review|復習
새벽|dawn|
정도|degree, extent|程度
숟가락|spoon|
출발하다|to depart, leave|出發
달력|calendar|-曆
회의|meeting, conference|會議
끄다|to put out, turn off|
훨씬|by far, much|
부탁|request|付託
줄|line, rope|
샤워하다|to take a shower|
그러나|but, though, however|
접시|plate, dish|
경제|economy|經濟
개월|months (count.)|個月
잘생기다|to look good, be handsome|
문장|sentence|文章
가위|scissors|
초대하다|to invite|招待
점|dot, point; viewpoint;  fortune-telling|點,&nbsp;占
호텔|hotel|
갈비|barbecued spare ribs|
알아보다|to find out,&nbsp;check out, investigate; to recognize|
허리|waist|
물론|of course|勿論
편하다|to be convenient, comfortable|便
까만색|black|
자신|oneself; self-confidence|自身,&nbsp;自信
헤어지다|to break up, part, separate|
사거리|intersection, crossroads|四-
국|soup|
가운데|center|
다녀오다|to go and get back, be back|
학원|educational institute, academy|學院
장소|place, location|場所
착하다|to be nice (good-natured)|
호수|lake; number (of a house or room)|號數
보기|example|
야채|vegetable|野菜
마르다|to be dry, become dry; to become thin, lose weight|
팥|red-beans|
신호|signal|信號
덮다|to cover, shut, close|
굉장히|very, extremely, very much|宏壯
하늘|the sky|
돌아가다|to go back, return; to work, operate|
아까|a while ago|
기침|cough|
불다|to blow|
케이크|cake|
살|years of age (<i>count.</i>); flesh, muscle|
짜다|to be salty; to make, build, organize; to squeeze|
카페|café|
욕실|bathroom|浴室
이사하다|to move (to live elsewhere)|移徙
건물|building|建物
달러|dollar|
넣다|to put in, insert|
종업원|waiter, waitress|從業員
가슴|chest|
장|counter for sheets (of paper or similar material); intestine|張,&nbsp;腸
짓다|to make, build, construct|
그녀|she|
단어|word, vocabulary|單語
고르다|to choose, pick; to be regular, even|
어린이|young child, kid|
딸기|strawberry|
혹시|by any chance; perhaps|或是
돌다|to turn, rotate, revolve|
문화|culture|文化
참|very, really|
무섭다|to be scary, frightening, fearful; to be scared|
소풍|picnic|消風
이미|already, yet; previously|
묻다|to ask; to stick to, be stained;<br />to bury|
이유|reason, cause|理由
녹색|green|綠色
오래간만|first time in a while|
떨어지다|to fall, crash; to be short of, run out;  to be worn out|
예문|example sentence|例文
스파게티|spaghetti|
뚱뚱하다|to be fat|
발|foot|
아르바이트|part-time job|
이기다|to win|
기차|train|汽車
어깨|shoulder|
따라하다|to imitate, repeat (after)|
직접|directly, personally|直接
강아지|puppy|
끊다|to cut off, break off|
냉면|cold noodles|冷麵
사장|president of a company|社長
각|each, every; angle|各,&nbsp;角
맑다|to be clear, clean|
제주도|Jeju Island|濟州島
경찰|police, police officer|警察
전화기|telephone (set)|電話機
신다|to put on, wear (footwear)|
눈물|tear|
노력하다|to make an effort, try hard|努力
어울리다|to match, fit, suit well, look good; to associate (with), ge|
어서|please, kindly; quickly|
뉴스|news|
갔다오다|to go and come back|
노래방|karaoke bar|--房
간장|soy sauce|-醬
휴게실|lounge, resting room|休憩室
건너다|to cross (over)|
게임|game|
표|ticket; table, diagram;  mark, sign|票,&nbsp;表
쓰레기|garbage, trash|
해보다|to try; to experience|
손가락|finger|
남녀|men and women|男女
자르다|to cut, slice|
옛날|old times, the past|
설거지|dishwashing|
봉투|envelope, bag|封套
나타나다|to appear, turn up; to be revealed|
초등학교|elementary school|初等學校
복숭아|peach|
불편하다|to be inconvenient, uncomfortable|不便
칼|knife; sword|
추석|Korean harvest festival|秋夕
내려가다|to go down|
부부|a married couple|夫婦
지하|underground, basement|地下
걸다|to hang, suspend; to speak to, call|
수영장|swimming pool|水泳場
반찬|side dish|飯饌
공연|public performance|公演
최고|the best, the highest, top|最高
팀|team|
돌아오다|to come back, return|
곧장|straight, directly|
자연|nature|自然
한글|Korean alphabet|
갖다|to have, to hold|
공사|construction|工事
모습|figure, shape, features|
깎다|to peel, trim, cut; to discount (cut the price)|
특히|especially, particularly|特-
남쪽|south|南-
까맣다|to be black|
예|example; yes|例
가전제품|electric home appliance|家電製品
산책하다|to take a walk|散策
당신|you (specific usage)|當身
조건|condition, term|條件
세상|the world, society|世上
날다|to fly|
외국인|foreigner|外國人
교통|traffic|交通
말씀하시다|to speak, talk (hon.)|
실수|mistake, error|失手
언어|language|言語
왕|king|王
올라가다|to go up|
