피부|skin|皮膚
발음|pronunciation|發音
참다|to endure, bear|
한복|Korean dress (traditional)|韓服
인터뷰|interview|
첫째|first, the foremost|
막히다|to be blocked, be stopped|
소주|Korean hard liquor|燒酒
맞은편|opposite side|-便
시청|city hall; watching|市廳, 視聽
희다|to be white, fair|
과자|cookie, snack|菓子
미터|meter|
휴지|toilet paper, tissue; pause|休紙,&nbsp;休止
전하다|to convey, communicate, pass along|傳
포도주|wine|葡萄酒
과|department; lesson, chapter|科,&nbsp;課
멋있다|to be attractive, stylish, cool|
첫날|the first day|
에어컨|air conditioner|
과거|the past|過去
꺼내다|to pull, take out; to start talking|
후식|dessert|後食
서쪽|the west|西-
떠나다|to leave, depart|
피아노|piano|
계절|season|季節
친하다|to be close, friendly, intimate with|親
규칙|rule, regulation|規則
요리사|cook, chef|料理師
당연하다|to be reasonable, natural|當然
중학교|middle school (junior high)|中學校
생활|life, living, livelihood|生活
성|family name; castle;  gender|姓,&nbsp;城,&nbsp;性
외롭다|to be lonely|
경찰서|police station|警察署
학기|semester|學期
얻다|to get, to gain|
아파트|apartment building|
소고기|beef|
편리하다|to be convenient, handy|便利
잎|leaf|
최근|lately, most recently|最近
시키다|to order, force someone|
메시지|message|
일부|part, section, portion|一部
박물관|museum|博物館
느끼다|to feel, experience|
정신|mind, spirit, soul|精神
내용|contents, substance|內容
현재|present, now|現在
걸어가다|to walk (somewhere)|
카드|card|
숨|breath, breathing|
눕다|to lie down|
분위기|atmosphere, mood|雰圍氣
고등학교|high school|高等學校
외식하다|to dine out|外食
배추|Chinese cabbage|
레슨|lesson|
갖다주다|to bring over|
중간|middle|中間
메뉴|menu|
세우다|to make something stand, erect; to stop, park;  to set (up)|
부분|part, portion|部分
별|star|
심심하다|to be bored|
정보|information|情報
소설|novel|小說
자장면|Chinese dish of noodles in black soybean paste|
다행이다|to be lucky, fortunate|多幸
의미|meaning, sense|意味
수건|towel|手巾
고치다|to fix, repair|
거울|mirror|
사회|society, community|社會
이용하다|to use, take advantage of|利用
가지|kind (of), sort (of); branch, twig;  eggplant|
홍차|black tea|紅茶
관계|relationship, connection|關係
튼튼하다|to be strong, solid, healthy|
휴일|public holiday|休日
적|enemy, opponent, rival|敵
되게|very, really, extremely|
밉다|to be hateful, dislikable; to be ugly|
동물|animal|動物
버섯|mushroom|
비디오|video|
복사하다|to reproduce, copy|複寫
돼지|pig|
가까이|near (to), close; nearly|
지우다|to erase, cross out; to wash off|
초|seconds; candle|秒
미래|future|未來
사귀다|to date, go out; to make friends with, keep company with|
술집|bar, pub|
잃어버리다|to lose something (completely)|
그저께|day before yesterday|
문법|grammar|文法
남기다|to leave, set aside|
주차장|parking lot|駐車場
매우|very, so, much|
급하다|to be in a hurry, be urgent|急
매력|charm, attractiveness|魅力
입술|lips|
사라지다|to disappear|
사업|enterprise, business|事業
아무데나|any place, anywhere|
새롭다|to be new, fresh|
편|side|便
넥타이|necktie|
지나가다|to go through, pass|
벌레|bug, insect|
뉴욕|New York|
졸리다|to feel sleepy|
장미|rose|薔薇
태권도|Taekwondo|跆拳道
잡수시다|to eat (hon.)|
슈퍼마켓|supermarket|
계란|egg|鷄卵
대단하다|to be great, tremendous; to be wonderful|
약간|a little, slightly|若干
칠판|blackboard|漆板
결정하다|to decide|決定
성함|name (hon.)|姓銜
운동화|sports shoes|運動靴
부럽다|to be jealous, envious|
목걸이|necklace|
언젠가|someday|
똑같다|to be exactly the same|
연구|research|硏究
채소|vegetable|菜蔬
입원하다|to be hospitalized|入院
가격|price|價格
평소에|usually, ordinarily|平素-
풀다|to solve; untie|
동사|verb|動詞
성격|character, personality|性格
던지다|to throw|
조용히|silently, quietly|
대학|university|大學
도망가다|to run away, escape|逃亡
목적|purpose, aim, goal|目的
한가지|the same; one thing, a kind, a sort|
유리|glass|琉璃
부드럽다|to be soft, smooth|
더위|the heat|
경우|case, circumstances, scenario|境遇
애인|lover, sweetheart|愛人
굽다|to bake, roast, toast; to be crooked, be bent|
웬일|what matter, what cause|
팔찌|bracelet|
집중하다|to concentrate|集中
꽤|substantially, fairly|
장마|rainy season, rainy spell|
대하다|to face, confront; to treat|對
결국|after all, finally, in the end|結局
아주머니|middle aged woman;  aunt|
이마|forehead|
따라가다|to follow, go after, tag along|
인생|life (human)|人生
귤|tangerine, mandarin|橘
여전히|still, as ever|如前
일으키다|to raise, set somebody upright|
숫자|numbers|數字
어쩌면|maybe|
사건|incident, affair, event|事件
가난하다|to be poor|
센티미터|centimeter|
설마|don't tell me, can't be true|
간식|snack|間食
두다|to put, place, lay; to leave (behind, as is)|
화장품|cosmetics|化粧品
큰길|main road|
좁다|to be narrow|
죽|porridge, gruel; in a row|粥
부인|wife (hon.); woman, lady;  denial, disapproval|夫人,&nbsp;婦人,&nbsp;否認
도와주다|to help out, assist|
예전|the old days; before|
존댓말|polite/formal language (speech)|尊待-
한잔하다|to have a drink|-盞
진심으로|sincerely, from one's heart|眞心
정치|politics|政治
지다|to lose, be defeated; to be under an obligation;  to go down|
짓|act, behavior|
명사|noun|名詞
위험하다|to be dangerous, risky|危險
동네|neighborhood, village|洞-
좌석|seat|座席
제발|please; by all means|
찾아가다|to visit|
시절|years (college years etc.), period of life|時節
종일|all day long|終日
정류장|stop, station (bus etc.)|停留場
취직하다|to get a (fulltime) job|就職
덜|less|
둘이|two people|
미치다|to go mad, crazy; to reach|
선배|senior (usually at the same education- or workplace)|先輩
지역|area, region|地域
