피부|skin
발음|pronunciation
참다|to endure, bear
한복|Korean dress (traditional)
인터뷰|interview
첫째|first, the foremost
막히다|to be blocked, be stopped
소주|Korean hard liquor
맞은편|opposite side
시청|city hall; watching
희다|to be white, fair
과자|cookie, snack
미터|meter
휴지|toilet paper, tissue; pause
전하다|to convey, communicate, pass along
포도주|wine
과|department; lesson, chapter
멋있다|to be attractive, stylish, cool
첫날|the first day
에어컨|air conditioner
과거|the past
꺼내다|to pull, take out; to start talking
후식|dessert
서쪽|the west
떠나다|to leave, depart
피아노|piano
계절|season
친하다|to be close, friendly, intimate with
규칙|rule, regulation
요리사|cook, chef
당연하다|to be reasonable, natural
중학교|middle school (junior high)
생활|life, living, livelihood
성|family name; castle;  gender
외롭다|to be lonely
경찰서|police station
학기|semester
얻다|to get, to gain
아파트|apartment building
소고기|beef
편리하다|to be convenient, handy
잎|leaf
최근|lately, most recently
시키다|to order, force someone
메시지|message
일부|part, section, portion
박물관|museum
느끼다|to feel, experience
정신|mind, spirit, soul
내용|contents, substance
현재|present, now
걸어가다|to walk (somewhere)
카드|card
숨|breath, breathing
눕다|to lie down
분위기|atmosphere, mood
고등학교|high school
외식하다|to dine out
배추|Chinese cabbage
레슨|lesson
갖다주다|to bring over
중간|middle
메뉴|menu
세우다|to make something stand, erect; to stop, park;  to set (up)
부분|part, portion
별|star
심심하다|to be bored
정보|information
소설|novel
자장면|Chinese dish of noodles in black soybean paste
다행이다|to be lucky, fortunate
의미|meaning, sense
수건|towel
고치다|to fix, repair
거울|mirror
사회|society, community
이용하다|to use, take advantage of
가지|kind (of), sort (of); branch, twig;  eggplant
홍차|black tea
관계|relationship, connection
튼튼하다|to be strong, solid, healthy
휴일|public holiday
적|enemy, opponent, rival
되게|very, really, extremely
밉다|to be hateful, dislikable; to be ugly
동물|animal
버섯|mushroom
비디오|video
복사하다|to reproduce, copy
돼지|pig
가까이|near (to), close; nearly
지우다|to erase, cross out; to wash off
초|seconds; candle
미래|future
사귀다|to date, go out; to make friends with, keep company with
술집|bar, pub
잃어버리다|to lose something (completely)
그저께|day before yesterday
문법|grammar
남기다|to leave, set aside
주차장|parking lot
매우|very, so, much
급하다|to be in a hurry, be urgent
매력|charm, attractiveness
입술|lips
사라지다|to disappear
사업|enterprise, business
아무데나|any place, anywhere
새롭다|to be new, fresh
편|side
넥타이|necktie
지나가다|to go through, pass
벌레|bug, insect
뉴욕|New York
졸리다|to feel sleepy
장미|rose
태권도|Taekwondo
잡수시다|to eat (hon.)
슈퍼마켓|supermarket
계란|egg
대단하다|to be great, tremendous; to be wonderful
약간|a little, slightly
칠판|blackboard
결정하다|to decide
성함|name (hon.)
운동화|sports shoes
부럽다|to be jealous, envious
목걸이|necklace
언젠가|someday
똑같다|to be exactly the same
연구|research
채소|vegetable
입원하다|to be hospitalized
가격|price
평소에|usually, ordinarily
풀다|to solve; untie
동사|verb
성격|character, personality
던지다|to throw
조용히|silently, quietly
대학|university
도망가다|to run away, escape
목적|purpose, aim, goal
한가지|the same; one thing, a kind, a sort
유리|glass
부드럽다|to be soft, smooth
더위|the heat
경우|case, circumstances, scenario
애인|lover, sweetheart
굽다|to bake, roast, toast; to be crooked, be bent
웬일|what matter, what cause
팔찌|bracelet
집중하다|to concentrate
꽤|substantially, fairly
장마|rainy season, rainy spell
대하다|to face, confront; to treat
결국|after all, finally, in the end
아주머니|middle aged woman;  aunt
이마|forehead
따라가다|to follow, go after, tag along
인생|life (human)
귤|tangerine, mandarin
여전히|still, as ever
일으키다|to raise, set somebody upright
숫자|numbers
어쩌면|maybe
사건|incident, affair, event
가난하다|to be poor
센티미터|centimeter
설마|don't tell me, can't be true
간식|snack
두다|to put, place, lay; to leave (behind, as is)
화장품|cosmetics
큰길|main road
좁다|to be narrow
죽|porridge, gruel; in a row
부인|wife (hon.); woman, lady;  denial, disapproval
도와주다|to help out, assist
예전|the old days; before
존댓말|polite/formal language (speech)
한잔하다|to have a drink
진심으로|sincerely, from one's heart
정치|politics
지다|to lose, be defeated; to be under an obligation;  to go down
짓|act, behavior
명사|noun
위험하다|to be dangerous, risky
동네|neighborhood, village
좌석|seat
제발|please; by all means
찾아가다|to visit
시절|years (college years etc.), period of life
종일|all day long
정류장|stop, station (bus etc.)
취직하다|to get a (fulltime) job
덜|less
둘이|two people
미치다|to go mad, crazy; to reach
선배|senior (usually at the same education- or workplace)
지역|area, region
