대표적|representative, typical|代表的
후배|one's junior (at school or workplace)|後輩
감상하다|to enjoy, appreciate|鑑賞
누구나|anyone|
복도|hallway|複道
정하다|to decide, determine, choose|定
성냥|matches|
기타|guitar;<br>etc.|其他
실망하다|to be disappointed|失望
불교|Buddhism|佛敎
집사람|wife|
잦다|to be frequent|
날개|wings|
오페라|opera|
불완전하다|to be incomplete, imperfect|不完全
미술|art|美術
김|dried seaweed; steam|
편찮다|to be unwell, sick|便-
심부름|errand|
복수|revenge;<br>plural|復讐,&nbsp;複數
비하다|to compare to|比
땅콩|peanut|
한발|one step|
부치다|to mail, ship; to fry|
공중전화|public phone|公衆電話
손녀|granddaughter|孫女
선선하다|to be cool, refreshing|
캠퍼스|campus|
학위|academic degree|學位
얇다|to be thin, flimsy|
소|cow|
노랑|yellow|
생겨나다|to come into existence, occur|
만일|in case, by any chance, suppose|萬一
종합|synthesis, putting together|綜合
응원하다|to cheer, support|應援
사회적|social|社會的
빌딩|building|
틀림없다|to be certain, beyond a doubt; to be trustworthy|
스스로|oneself|
왼편|the left side|―便
달려가다|to run, dash, rush|
고속도로|expressway, highway|高速道路
관객|audience, spectator|觀客
우울하다|to be gloomy, cheerless, depressed|憂鬱
농업|agriculture|農業
블라우스|blouse|
맡기다|to leave something with someone, to entrust, deposit|
눈병|eye disease|-病
속도|speed, pace|速度
놀랍다|to be surprising, startling; to be wonderful, marvelous|
냄비|pot, saucepan|
프로|professional|
예매하다|to book, reserve, buy in advance; to sell tickets in advance|豫買,&nbsp;豫賣
딴|other, different|
유난히|unusually, exceptionally|
화려하다|to be splendid, flashy|華麗
귀고리|earring|
시청자|viewer, TV audience|視聽者
적당하다|to be appropriate, suitable, moderate, proper|適當
그늘|shade|
사은품|free gift|謝恩品
다리다|to iron, press|
종|species;<br>bell;<br>slave, servant|種,&nbsp;鐘
최소한|at the (very) least|最小限
장보다|to go to market, go grocery shopping|場
요청|request, demand|要請
예식장|ceremony hall, wedding hall|禮式場
차지하다|to take possession, occupy|
흥미|interest|興味
입구|entrance, gateway|入口
살리다|to save one's life, spare; to make good use|
트럭|truck|
개성|personality, individuality|個性
지하도|underpass|地下道
원인|cause, factor|原因
이루어지다|to come true; to be formed, consist (of)|
청소기|vacuum cleaner|淸掃機
지식|knowledge, understanding|知識
굵다|to be thick|
도표|diagram, chart|圖表
간절하다|to be earnest, eager|懇切
깨닫다|to realize, recognize|
해수욕장|swimming beach|海水浴場
인구|population|人口
흘리다|to spill, shed (tears, blood etc.)|
커튼|curtain|
가로등|street lamp, street light|街路燈
붓다|to pour (into); to become swollen|
음식점|restaurant|飮食店
대박|jackpot; something great|
전학가다|to change schools|轉學
법원|court (of law)|法院
뿌리|root|
배탈나다|to have a stomachache|-縫
이천|Icheon|利川
매표소|ticket booth|賣票所
병실|hospital room, ward|病室
눈썹|eyebrow|
노크하다|to knock|
실제로|in fact, actually|實際-
낚시|fishing|
건지다|to take out of water; to take back|
플랫폼|platform|
다방|tea room, coffee house|茶房
끓다|to boil, simmer|
품목|item, goods|品目
골목|alley|
챙기다|to gather, pack; to take care of;  to not forget|
매달|every month|每-
독감|flu|毒感
붙다|to stick to, adhere to|
시어머니|mother-in-law (of a woman)|媤-
핑크|pink|
당하다|to experience, encounter, suffer|當
운전사|driver, chauffeur|運轉士
고급|high rank, high class|高級
풀리다|to get solved, get loose, be relieved|
동아리|club, society, group|
학자|scholar|學者
커다랗다|to be very big, huge|
연락처|contact information|連絡處
책꽂이|bookshelf|冊-
쏟다|to spill, pour|
바닷물|seawater|
약도|rough map, sketch map|略圖
매다|to tie, bind|
뮤지컬|musical|
게으르다|to be idle, lazy|
진찰|medical examination|診察
배드민턴|badminton|
건너가다|to cross, go across|
옛날얘기|folk tale, legend|
그제|day before yesterday|
삼다|to adopt, use a thing as|
머리카락|hair|
부사|adverb|副詞
드물다|to be rare|
깨끗이|cleanly, neatly|
유치원|kindergarten|幼稚園
떨리다|to tremble, shake, shiver|
동남아|Southeast Asia|東南亞
액자|picture frame|額子
서투르다|to be unfamiliar (with), unskilled, poor (at)|
동양|the East|東洋
미용실|beauty salon, hairdresser's|美容室
밟다|to step on; to trail after|
요금|charge, fee|料金
소방서|fire station|消防署
놀리다|to tease, kid, make fun of; to leave something idle, unused|
돌|stone, rock; first birthday|
서랍|drawer|
없애다|to remove, get rid of; to waste|
맞선|marriage meeting, blind date|
사모님|one's teacher's wife, one's superior's wife|師母-
벌주다|to punish|
점수|score, mark, grade|點數
엄청|very, very much|
문병가다|to visit a sick person|問病
런던|London|
집들이|housewarming party|
털다|to dust off, brush off; to rob|
분실물|lost article, lost item|紛失物
매진되다|to be sold out|賣盡
보여주다|to show, display|
훈련|training, practice|訓鍊/訓練
이태원|Itaewon|
미끄럽다|to be slippery|
시험지|test paper|試驗紙
똑같이|equally, evenly|
예상하다|to forecast, anticipate, expect|豫想
식혜|sweet rice drink|食醯
테이프|tape|
붉다|to be red, crimson|
눈앞|in front of one's eyes, just ahead|
주택|house, housing|住宅
캄캄하다|to be dark, pitch-black|
대학원생|graduate student|大學院生
순서|order, sequence, procedure|順序
시다|to be sour|
이하|below, less than|以下
음|sound, tone;<br>yin|音,&nbsp;陰
빠져나가다|to escape, slip away|
구체적|concrete, definite, specific|具體的
파도|waves|波濤
깨우다|to wake someone up|
색연필|colored pencil|色鉛筆
교장|principal, headmaster|校長
팔리다|to be sold, be in demand|
신혼부부|newly wed couple|新婚夫婦
예외|exception|例外
지나치다|to be excessive; to pass by, go past|
어차피|anyway, in any case|於此彼
스케줄|schedule|
바람나다|to have a secret love affair|
통신|communication, correspondence|通信
센터|center|
외출하다|to go out|外出
역사적|historical|歷史的
부족|tribe; shortage, lack|部族,&nbsp;不足
