옥상|rooftop|屋上
아깝다|to be precious, valuable; to be regrettable, pitiful|
의지|will, volition|意志
무조건|unconditional|無條件
쫓다|to chase, pursue|
기적|miracle;<br>steam whistle|奇蹟,&nbsp;汽笛
콧물|snot, nasal mucus|
동료|colleague, co-worker|同僚
아이디어|idea|
솔직하다|to be frank, honest, candid|率直
게다가|besides, on top of that|
목도리|scarf|
파|green onion|
붕대|bandage, dressing|繃帶
리모콘|remote control|
어색하다|to feel awkward, be at a loss for words|語塞
촬영|shooting, filming|撮影
오죽|very, indeed, how|
보고하다|to report, inform|報告
달리|differently|
예금|deposit, savings|預金
어느새|in no time, quickly|
먹이다|to feed, let someone eat|
빵집|bakery|
창고|warehouse, storage|倉庫
고동색|reddish brown|古銅色
등록하다|to register, enroll|登錄
멍청이|stupid person|
손톱|fingernail|
단순하다|to be simple|單純
살짝|slightly, gently; in secret, by stealth|
가스|gas|
발걸음|step, pace|
만족하다|to be satisfied, pleased|滿足
영수증|receipt|領收證
인물|person, individual, character|人物
관찰하다|to observe, watch|觀察
책방|bookstore|冊房
대전|Daejeon; great war;  state ceremony|大田,&nbsp;大戰,&nbsp;大典
재벌|conglomerate, plutocrat|財閥
감소하다|to decrease, decline|減少
변기|toilet|便器
다만|only, merely|
수다떨다|to chitchat|
비둘기|pigeon|
여왕|queen|女王
황금|gold|黃金
저금하다|to save money, make a deposit|貯金
액션|action|
삼계탕|chicken soup with ginseng|蔘鷄湯
죄|crime, sin, blame|罪
자유롭다|to be free|自由-
대학로|Daehangno, college street|大學路
선착순으로|by order of arrival|先着順
명성|reputation, fame|名聲
고정시키다|to fix, fasten, immobilize|固定
주사|injection, shot|注射
답장|response, answer (written)|答狀
지은이|writer, author|
임신하다|to be pregnant|姙娠
곤충|insect, bug|昆蟲
심리학|psychology|心理學
까닭|reason, cause, grounds (for)|
따라다니다|to follow (somebody around), to chase|
개미|ant|
기념일|anniversary|紀念日
압력|pressure|壓力
나빠지다|to grow worse|
자녀|children|子女
아프리카|Africa|
철|iron, steel; season;  discretion, [good] sense|鐵
대기하다|to stand by, be waiting|待機
최종|last, final|最終
독립|independence|獨立
미끄럼|slide, sliding|
이어지다|to be connected, be continued|
전경|panorama;<br>the front view|全景,&nbsp;前景
구석|corner|
호기심|curiosity|好奇心
다가가다|to approach, go near|
교재|teaching materials|敎材
미용|beauty treatment|美容
좀처럼|[not] easily, [not] readily|
시합하다|to play against, have a game|試合
작품|work (of art)|作品
유감|regret|遺憾
급행열차|express train|急行列車
