경영|(business) management, administration|經營
현장|the actual spot, scene (of action), site|現場
비추다|to light up, shed light; to reflect, mirror|
머릿속|inside one's head, mind|
달구다|to heat (up)|
균형|balance|均衡
혁명|revolution|革命
갖추다|to get ready, prepare|
승자|winner|勝者
남몰래|secretly|
받아들이다|to accept|
기운|energy, vigor, strength|
최신|the newest, the latest|最新
생산하다|to produce, make|生産
내과|internal medicine|內科
윷놀이|yut (Korean game)|
썰렁하다|to be chilly; to be not funny, awkward|
유산|abortion; inheritance, legacy|流産,&nbsp;遺産
모친|mother|母親
존재하다|to exist, be present|存在
연기자|actor, actress|演技者
진정하다|to be true, real, genuine; to calm down|眞正,&nbsp;鎭靜
상식|common sense; general knowledge|常識
고추장|red-pepper paste|-醬
건네다|to pass, hand over, deliver|
하숙|boarding house|下宿
부친|father|父親
포옹하다|to embrace, hug, cuddle|抱擁
폭력|violence, force|暴力
코너|corner|
찾아내다|to discover, locate, come up with|
배려|consideration, regard|配慮
자발적|voluntary|自發的
건설하다|to build, construct|建設
연극|play, theatrical performance|演劇
화제|topic, subject of conversation|話題
두렵다|to be fearful, afraid, frightened|
악몽|bad dream, nightmare|惡夢
활짝|extensively, widely, fully|
환하다|to be bright; to be familiar (with)|
대륙|continent|大陸
찜질방|Korean dry sauna, spa|-房
딱딱하다|to be hard, stiff, firm|
공주|princess; Gong Ju|公主,&nbsp;公州
복권|lottery (ticket);<br>reinstatement|福券,&nbsp;復權
한턱내다|to treat to a meal or a drink|
피해|damage, harm|被害
홀로|alone, by oneself|
찬란하다|to be radiant, shining, gorgeous|燦爛·粲爛
애교|charms, courtesy|愛嬌
봉사|service; blind person|奉仕
떠맡다|to take on, assume, undertake|
중식|Chinese food; lunch|中食
말투|one's way of talking, style of speech|-套
피하다|to avoid|避
분야|field, area (abstract)|分野
은근히|politely, courteously; quietly, inwardly|慇懃
당황하다|to be embarrassed, flustered, confused|唐慌
관리|administration, management; government official|管理,&nbsp;官吏
자|ruler; letter;  okay, come on|字
긁다|to scratch, scrape|
직관|intuition|直觀
가정부|housekeeper|家政婦
안심하다|to be relieved, rest easy|安心
장면|scene (in a movie etc.)|場面
기호|taste, preference (for); sign, symbol|嗜好,&nbsp;記號
혼내다|to scold, teach a person a lesson; to scare|魂
물결|wave|
뇌물|bribe|賂物
비난하다|to criticize, attack, blame|非難
승인|approval|承認
한마디|a word|
굶다|to starve, skip a meal|
서명하다|to sign one's name|署名
곱다|to be pretty, lovely|
실업|unemployment; industry, business|失業,&nbsp;實業
곤란하다|to be difficult, tough; to be embarrassing, awkward|困難
동갑|the same age|同甲
첫인상|one's first impression|-印象
한심하다|to be pathetic, pitiful|寒心
예고|advance notice, warning|豫告
신간|new book|新刊
염색하다|to dye|染色
용법|usage, use|用法
시청률|(viewer) ratings|視聽率
한산하다|to be quiet, empty, inactive|閑散
댓글|comment|
호흡|breathing|呼吸
합치다|to combine, unite, put together|合
일거리|work, things to do, task|
빌다|to ask, beg; to wish, pray;  to apologize|
의외|surprise, unexpected thing|意外
구매|purchase|購買
조깅하다|to jog|
미만|under, less than|未滿
아끼다|to spare, save, begrudge|
불길하다|to be unlucky, ominous|不吉
짝|one of a set, partner|
이목|attention|耳目
추천하다|to recommend|推薦
깃발|flag|旗-
최저|lowest, minimum|最低
따스하다|to be warm|
파인애플|pineapple|
공동|joint, group, collaboration|共同
감돌다|to hang (in the air)|
신|shoes, footwear; God;  joy, delight|神
또는|or|
야근하다|to work (overtime) at night|夜勤
승진하다|to be promoted|昇進
짝사랑|unrequited love, (secret) crush|
잘리다|to be cut, be fired|
시기|time, moment; opportunity, chance;  jealousy|時期,&nbsp;時機,&nbsp;猜忌
사방|all directions, everywhere|四方
달콤하다|to be sweet, sugary|
응급|emergency|應急
거스름돈|change (coins)|
서늘하다|to be chilly, cool|
노임|wages, pay|勞賃
꽉|tightly, firmly; closely|
자책하다|to blame oneself, reproach oneself|自責
유배|banishment, exile|流配
벌금|fine, penalty|罰金
내다보다|to look out|
열정|passion|熱情
막바지|last stage, end|
해명하다|to explain (oneself), clarify|解明
손길|touch of a hand|
결심하다|to decide|決心
켜져있다|to be lightened, be turned on|
장난|game, playing (for fun)|
어린아이|child|
진급하다|to be promoted, move up|進級
버전|version|
천연|natural|天然
수상하다|to be suspicious, strange, shady|殊常
톤|ton (count.); tone|
자택|one's own house (home)|自宅
녹다|to melt, thaw, unfreeze|
탁구|table tennis|卓球
잠자리|dragonfly|
원망하다|to resent, reproach, blame|怨望
투혼|fighting spirit|鬪魂
놀이터|playground|
지지하다|to support, back up|支持
회계사|accountant|會計士
외모|appearance|外貌
소박하다|to be simple (and honest)|素朴
삼각형|triangle|三角形
킬로그램|kilogram|
껴안다|to hug, embrace|
환상|illusion, fantasy|幻想
교도소|jail, prison|矯導所
다정하다|to be affectionate, friendly, intimate|多情
풍습|customs, manners|風習
넋|soul, spirit|
흔하다|to be common, commonplace|
노릇|role, function|
종반|the last phase (stage)|終盤
물러서다|to step back, back off|
연구소|research institute|硏究所
설정|setup, setting|設定
항공|aviation, flight|航空
조언|advice|助言
체포하다|to arrest|逮捕
분수|fountain; fraction|噴水,&nbsp;分數
재주|talent, skill|才-
비참하다|to be miserable, wretched, tragic|悲慘
몰다|to drive, steer|
반전|reversal, turnaround; antiwar|反轉,&nbsp;反戰
버티다|to endure, last, hold out|
전설|legend|傳說
호감|good feeling, favorable impression|好感
붙잡다|to catch, hold, grasp|
생시|being awake|生時
그럭저럭|somehow|
입력하다|to enter, input|入力
주방|kitchen|廚房
동창|fellow students, classmates|同窓
더듬다|to grope, feel around|
적절하다|to be appropriate, adequate, proper|適切
의도|intention, aim, purpose|意圖
제과점|bakery|製菓店
투표하다|to vote|投票
되찾다|to recover, regain|
