육개장|spicy beef soup|肉-醬
지독하다|to be vicious; to be awful, terrible, severe|至毒
축제|festival|祝祭
소원|wish, desire|所願
요란하다|to be noisy, be loud|搖亂ㆍ擾亂
의리|loyalty|義理
도리어|on the contrary, instead|
밀치다|to push, shove|
변명|excuse, justification|辨明
와이셔츠|dress shirt|
목격하다|to witness, observe|目擊
와인|wine|
불국사|Bul Guk temple|佛國寺
동거하다|to live together|同居
참고하다|to refer to, consult, note|參考
외부|the outside, the exterior|外部
재우다|to put [send] someone to sleep [bed]|
딛다|to step (on)|
금융|finance|金融
신제품|new product|新製品
심사하다|to screen, evaluate, judge|審査
찬성하다|to agree, approve|贊成
터미널|terminal|
사소하다|to be trivial, insignificant|些少
두려워하다|to be afraid, scared of|
볶음밥|fried rice|
참치|tuna|
시달리다|to suffer (from)|
수신자|recipient|受信者
제국|empire|帝國
촌스럽다|to be rustic, tacky, out-of-style|村-
바람둥이|womanizer, playboy|
연하|younger, junior|年下
애쓰다|to make efforts, go to trouble|
늦잠|sleeping late (in the morning), oversleeping|
재판|trial; second edition|裁判,&nbsp;再版
이상야릇하다|to be strange, funny, peculiar|
남김없이|entirely, without exception|
화가|painter, artist|畫家
부리다|to manage, handle; to raise, create, show, have|
화해하다|to be reconciled, make up with|和解
잔디|grass, lawn|
올림픽|Olympics|
영리하다|to be smart, clever, bright|怜悧
바탕|foundation, basis|
녹음실|recording studio|錄音室
확정하다|to determine, decide, settle, fix|確定
노래자랑|singing contest|
소화|digestion|消化
겸손하다|to be modest, humble|謙遜
산보하다|to walk, stroll|散步
미혼|single, unmarried|未婚
침묵|silence|沈默
깔끔하다|to be neat, tidy|
스타킹|stockings|
하필|why of all the [things, people etc.]|何必
노출하다|to expose|露出
본체만체하다|to ignore, pretend not to see|
환불하다|to refund, get a refund|還拂
차표|ticket for train/bus|車票
존중하다|to appreciate, respect|尊重
보상|compensation; reward|補償,&nbsp;報償
진단|diagnosis|診斷
우습다|to be funny, amusing|
지문|fingerprint|指紋
이만|just this much, this far, to this extent|
조절하다|to control, adjust, regulate|調節
파마하다|to get a perm|
신분|social position|身分
교복|school uniform|校服
빠뜨리다|to drop, throw into; to omit, exclude;  to tempt|
호응|(positive) response|呼應
차별하다|to discriminate|差別
미루다|to delay, postpone|
하얀색|white|
진주|pearl|眞珠·珍珠
망하다|to go to ruin, go bankrupt, perish|亡-
엉망|wreck, mess, bad shape|
계급|(social) class|階級
감싸다|to cover, wrap (up), shelter|
검찰|the prosecution|檢察
교무실|teachers' room|敎務室
살아가다|to lead a life, get along, keep living|
집착|obsession|執着
스키장|ski resort|ski場
희미하다|to be dim, faint, vague|稀微
빈자리|empty seat, vacant spot|
부주의|carelessness|不注意
맞이하다|to welcome, greet, receive|
거치다|to go through, pass (through)|
만원|full house (no space for more people)|滿員
인류|humanity, mankind|人類
나아가다|to advance, proceed|
