연예인|entertainer, celebrity|演藝人
무리|unreasonableness, excess; group, crowd|無理
대만|Taiwan|臺灣
북한|North Korea|北韓
처리하다|to handle, deal with, take care of|處理
미처|as far as, to that extent|
최악|the worst|最惡
눌리다|to be squeezed, be pressed; to be oppressed|
내복|long underwear|內服
비타민|vitamin|
꼬다|to twist, cross, entwine|
수수께끼|puzzle, riddle|
귀하|sir, madam|貴下
복용하다|to take (a dose of) medicine or drugs|服用
미장원|beauty parlor, hair salon|美粧院
소스|sauce|
투자하다|to invest|投資
제비|player; lot;  swallow|
목적지|one's destination|目的地
반납하다|to return, give back, hand in|返納
눈싸움|snowball fight; staring contest|
영구히|eternally, permanently|永久
제출하다|to submit, hand in, present|提出
가구점|furniture store|家具店
반도|peninsula|半島
진열하다|to display, exhibit|陳列
관계자|the interested parties, affected persons|關係者
효자|filial (devoted) son|孝子
암기하다|to memorize|暗記
거꾸로|upside down, inside out, backwards|
지극히|very, extremely, perfectly|至極
하이힐|high-heeled dress shoes|
태연하다|to be calm, composed, nonchalant|泰然
총장|chancellor, secretary general|總長
구조|structure, organization; rescue|構造,&nbsp;救助
단층집|single-story house|單層-
새하얗다|to be pure white, snow-white|
사표|(written) resignation|辭表
수익|profit, earnings, revenue|收益
기본적|basic|基本的
마주치다|to meet with, come across|
차고|garage|車庫
무선|wireless, radio|無線
보트|boat|
횡설수설하다|to talk nonsense, babble, speak incoherently|橫說竪說
첫눈|the first sight; the first snow (of the season)|
대사|lines, dialogue; ambassador|臺詞,&nbsp;大使
창밖|outside the window|窓-
포근하다|to be warm, mild; to be soft, comfortable|
동전|(copper) coin|銅錢
여배우|actress|女俳優
소매|sleeve; retail|小賣
바래다|to fade, lose color|
예감|premonition, foreboding, hunch|豫感
전차|tram; tank|電車,&nbsp;戰車
시간표|schedule, timetable|時間表
들려주다|to let hear (i.e. tell, read to, inform etc.)|
모범|example, (role) model|模範
약점|weakness, weak point|弱點
끌어내다|to take out, bring out, drag out|
간첩|spy, secret agent|間諜
교외|the suburbs|郊外
흥분하다|to be excited, be stimulated|興奮
횟수|number (of times)|回數
권총|pistol, gun|拳銃
뚜렷하다|to be distinctive, clear|
안과|ophthalmic hospital|眼科
이발소|barber shop|理髮所
결백하다|to be innocent|潔白
멜론|melon|
기술자|technician, engineer|技術者
유효하다|to be valid|有效
작곡|composition (of music)|作曲
강의|lecture|講義
재촉하다|to hurry, rush, push|
판소리|traditional Korean singing drama|
장부|ledger, books, account|帳簿
가만두다|to tolerate, leave as is|
축복|blessing|祝福
농부|farmer, peasant|農夫
꼼꼼하다|to be careful, meticulous|
팩스|fax|
죄책감|feeling of guilt, guilty conscience|罪責感
내가다|to take out, take away, remove|
공해|pollution|公害
최소|the smallest, minimum|最小,&nbsp;最少
도망치다|to run away, escape|逃亡
제작|production, making|製作
성향|tendency, inclination|性向
경솔하다|to be careless, rash|輕率
발매|sale|發賣
방면|direction; way, aspect|方面
미련하다|to be stupid, foolish|
성당|Catholic church|聖堂
제자리|the proper place, the original place|
훔치다|to steal, swipe, lift; to wipe, mop|
파스|pain relief patch|
퇴장하다|to leave, exit|退場
맴돌다|to circle, hover|
독|poison; jar|毒
마술|magic|魔術
황당하다|to be ridiculous, absurd, nonsensical|荒唐
성적|grade, mark, result; sexual|成績,&nbsp;性的
인연|tie, connection; destiny|因緣
순하다|to be gentle, mild, meek|順
이기적|selfish|利己的
결론|conclusion|結論
못되다|to be bad, mean, evil; to be under, short of|
조치|action, steps, measures|措置
절반|half|折半
거스르다|to go upstream; to give change|
두부|tofu|豆腐
급속히|rapidly|急速
끔찍하다|to be terrible, horrible|
공격하다|to attack|攻擊
악수|handshake|握手
평범하다|to be ordinary, common|平凡
사투리|dialect|
괴물|monster|怪物
도둑질하다|to steal, rob|
처녀|unmarried (single) woman, maiden|處女
기웃기웃|peeping, snooping|
애원하다|to beg, plead, entreat|哀願
수수료|commission, fee|手數料
관사|article (grammatical); official residence|冠詞,&nbsp;官舍
공개하다|to make public|公開
억양|intonation, accent|抑揚
표준|standard, norm, average|標準
여리다|to be tender, soft, delicate|
게|crab|
급료|salary|給料
엎다|to turn upside down|
할리우드|Hollywood|
교대|rotation, shift, alternation|交代
증가하다|to increase, grow|增加
은행원|teller, bank clerk|銀行員
답변|answer, reply|答辯
짙다|to be dark, deep, thick|
털|hair, fur, feather|
취향|taste, liking, preference|趣向
유혹하다|to tempt, lure, seduce|誘惑
잠바|jacket|
오누이|brother and sister|
가르다|to divide, cut, split|
어르신|senior citizen, elderly|
메달|medal|
따다|to pick, pluck; to obtain|
쓸쓸하다|to be lonely, forlorn|
환상적|fantastic|幻想的
반팔|short-sleeve shirts|半-
유치하다|to be childish, immature; to attract, invite|幼稚,&nbsp;誘致
엑스레이|X-ray|
매체|media|媒體
거듭나다|to reform, turn over a new leaf|
매연|exhaust (fumes)|煤煙
을지로|Euljiro|
육박하다|to approach, draw near, close in|肉迫
세트|a set|
재수|luck, fortune|財數
달래다|to soothe, calm (down)|
태풍|typhoon|颱風
장사하다|to do business, trade|
감격하다|to be deeply moved|感激
단골|regular customer|
우체부|mailman|郵遞夫
밀리다|to be delayed, be behind, be overdue|
몽땅|all|
면허증|license, permission|免許證
불행하다|to be unhappy, unfortunate|不幸
레이더|radar|
과연|indeed, sure enough|果然
틀다|to twist, turn; to switch on|
습도|humidity|濕度
사치품|luxury goods|奢侈品
지저분하다|to be messy, disordered, untidy|
대체로|generally, mostly|大體-
흑인|black, ethnic African|黑人
무덥다|to be stifling, humid, sultry|
명물|specialty|名物
현대인|modern people|現代人
고독하다|to be lonely, solitary|孤獨
떡볶이|rice-stick with vegetables|
내내|throughout, all the time, from start to finish|
비롯하다|to include|
억|hundred million|億
일식집|Japanese restaurant|日食-
눅눅하다|to be damp, humid|
사인|signature, autograph; cause of death|死因
장마철|the rainy season|
불쾌하다|to be unpleasant, uncomfortable|不快
사납다|to be wild, fierce, violent|
초밥|sushi|醋-
횡재|windfall|橫財
흥정하다|to bargain, haggle over terms|
다투다|to fight, argue, struggle|
신청곡|song request|申請曲
세대|generation|世代
선명하다|to be clear, distinct, sharp|鮮明
청취자|listener (of a radio or similar)|聽取者
애절하다|to be sad, touching, pathetic|哀切
