극복하다|to overcome|克服
실연하다|to be disappointed in love, heartbroken;<br>to demonstrate|失戀,&nbsp;實演
배신하다|to betray|背信
명상|meditation|冥想·瞑想
영업시간|business hours|營業時間
사직서|letter of resignation|辭職書
힘내다|to gather heart, cheer up|
전처|one's former wife, ex-wife|前妻
야무지다|to be sturdy, skillful, shrewd|
출연하다|to appear (in a movie etc.)|出演
원기|energy, vigor|元氣
밥상|dinner table|-床
씩씩하다|to be brave, manly|
탈락하다|to drop out, be eliminated|脫落
쓰레기통|garbage can, waste basket|-桶
오븐|oven|
장식장|display cupboard, cabinet|裝飾欌
주전자|kettle|酒煎子
화장대|dressing table|化粧臺
소방관|fireman|消防官
일과표|daily schedule|日課表
투명하다|to be clear, transparent|透明
유행가|popular song|流行歌
직전|just before|直前
일출|sunrise|日出
구역|area, zone, district|區域
삽|shovel|
대장|leader, commander, captain;  large intestine|大將, 大腸
팔씨름하다|to arm wrestle|
뺏다|to take (away), snatch|
야단맞다|to be scolded thoroughly|惹端
고자질하다|to tattle, tell on|告者-
강의실|lecture room|講義室
시시하다|to be dull, boring; to be trivial, insignificant|
새치기하다|to jump the queue, cut in line|
가버리다|to be gone|
솥|iron pot|
피해자|victim|被害者
올바로|honestly, uprightly, properly|
화창하다|to be sunny|和暢
통통하다|to be plump, chubby|
머물다|to stay, remain|
터지다|to burst, blow up, explode|
추가하다|to add, supplement|追加
허리띠|belt|
정오|noon, midday|正午
고아원|orphanage|孤兒院
다락|attic|
안부|regards; news (regarding a person)|安否
화랑|art gallery|畵廊
싸늘하다|to be cool, chilly|
어리석다|to be foolish, stupid, silly|
뾰족하다|to be pointed, sharp|
외딴|isolated, remote|
탄탄하다|to be solid, strong, robust|
뒤돌아보다|to look back|
친숙하다|to be familiar|親熟
그리움|longing, yearning|
또래|peer (group), same age group|
뒤처지다|to be left behind|
표준어|standard language|標準語
탈출하다|to escape|脫出
함정|trap|陷穽
불타다|to burn, be in flames|
업다|to carry on one's back|
파업|strike, walkout|罷業
썩다|to rot, decay, go bad|
통제|control|統制
하찮다|to be trivial, petty, insignificant|
사진기|camera|寫眞機
앞지르다|to pass, overtake, get ahead|
정열적|passionate|情熱的
회화|conversation; painting|會話,&nbsp;繪畵
재다|to measure, gauge|
이별하다|to part, separate|離別
도저히|not at all, no way|到底-
포위하다|to surround, encircle|包圍
명심하다|to keep in mind, remember|銘心
고무|rubber|
문방구|stationery; stationery store|文房具
사기꾼|con artist, swindler|詐欺-
급여|pay, salary|給與
논|rice field|
동점|tie, same score|同點
정형외과|orthopedics|整形外科
꼴불견|unsightliness|-不見
봉사활동|community service activities|奉仕活動
옛일|things of the past|
교과목|subject, course|敎科目
충전기|charger|充電器
청구서|bill, invoice|請求書
계산원|cashier|計算員
재채기하다|to sneeze|
교양|sophistication, refinement|敎養
말짱하다|to be impeccable, neat; to be perfectly okay|
응답|answer, response|應答
차이다|to get kicked; to be dumped|
재계|the financial world, business circles|財界
집단|group|集團
소심하다|to be timid, shy|小心
김새다|to lose intereset, enthusiasm, be disappointed; to spoil one|
감추다|to hide|
원칙|principle, general rule|原則
양초|candle|洋-
처자|one's wife and children;<br>a maiden|妻子,&nbsp;處子
