원수|enemy|怨讐
스타일|style|
데뷔하다|to make one's debut|
출렁거리다|to slop, splash, roll|
재난|disaster, catastrophe|災難
암|cancer|癌
스킨십|touch (skin to skin, with affection)|
박다|to thrust in, hammer, drive|
크레파스|crayon|
켤레|a pair|
학과|(university) department, major;|學科
언론|the press, the media|言論
암소|cow|
주정하다|to act in a drunken and disorderly way|酒酊
껍데기|shell, skin|
녀석|guy, fellow|
미끈미끈하다|to be all slippery, very smooth|
맨손|bare hands|
부딪치다|to bump against, crash into, collide|
기절하다|to faint, pass out|氣絶
결승|finals|決勝
혈액|blood|血液
성형수술|plastic surgery|成形手術
관습|custom, convention|慣習
근시|nearsightedness|近視
교정하다|to proofread; to correct|校正,&nbsp;矯正
조명하다|to illuminate, highlight|照明
오싹하다|to shudder, feel a chill|
원점|starting point|原點
휴식|rest, relaxation|休息
유리하다|to be favorable, advantageous|有利
법칙|law, rule|法則
육지|land|陸地
신하|servant, vassal, government officer|臣下
감염|infection|感染
정지하다|to stop, halt|停止
수명|life, life span|壽命
밤새우다|to stay up all night|
엘리베이터|elevator|
난방|heating|煖房·暖房
불어|French language|佛語
망치다|to spoil, ruin, screw up|亡-
아담하다|to be neat, tidy;  to be petite|雅淡·雅澹
외향적|extroverted, outgoing|外向的
탐내다|to want, desire, covet|貪-
어기다|to break, violate|
의젓하다|to be mature, dignified|
진학하다|to enter (a higher level of) school|進學
낭만|romance|浪漫
사연|story, situation|事緣
예정일|due date|豫定日
착수하다|to start, launch|着手
단조롭다|to be monotonous|單調-
이력|background, personal history, record|履歷
이주하다|to move, migrate|移住
애매하다|to be vague, obscure, uncertain; to be wrongly accused|曖昧
특집|special edition|特輯
사막|desert|沙漠·砂漠
출신|native, origin|出身
동영상|video|動映像
냉정하다|to be cool-headed, objective, cold-hearted|冷靜,&nbsp;冷情
관광지|tourist attraction [spot]|觀光地
이끌다|to lead, guide|
콘센트|socket, electrical outlet|
여기다|to regard, consider|
굴뚝|chimney|
평평하다|to be flat, even|平平
따갑다|to be stinging, burning, irritated (for one's skin or body p|
놓아두다|to leave (as is)|
정화|purification|淨化
뱉다|to spit out|
정밀|detailed, precise, exact|精密
구석구석|every nook and corner|
멎다|to stop|
