인수하다|to take over, accept|引受
제시하다|to suggest, propose, present|提示
불과하다|to be nothing more than|不過
작용|action, effect|作用
공업|industry|工業
경향|tendency, trend|傾向
반면에|on the other hand|反面
특성|characteristic, nature, property|特性
서럽다|to be sad, sorrowful|
끌어안다|to hug, cuddle|
한없다|to be unlimited, endless|限
밀어내다|to push out, force out|
굳다|to harden, solidify, get stiff|
보도|report, news; sidewalk|報道,&nbsp;步道
여기저기|here and there|
타이밍|timing|
마누라|wife|
지원자|applicant, volunteer; supporter|志願者,&nbsp;支援者
조만간|soon, shortly, before long|早晩間
상의|discussion, consultation; jacket, coat, shirt, blouse|相議,&nbsp;上衣
선호하다|to prefer|選好
안정성|stability|安定性
대기업|large company|大企業
적성|aptitude|適性
근로|work, labor|勤勞
발자국|footstep, footprint|
자네|you|
노려보다|to glare, scowl|
쳐들다|to lift up, raise|
또라이|weirdo|
아침저녁|mornings and evenings|
전체적|overall, general|全體的
분쟁|dispute, conflict|紛爭
진료|medical examination and treatment|診療
초라하다|to be shabby, poor, pitiful|
가불하다|to pay in advance|假拂
우아하다|to be elegant, graceful|優雅
실크|silk|
절약하다|to economize, save|節約
일자리|job, position|
압도적으로|overwhelmingly|壓倒的
문제집|workbook|問題集
사항|matter, item, particulars|事項
숙지하다|to know inside out, be fully aware|熟知
채점하다|to grade, mark|採點
표명하다|to express, state|表明
보관하다|to keep, store, take charge of|保管
유일하다|to be the only one|唯一
공통점|point in common|共通點
시위|demonstration, protest; string|示威
환절기|change of seasons|換節期
치킨|chicken|
인쇄하다|to print|印刷
자켓|jacket|
초보|first steps, the beginning|初步
담요|blanket|潰-
취급하다|to handle, treat, deal with, deal in|取扱
전자레인지|microwave oven|電子range
램프|lamp|
학창|school|學窓
범죄|crime|犯罪
바위|rock|
클럽|club|
권하다|to advise, recommend, offer|勸
끝내|to the last, to the end|
대문|gate, front gate|大門
비판하다|to criticize, pass judgement|批判
확실히|certainly, for sure|確實
교류|exchange, interchange|交流
섞이다|to be mixed, be blended|
심리|mentality; court hearing, trial|心理,&nbsp;審理
적용하다|to apply (a rule, changes, etc.)|適用
그다지|(not) so much, in that way|
부처|Buddha|
상세하다|to be detailed, full|詳細
헛소리|nonsense, silly talk|
정직하다|to be honest, straightforward|正直
단추|button|
프린터|printer|
은|silver|銀
원목|hardwood|原木
천|cloth, fabric|
대형|large size|大型
배달원|delivery man|配達員
재래시장|traditional market|在來市場
수산시장|fish market|水産市場
장수|seller, merchant; long life, longevity|長壽
꽃다발|bouquet|
앞머리|bangs, front hair; forehead|
인상착의|(the description of) look, personal appearance|人相着衣
미아|missing child, lost child|迷兒
장식하다|to decorate, trim, adorn|裝飾·粧飾
여유롭다|to be leisurely|餘裕
점치다|to divine, foretell|占
돌잡이|doljabi (when a baby picks out one object from several)|
장래|the future|將來
청진기|stethoscope|聽診器
야유회|picnic|野遊會
쿵|with a thud, bang|
떫다|to be bitter, sour|
벼룩시장|flea market|--市場
길거리|street, road|
작업실|workroom|作業室
색다르다|to be different, unconventional, unusual|色-
완공되다|to be completed, be completely built|完工
차량|car, vehicle|車輛
주목|attention, notice|注目
귀금속|jewelry, precious metal|貴金屬
탐색하다|to explore, investigate|探索
토하다|to throw up, vomit|吐
굴욕|humiliation, indignity|屈辱
건반|keyboard, key|鍵盤
대인|adult, noble man; personal|大人,&nbsp;對人
엉금엉금|crawling, creeping|
획득하다|to acquire, gain, win|獲得
평온하다|to be calm, peaceful, serene|平穩
군것질|eating between meals|
작정하다|to decide, resolve|作定
보물|treasure|寶物
중단하다|to suspend, discontinue, interrupt|中斷
출판사|publishing company|出版社
클릭하다|to click|
머뭇거리다|to hesitate, hold back|
사물함|locker|私物函
방문|room door|房門
해내다|accomplish, achieve, do|
가업|family business|家業
대접하다|to treat, treat to, entertain|待接
배웅하다|to see someone out, see someone off|
건달|good-for-nothing|乾達
단정하다|to be neat, tidy, proper; to conclude, judge|端正,&nbsp;斷定
간지럽다|to be ticklish, feel ticklish, itchy|
허탈하다|to be dejected, dispirited|虛脫
검토하다|to examine, review, study|檢討
요리책|cookbook|料理冊
진수성찬|feast, lots of food|珍羞盛饌
부엌용품|kitchen appliances|-用品
개강|beginning of semester|開講
협찬하다|to sponsor, support|協贊
도착지|destination|到着地
까불다|to act up, misbehave|
맛집|restaurant famous for delicious food|
코뿔소|rhinoceros|
버겁다|to be beyond one's capability or resources|
달인|expert, master|達人
잠복|stakeout, hiding and waiting|潛伏
벌칙|penalty|罰則
시각|time; view;  sight, vision|時刻,&nbsp;視角,&nbsp;視覺
대로|main street, main road|大路
배터리|battery|
꼼짝 못하다|to be unable to move at all|
성질|nature, temper|性質
뭉치다|to gather (together), bundle, crumple up|
환호하다|to cheer|喚呼
완수하다|to carry out, accomplish|完遂
쾌감|pleasant feeling, pleasure|快感
개조하다|to remodel, alter|改造
소유하다|to own, have|所有
본격적|earnest, full-scale, regular|本格的
이적하다|to transfer, move|移籍
다급하다|to be urgent|多急
빛깔|color, tint|
업히다|to be carried on someone's back|
골인하다|to score a goal; to reach the finish line|
난동|disturbance; abnormally warm winter|亂動,&nbsp;暖冬
검거하다|to catch, arrest, round up|檢擧
쿠폰|coupon|
제외하다|to exclude, leave out|除外
모함|set-up, slander, false accusations|謀陷
연|year; kite;  lotus|年,&nbsp;鳶,&nbsp;蓮
팀장|team leader|team長
행방|one's whereabouts|行方
승패|victory and/or defeat|勝敗
수포|bubble; blister|水泡,&nbsp;水疱
실험하다|to perform an experiment|實驗
돋보기|magnifying glass, reading glasses|
오피스텔|studio apartment|
누이|sister|
꼴찌|the last, the bottom|
숨바꼭질|hide-and-seek|
꿀꺽|gulp|
빼앗기다|to be taken away, be robbed of; to be fascinated|
완패|complete defeat, crushing defeat|完敗
귀가하다|to go home, come home|歸家
즐비하다|to stand closely together, form a line|櫛比
씁쓸하다|to be bitter, disappointed|
거북하다|to be uncomfortable|
겹치다|to overlap|
대보다|to compare|
현수막|banner|懸垂幕
별말씀|unexpected, absurd, or extraordinary remark|別―
보람 있다|to be worthwhile, be fruitful|
포스터|poster|
벚꽃놀이|picnic under the cherry blossoms|
장만하다|to prepare, purchase, get|
시집|one's husband's home; collection of poems|媤―,&nbsp;詩集
항공편|flight|航空便
만석|full, fully occupied|
동맹|alliance, partnership|同盟
완료하다|to complete|完了
