어묵|fish cake|魚-
본색|one's true colors|本色
기저귀|diaper|
웃어른|senior citizen, elder|
김치찌개|kimchi stew|
성묘하다|to visit one's ancestral graves|省墓
신청자|applicant|申請者
한국인|Korean|韓國人
음원|sound source, online music|音源
손실|loss|損失
양해|understanding, consent|諒解
고춧가루|red-pepper paste|
새콤하다|to be sour, acidic|
일과|daily tasks|日課
방과|dismissal of class (when school is over for the day)|放課
공연장|concert hall, venue|公演場
쓸다|to sweep|
앞두다|to have something ahead|
면목|face, honor|面目
빗자루|broom|
착용하다|to wear|着用
출간하다|to publish|出刊
염려|worry, fear|念慮
대걸레|mop|
등교하다|to go to school|登校
딱밤|finger flick|
반숙하다|to be half-cooked, half-ripe|半熟
제자|student, disciple|弟子
드럼|drums|
소인|child; postmark|小人,&nbsp;消印
발레|ballet|
어머님|mother (hon.)|
기말시험|final exam|期末試驗
종이접기|origami|
끈끈하다|to be sticky|
침술|acupuncture|鍼術
수다스럽다|to be talkative|
입히다|to dress someone, cover|
육아|childcare, care of infants|育兒
배꼽|navel|
울타리|fence|
사고방식|way of thinking|思考方式
단맛|sweet taste|
메기|catfish|
노비|slave, servant|奴婢
뜰|yard, garden|
당연히|naturally, of course|當然
마구|hard, wildly, carelessly|
미디어|media|
수상|prime minister|首相
자랑스럽다|to be proud|
곳곳|here and there, in several places|
내지|from .. to|乃至
정식|formal, official|正式
망고|mango|
마술사|magician|魔術師
뒤집다|to turn over, turn inside out, reverse|
양손|both hands|兩-
무용수|showgirl|舞踊手
순식간에|in the blink of an eye|瞬息間
둘레|circumference|
자물쇠|lock|
대견하다|to be proud|
갯벌|mud flat|
계약직|contract worker|契約職
악어|crocodile, alligator|鰐魚
데굴데굴|rolling (continuously)|
튀다|to spatter, bounce|
뒤집히다|to be turned over, be reversed|
동화책|fairy tale book|童話冊
포즈|pose|
흉내|imitation|
몸짓|gesture|
발표회|recital, performance, conference|發表會
용건|business, matter of business|用件
차단하다|to block, shut off|遮斷
사채|private loan|私債
끌리다|to drag, be drawn (to)|
불쑥|unexpectedly, abruptly|
분가하다|to move out of one's parents' house|分家
오만하다|to be arrogant|傲慢
실장|chief, head of department|室長
날리다|to lose, make fly|
산소|oxygen; grave, tomb|酸素,&nbsp;山所
질|quality|質
부작용|side effect|副作用
먹방|eating show|
쑥스럽다|to be shy, bashful, embarrassed|
묘하다|to be strange, weird|妙
논술하다|to state, discuss|論述
사로잡다|to capture|
가시|thorn|
더듬이|feelers, antenna|
샘물|spring water|
물감|paint, dye, color|
스케치북|sketchbook|
총명하다|to be intelligent, bright|聰明
펄쩍펄쩍|jumping up and down|
운동회|sports day|運動會
회전목마|carousel|回轉木馬
낙지|small octopus|
유교|Confucianism|儒敎
과학적|scientific|科學的
환기|ventilation|換氣
탐험하다|to explore|探險
낙타|camel|駱駝
건방지다|to be impertinent, arrogant|
잔소리하다|to nag, scold, nitpick|
부정적|negative|否定的
저물다|to get dark|
보일러|boiler|
꼭꼭|thoroughly, firmly|
보약|tonic, restorative herbal medicine|補藥
도끼|ax|
연못|pond|蓮―
크림|cream|
거북|turtle|
우동|thick white noodles|udon[饂飩]
구급차|ambulance|救急車
체형|body type|體型
상어|shark|
공통되다|to be common|共通
보배|treasure|
베풀다|to give (generously)|
공룡|dinosaur|恐龍
넘나들다|to come and go often|
화단|flower bed; the art world|花壇,&nbsp;畵壇
고소하다|to be savory, aromatic; to gloat, show joy|
드러눕다|to lie down, sprawl|
씨름|wrestling|
알아내다|to discover, figure out|
멸치|anchovy|
마녀|witch|
기특하다|to be admirable, commendable|奇特
미끄러지다|to slide, slip|
꺾다|to break off, snap|
뛰어다니다|to run around|
저금통|coin bank|貯金筒
색종이|colored paper|色―
일기장|diary|日記帳
이자|interest|利子
등산화|hiking boots|登山靴
분명하다|to be clear, obvious|分明
현지|the actual place, the very spot|現地
넓히다|to widen, expand|
얹다|to put on, place|
털실|woolen yarn|
꽃무늬|floral design|
질기다|to be tough, durable, persistent, tenacious|
감기다|to be rolled, wound around; to shut one's eyes;  to wash one|
말랑말랑하다|to be soft, tender|
세뱃돈|New Year's cash gifts|
고립|isolation|孤立
덤비다|to come at, attack|
리본|ribbon|
벗겨지다|to come off, fall off, get removed|
병아리|chick|
진동하다|to vibrate|振動
자극하다|to stimulate, arouse|刺戟
조르다|to pester, nag; to tighten|
소형차|compact car|小型車
징그럽다|to be gross, nasty, creepy|
배식하다|to distribute [hand out] food|配食
향기롭다|to be fragrant, aromatic|香氣
대추|jujube (dates)|
선발하다|to select, pick out|選拔
우르르|all together, all over|
흥|fun, joy|興
구슬|bead, marble|
연약하다|to be weak, delicate, frail|軟弱
비비다|to rub; to mix|
자금|money, capital|資金
샐러드|salad|
헬멧|helmet|
낙서하다|to scribble, doodle|落書
차례차례|one by one|次例次例
운전기사|driver|運轉技士
안전띠|safety belt|安全-
뚜껑|lid, cover|
삼키다|to swallow|
송아지|calf|
시외버스|intercity bus|市外bus
정성|sincerity, devotion|精誠
마음씨|nature, temper|
내버리다|to throw away, not care|
효녀|devoted daughter|孝女
양치기|shepherd|羊-
정승|minister|政丞
누렇다|to be yellow|
귓속말|whisper|
걸레질|mopping, wiping|
그런대로|such as it is|
재활용|recycling|再活用
재활용품|recyclable materials|再活用品
플라스틱|plastic|
틀|frame, cast|
녹이다|to melt, dissolve|
씨앗|seed|
오늘날|today, present|
초가집|thatched-roof house|草家-
