특수|being special, unusual|特殊
꼴|look, state, sight|
위원회|committee, commission|委員會
기구|utensil, tool; organization|器具, 機構
근거|grounds, base|根據
형성되다|to be formed|形成
취업률|employment rate|就業率
수치|numerical value; shame, humiliation|數値, 羞恥
보태다|to add, supplement|
객관적|objective|客觀的
기울이다|to lean, tilt, devote|
더불다|to do together|
논쟁|dispute, argument|論爭
토론회|debate|討論會
후반전|second half|後半戰
연장전|overtime|延長戰
종목|event, discipline, item|種目
당숙|father's cousin|堂叔
소프트웨어|software|
영역|territory, domain|領域
구속하다|to arrest, restrain|拘束
이념|ideology, philosophy|理念
치르다|to pay, settle, experience|
아슬아슬하게|narrowly, by an inch|
복구하다|to restore|復舊
유서|(last) will, suicide note; history|遺書, 由緖
이체하다|to transfer, wire|移替
육군|army|陸軍
풍기다|to give off, radiate|
추진하다|to propel, push ahead|推進
흐름|flow, stream|
정당|political party|政黨
절차|procedure, process|節次
권리|rights|權利
자원|resources|資源
일시적|temporary|一時的
견해|opinion|見解
주어지다|to be given|
소재|material; whereabouts|素材, 所在
영장|warrant, draft notice|令狀
판결|judgement, ruling|判決
비로소|only after|
서구|the West|西歐
부문|field, sector, section|部門
기체|gas; fuselage|氣體, 機體
추락하다|to fall, crash|墜落
살아남다|to survive|
개선하다|to improve; to return in triumph|改善, 凱旋
바람직하다|to be desirable|
신화|myth|神話
근본적|fundamental|根本的
퍼지다|to spread out|
군사|military|軍事, 軍士
지적|intelligent|知的
예산|budget|豫算
온갖|all kinds of|
우려하다|to be concerned, fear|憂慮
수요|demand|需要
명문|noble family, prestigious school; well-written text|名門, 名文
지도자|leader|指導者
위원장|chairman, president|委員長
효과적|effective|效果的
저지르다|to commit, make|
한때|one time, briefly|
살아오다|to live, return alive|
상대적|relative|相對的
법률|law|法律
현|current, present|現
현대적|modern|現代的
공급하다|to supply, provide|供給
핵심|core, key|核心
중세|the Middle Ages|中世
끊임없이|constantly, incessantly|
상표|trademark|商標
민주화|democratization|民主化
재정|finances|財政
대규모|large scale|大規模
민간|civil|民間
사실상|actually|事實上
지대|zone, region|地帶
용어|terminology|用語
익히다|to master; to cook, ferment|
지위|status, position, rank|地位
올림|Sincerely yours|
수석|top, head|首席
제사|ancestral rites|祭祀
참새|sparrow|
농산물|agricultural products|農産物
사교적|sociable, outgoing|社交的
견문|knowledge, experience|見聞
후임|successor, replacement|後任
틈|crack, gap|
가령|suppose|假令
거대하다|to be huge, enormous|巨大
토대|foundation|土臺
여론|public opinion|輿論
의복|clothes, outfit|衣服
실리다|to be loaded, be published|
출산|childbirth|出産
선진국|developed country|先進國
대응하다|to respond, correspond|對應
중소기업|small and medium-sized enterprises|中小企業
고무줄|elastic cord|
막대기|stick, rod|
사각형|quadrangle|四角形
직접적|direct|直接的
필자|author, writer|筆者
협력하다|to cooperate, work together|協力
계층|class|階層
철저하다|to be thorough|徹底
태아|embryo|胎兒
민주|democracy|民主
전복되다|to be overthrown, to turn over|顚覆
귀뚜라미|cricket|
집중적|intensive|集中的
능률|efficiency|能率
구부리다|to bend|
안기다|to be held, hug; to charge, cause|
전업|full-time job|專業
정규|regular, formal|正規
이의|objection|異議
도련님|young gentleman, brother-in-law|
불만족스럽다|to be dissatisfied|不滿足
전염되다|to be transmitted, spread|傳染
미로|maze|迷路
가요계|music industry, pop music scene|歌謠界
엿보다|to peep, peek; to watch, wait|
진흙|mud|
허수아비|scarecrow, puppet|
산천|mountains and streams, nature|山川
송어|trout|松魚
이외|except, other than|以外
폐차|scrapped car|廢車
처벌|punishment|處罰
중환자실|intensive care unit|重患者室
조마조마하다|to feel nervous, be uneasy|
소일하다|to kill time|消日
유별하다|to be different, odd; to classify, categorize|有別, 類別
병신|idiot|病身
깨어나다|to wake up, regain consciousness|
자초지종|the whole story|自初至終
쫓겨나다|to be expelled, kicked out|
상담원|adviser, counselor|相談員
우울증|depression|憂鬱症
세입자|tenant|貰入者
뒹굴다|to roll over, toss about|
오기|stubbornness, arrogance|傲氣
추리다|to select, choose|
총각|bachelor|總角
저승|afterlife|
왕따|outcast, bullying|王-
열기|heat, excitement|熱氣
빨가벗다|to get naked, strip|
속물|materialistic person, snob|俗物
생글생글|with a smile|
뺑소니|hit-and-run; running away|
폭탄|bomb, explosive|爆彈
리포터|reporter|
외박하다|to stay out overnight, sleep somewhere else|外泊
해임되다|to be dismissed, relieved|解任
속죄하다|to atone|贖罪
바이러스|virus|
망신|shame, disgrace|亡身
지긋지긋하다|to be sick and tired|
대기|atmosphere|大氣
보름|half a month|
사퇴하다|to resign, step down|辭退
단수|stopping of the water supply; singular|斷水, 單數
물려받다|to inherit, take over|
주관적|subjective|主觀的
이변|unexpected (unusual) event|異變
때로|sometimes|
뒤흔들다|shake, shake up|
