발명품|invention|發明品
치료법|treatment, remedy|治療法
치열하다|to be fierce, intense|熾烈
달팽이|snail|
낱말|word|
실현되다|to be realized, come to pass|實現
비상구|emergency exit|非常口
악화되다|to worsen, deteriorate|惡化
산모|mother|産母
북극|North Pole|北極
확신하다|to be sure|確信
체증|indigestion, traffic congestion|滯症
정적|silence; still|靜寂, 靜的
빙하|glacier|氷河
진격하다|to advance, push|進擊
승부|victory or defeat, outcome|勝負
지원서|application|志願書
지능|intelligence, IQ|知能
다짐하다|to make a resolution|
당첨자|winner of a lottery|當籤者
사상|all-time; thought, idea|史上, 思想
전액|full amount|全額
억수|heavy rain|
교감하다|to connect (without words)|交感
세모|triangle|
시야|one's view, field of vision|視野
욕망|desire, craving|慾望
느긋하다|to be easygoing, carefree|
일주|tour, traveling around|一周
빗다|to comb|
핥다|to lick|
시련|hardship, trial|試鍊
고약하다|to be awful, nasty|
고귀하다|to be noble|高貴
수없이|innumerably|
시멘트|cement|
악당|villain|惡黨
반항하다|to defy, rebel|反抗
기억력|memory|記憶力
지향하다|to pursue|志向
태몽|dream about an unborn child|胎夢
용|dragon|龍
쓴맛|bitter taste|
사형|death penalty|死刑
조종하다|to manipulate|操縱
지수|index, quotient|指數
설명서|directions, instructions|說明書
깔다|to lay out|
선언하다|to announce|宣言
편집하다|to edit|編輯
이벤트|event|
아가|baby|
마트|supermarket|
드라이브|drive|
막다르다|to be a dead-end|
영화배우|movie actor|映畫俳優
감기약|cold medicine|感氣藥
교통비|transportation expenses|交通費
그러므로|therefore|
기차표|train ticket|汽車票
고상하다|to be elegant, sophisticated|高尙
현명하다|to be wise, sensible|賢明
부상|injury|負傷
오르내리다|to go up and down|
건전하다|to be sound, healthy|健全
통계|statistics|統計
임명되다|to be appointed|任命
무심히|indifferently|無心
달리기|run; race|
임산부|pregnant woman|姙産婦
화폐|currency, money|貨幣
정의|definition; justice|定義, 正義
치통|toothache|齒痛
문구점|stationery store|文具店
출금하다|to withdraw|出金
복통|stomachache|腹痛
특산물|specialty|特産物
단발머리|short hair (but longer than 5-10cm)|斷髮-<strong></strong>
수비|defense|守備
수동적|passive|受動的
거들다|to help, asist; to chime in|
휴게소|rest area|休憩所
작문|essay, writing|作文
무뚝뚝하다|to be brusque, gruff, curt|
합격자|successful candidate|合格者
레스토랑|restaurant|
벅차다|to be too much|
계약금|down payment|契約金
막연하다|to be vague, unclear|漠然
물들다|to be dyed, be colored|
정보화|digitization|情報化
초과하다|to exceed|超過
알차다|to be fruitful|
앞집|the house/apartment in front|
사무소|office|事務所
담|wall, fence|
물리치다|to defeat; to refuse, reject|
얻어먹다|to beg for food; to be spoken ill of|
식사량|meal size (amount)|食事量
관심사|(matter of) interest|關心事
찾아뵙다|to pay a visit|
겉옷|outerwear|
방송사|broadcasting company|放送社
약품|medicine, chemical|藥品
반박하다|to refute, rebut|反駁
학업|learning, studies|學業
원리|principle|原理
참견하다|to interfere, meddle|參見
해체되다|to be dissolved, break up|解體
절실하다|to be desperate, urgent|切實
연관|connection, association|聯關
귀감|role model|龜鑑
접종하다|to vaccinate|接種
주연|lead role|主演
이유식|baby food|離乳食
시사회|preview|試寫會
동식물|animals and plants|動植物
덩치|build, body|
투덜거리다|to grumble|
등장인물|character|登場人物
중고|secondhand (item)|中古
굽히다|to bend, yield|
감명|deep impression|感銘
기한|deadline, time limit|期限
결정적|decisive, crucial|決定的
객석|seat|客席
삼거리|three-way intersection|
일리|some truth|一理
장르|genre|
국악|Korean traditional music|國樂
거금|a lot of money|巨金
동상|statue|銅像
촬영지|filming location|撮影地
개막식|opening ceremony|開幕式
시금치|spinach|
되풀이하다|to repeat|
일손|hands (doing work)|
사무직|office job|事務職
앨범|album|
울산|Ulsan|蔚山
구직자|job seeker|求職者
장애|disability, obstacle|障礙
입사하다|to join a company|入社
조기|early|早期
정체성|identity|正體性
수리비|repair cost|修理費
부품|part, component|部品
습득하다|to acquire; to find|習得, 拾得
승차하다|to board, get in|乘車
수도권|metropolitan area|首都圈
부딪히다|to be bumped into (strongly)|
영|totally|
요|this; Korean-style mattress|
소방차|fire truck|消防車
대처하다|to handle, deal with|對處
경연|contest|競演
한문|Chinese characters|漢文
지퍼|zipper|
잡아먹다|to eat; to take up|
미용사|hairdresser|美容師
메뉴판|menu|
땅속|underground|
벨|bell|
협조하다|to cooperate|協助
정신없이|frantically, hectically|
중국인|Chinese|中國人
포크|fork|
음주|drinking|飮酒
예측하다|to predict, foresee|豫測
소독약|disinfectant|消毒藥
소시지|sausage|
비행하다|to fly|飛行
면적|area|面積
깜깜하다|to be very dark, pitch-black|
씻기다|to be washed, cleaned; to wash|
게시하다|to post, put up|揭示
친어머니|biological mother|
경제학|economics|經濟學
소식하다|to eat lightly, little|小食
연고|ointment|軟膏
필리핀|Philippines|
개수|number (of)|個數
기름기|grease, fat|
섭외하다|to cast, liaise|涉外
고혈압|high blood pressure|高血壓
데치다|to parboil, boil a little|
불면증|insomnia|不眠症
카페인|caffeine|
수면|sleep;<br>water surface|睡眠, 水面
진술하다|to say, state, testify|陳述
