体育馆|tǐyùguǎn|Gym
中心|zhōngxīn|Center (area)
回家|huí jiā|To go home
火车|huǒchē|A Train
火车站|huǒchēzhàn|Train Station
出租车|chūzūchē|Taxi
出口|chūkǒu&nbsp;|Exit / export
入口|rùkǒu|Entrance
读|dú|To read
好久不见|hǎojiǔbújiàn|Long time no see
未来|wèilái|In the future
新|xīn|New
菜单|càidān|Menu
图片|túpiàn|Picture
那边|nàbiān|There
这边|zhèbiān|Here
老外|lǎowài|Foreigner
下课|xiàkè|Finish class
上课|shàngkè|Start class
我忘了|wǒ wàng le|I forgot
水果|shuǐguǒ|Fruit
一点点|yīdiǎndiǎn|A little
听|tīng|to Listen
没关系|méiguānxi|It doesn't matter (respond if someone apologises to you)
用|yòng|To use
鱼|yú|Fish
累|lèi|Tired
更好|gèng hǎo|Better
加油|jiāyóu|Ganbatte!
加油站|jiāyóuzhàn|Petrol station
当然|dāng rán|Of course!
可是|kěshì|But ...
和|hé|And
教|jiào|to Teach
最|zuì|The most
最好|zuìhǎo|The best
零度可乐|líng dù kěle|Coke zero
卖单|mǎidān|Check / Bill
菜|cài|Dishes / Meal
日本料理|rìběn liàolǐ|Japanese food
翻译|fānyì|To Translate
作业|zuòyè|Homework
妹妹|mēimei|Younger sister
姐姐|jiějie|Big sister
弟弟|didi|Small brother
哥哥|gēge|Older brother
法国|fàguó|France
韩国|hánguó|Korea
重要|zhòngyào|Important
录查|lùchá|Green tea
红色|hóngsè|Red colour
白色|báisè|White colour
红酒|hóngjiǔ|Red wine
白酒|báijiǔ|White wine... or more likely that poisonous stuff!!
很少|hěn shǎo|Very little, opposite of 很多
最近|zuì jìn|Closest, also "Recently"
卖|mài|To sell
书|shū|Book
旧|jiù|Old
眼镜|yǎnjìng|Glasses
便宜|piányi|Cheap
贵|guì|Expensive
酒吧|jiǔbā|a bar
一半|yībàn|One half
觉得|juédé|To think
信心|xìnxīn|Confidence
老板|lǎobǎn|the Boss
工程师|gōngchéngshī|Engineer
橙汁|chéngzhī|Orange Juice
西瓜|xīguā|Watermelon
一共|yígòng|Altogether / In total
青菜|qīngcài|Green vegetables
西红柿|xīhóngshì|Tomato
厨师|chúshī|Chef
警察|jǐngchá|Policeman
经理|jīnglǐ|Manager
记者|jìchě|Journalist
家庭主妇|jiātíngzhǔfù|Housewife
司机|sījī|Driver
教授|jiàoshòu|Professor
律师|lǜshī|Lawyer
服务员|fúwùyuán|Waiter
秘书|mìshū|Secretary
护士|hùshi|Nurse
苹果|píngguǒ|Apple
香蕉|xiāngjiāo|Banana
橙子|chéngzǐ|Orange
草莓|cǎoméi|Strawberry
葡萄|pútáo|Grapes
芒果|mángguǒ|Mango
菠萝|bōluó|Pineapple
柠檬|níngméng|Lemon
蘑菇|mógū|Mushroom
生菜|shēngcài|Lettuce
土豆|tǔdòu|Potatoe
学校|xuéxiào|School
跳舞|tiàowǔ|To dance
因为|yīnwèi|Because
色子|shǎi zi|Dice!
我饿了|wǒ è le|I'm hungry
我渴了|wǒ kě le|I'm thirsty
我病了|wǒ bìng le|I'm sick
日期|rì qī|Date (日付)
周末|zhōumò|Weekend
伤心|shāngxīn|Sad
生气|shēngqì|Angry
