感冒|gǎnmào|To catch a cold
要紧|yàojǐn|Serious (as in a serious sickness or illness)
足球|zúqiú|Football
比赛|bǐsài|Match or competition
点心|diǎnxīn|A snack
串串香|chuànchuànxiāng|串焼 / sticks with meat on
夜宵|yèxiāo|Late night snack / eating
我饱了|wǒ bǎo le|I'm full (having eaten so much)
他有病！|tā yǒu bìng!|He's crazy! Hes sick!
句子|jùzi|A Sentence
暗|àn|Dark
亮|liàng|Light / Bright
房子|fángzi|A House
头痛|tóutòng|Headache
牙痛|yátòng|Toothache
肚子痛|dùzitòng|Stomach ache
背痛|bèitòng|Back ache
方面|fāngmiàn|Aspect / Side
要求|yāoqiú|To demand / request
地区|dìqū|Area / Region / District
才|cái|Only then / finally / just
信息|xìnxī|Information / News / Message
部分|bùfen|Part / Section
以上|yǐshàng|More than / Above / The Above
容易|róngyì|Easy
还是|háishi|Still / Nevertheless / Or
提高|tígāo|To raise / enhance / improve
发表|fābiǎo|To publish / To issue / Report
出现|chūxiàn|To appear / To arise / To emerge
洗|xǐ|To wash
干净|gānjìng|Clean (to be clean, not a verb)
呕吐|ǒutù|To vomit / throw up
你要吐吗?|nǐ yào tù ma?|Are you going to be sick? (vomit)
辛苦|xīnkǔ|To work hard
酸奶|suānnǎi|Yogurt
阿姨|āyí|Helper / Maid
瘦|shòu|Thin / Lean (For a person, not an object)
可爱|kěài|Cute
我没有兴趣|wǒ méiyǒu xìngqù|I've no interest
语法|yǔfǎ|Grammar
手表|shǒubiǎo|Wrist watch
请让一下|qǐng ràng yī xià|Please move (polite)
让座|ràngzuò|To give up ones seat
放心|fàngxīn|No worries!
洗手|xǐshǒu|To wash hands
洗碗|xǐwǎn|To wash the dishes
进步|jìnbù|Improvement
我有进步|wǒ you jìnbù|I have improved!
我要进步|wǒ yào jìnbù|I will improve!
除了 ..|chúle|Except ...
洗澡|xǐzǎo|To take a bath
脏|zāng|Dirty
用中文说了|yòng zhōngwēn shōu le|we spoke in Chinese
做饭|zuòfàn|To cook / make dinner
改天|gǎitiān|Some other day
怕|pà|Afraid
这么累|zhènme lèi|This tired ...&nbsp;
自信|zixìn|Self confidence
会越来越|huì yuè lái yuè|More and more (skilled, happy, etc)
越来越好|yuèláiyuèhǎo|Get better and better
科学|kēxué|Science&nbsp;
影响|To influence / to effect|yǐngxiǎng
欢迎|huānyíng|To welcome / To greet
发现|fāxiàn|To discover / to find
正在|zhèngzài|In the process of
关系|guānxi|Relation / Relationship
表示|biǎoshì|To show / express
所以|suǒyǐ|Therefore / so
变|biàn|To change / To become
那样|nàyàng|That kind of
认为|rènwéi|To think / To consider / To believe
意见|yìjiàn|Idea / Opinion / Objection
笨鸟先飞。|Bèn niǎo xiān fēi.|Clumsy birds have to start flying early
街|jiē|Street
跑|pǎo|To run / gallop
方式|fāngshì|Way / Method / Mode
错|cuò|Mistake / Fault / Error / Wrong
动|dòng|To move / To act / To get moving
重|zhòng|Weight / Heavy / Important / To place value on
讲话|jiǎnghuà|To speak / To talk / To address / Speech
生病|shēngbìng|To fall ill / To sicken
他生病了。|Tā shēngbìng le|He got sick.
我怕生病。|Wǒ pà shēngbìng|I'm afraid of getting sick
内|nèi|Inside / Inner
我在屋内。|Wǒ zài wūnèi|I'm indoors.
我怕冷。|Wǒ pà lěng|I'm afraid of the cold
我回来了|wǒ huílái le|I'm back!
回国|huíguó|To go back to ones own country
回去|huíqù|To go back
对面|duìmiàn|Opposite side (of the road etc)
温暖|wēnnuǎn|Nice and warm
时差|shíchā|Time difference
迟到|chídào|To be late
有精神|yǒu jīngshen|To have spirit
我很失望|wǒ hěn shīwàng|I'm very disappointed
免费|miǎnfèi|Free (no cost)
我看以下||I'm just looking
解释|jiěshì|To explain
东京|dōngjīng|Tokyo
比如说|bǐ rú shuō|For example
季节|jìjié|Season (4 seasons in Japan...)
雪人|xuérén|Snowman
滑雪|huáxué|Ski
滑冰|huábīng|Ice skating
能量|néngliàng|Energy
困|kùn|Sleepy
马马虎虎|mamahuhu|So so, not great not bad
故事|gùshì|A story
准备|zhǔnbèi|To be ready!
踢|tī|To kick
减肥|jiǎnféi|To lose weight
深|shēn|Deep
浅|qiǎn|Shallow
说谎|shuōhuǎng|To tell a lie
骗人|piànrén|To lie to people
他是骗子|tā shì piǎnzi|He is a liar!
他又说|tā yòu shuō|He said again (past)
健身房|jiànshēnfáng|A Gym (proper word)
意大利|yì dà lì|Italy
西班牙|xībānyá|Spain
羡慕|xiànmù|To Admire / To envy - positive way
跳|tiào|To jump / leap
跳过|tiàoguò|To skip (a chapter) / jump over (something)
我想问一下|wǒ xiǎng wèn yī xià|I'd like to ask ...
放弃|fàngqì|To give up
矮|ǎi|Short
我听说过|wǒ tīngshuō guò|I've heard of it
上网|shàng wǎng|To go on internet
密码|mìmǎ|Password
今天刮风|jīntiān guā fēng|Its windy today
阴|yīn|Overcast / Cloudy
多云|duōyūn|Little cloudy
游泳|yóuyǒng|Swimming
太极|tàijí|Taichi
跑步|pǎobù|Running (as a sport?)
长发|chángfà|Long hair
短发|duǎnfà|Short hair
直发|zhífā|Straight hair
卷发|juǎnfà|Curly hair
光头|guāngtóu|Bald
马上|mǎshàng|Immediately / Right away / Also soon (?)
天气预报|tiānqì yùbào|Weather forecast
球场|qiúchǎng|Court / Also Pitch (for playing sport on)
尝|cháng|To taste / To try
音乐|yīnyuè|Music
逛街|guàngjiē|Shopping
逛|guàng|To stroll
剪|jiǎn|To cut (with scissors)
头发|tóufà|Hair
发型|fàxíng|Hairstyle
适合|shìhé|To fit / To suit
不错|búcuò|Not bad! (pretty good actually)
打折|dǎzhé|Discount / To give a discount
体验|tǐyàn|To experience [something]
奇怪|qíguài|Strange / Weird
房东|fángdōng|Landlord / House owner
付钱|fù qián|Pay money
付房租|fù fángzū|To pay rent
搬|bān|To move (big things)
签证|qiānzhèng|Visa
单身|dānshēn|To be single
碰到|pèngdào|To meet by chance
是否|shìfǒu|"or not" grammar
假|jiǎ|Fake
剪刀|jiǎndāo|Scissors
要小心|yao xiǎoxīn|Be careful
建议|jiànyì|Suggestion
金色|jīnsè|Blonde
欢迎光临|huānyíngguānglín|Welcome! Irasshaimase!
最后次|zuì hòu cì|The final last time
他很受欢迎|tā hěn shòu huānyíng|Popular (lit: is being very welcome）
聊天|liáotiānr|To chat
越长越好|yuè cháng yuè hǎo|The longer the better
好好学习||Study hard
好好工作||Work hard
体恤|tīxù|T-Shirt
喝醉了|hē zuì le|Gotten drunk
窗|chuāng|Window
低|dī|Low
建设|jiànshè|Construction / To build / To construct
省|shěng|Province / To save / To omit
取得|qǔdé|To gain / To obtain / To achieve&nbsp;
解决|jiějué|To solve / To resolve / To settle
事情解决了|Shìqing jiějué le.|The situation has been resolved.
其中|qízhōng|Among / In
旅游|lǚyóu|To travel / trip / journey
成为|chéngwéi|To become / to turn into
而且|érqiě|Furthermore / Also / And
必须|bìxū|Must / Have to
级|jí|Level / Grade
计划|jìhuà|To plan / To intend / project / plan
专家|zhuānjiā|Expert / Specialist
说明|shuōmíng|To explain / illustrate / explanation
会谈|huìtán|Formal Important Talks / To hold Talks (primeminister or something?)
签合同|qiānhétong|To sign a contract
打印|dǎyìn|To print
复印|fùyìn|To photocopy
预订|yùdìng|To reserve; to book; to make a reservation or advance order Nuance “预订” refers to arranging something in advance, such as seats, rooms, tickets, or goods. It is formal and commonly used in business, t
客户|kèhù|A client
黑色|hēisè|Black colour
