耳环|ěrhuán|Earrings
红包|hóngbāo|Red envelope (full of moneys...)
第二天|dì èr tiān|Next day / the day after
可怕|kěpà|Fearful / Frightful
情人节|qíngrénjié|Valentines day
情人|qíngrén|Lovers
反正|fǎnzhèng|Anyway!
难怪|nánguài|No wonder!
垃圾|lājī|Rubbish / Garbage
楼梯|lóutī|Stairs
讨厌|tǎoyàn|To hate
小声|xiǎoshēng|Whisper / Low voice
倒霉|dǎoméi|Have bad luck / Unlucky
大多数人|dà duō shù rén|Most people
原谅|yuánliàng|To forgive
堵车|dǔchē|Traffic
注册|zhùcè|To register / enroll
眼睛|yǎnjīng|Eyes
鼻子|bízi|Nose
耳朵|ěrduō|Ears
脖子|bózi|Neck
胳膊|gēbo|Arm
手指|shǒuzhǐ|Fingers
脚趾|jiǎozhǐ|Toes
开放|kāifàng|To open / to lift a ban / to come into bloom
称|chēng|To call / To name / To weigh
县|xiàn|County
超过|chāoguò|To surpass / To exceed / To overtake
甚至|shènzhì|Even
方向|fāngxiàng|Direction
离|lí|To leave / to be away from
稳定|wěndìng|Stable / Steady / To stabilize
能够|nénggòu|Can / Be capable of
青年|qīngnián|Youth
应用|yìngyòng|To apply / To use / applied
作品|zuòpǐn|Work of literature or art
节目|jiémù|Program / Item
认真|rènzhēn|Serious / Earnest
组成|zǔchéng|To form / To make up / compose / component
信|xìn|Letter / Mail / to trust / to believe
严重|yánzhòng|Serious / Grave / Critical
克|kè|Gram
全体|quántǐ|Whole / Entire / All
当地|dāngdì|Locality&nbsp;
不仅|bùjǐn|Not the only one / Not only
申请|shēnqǐng|To apply for / Application
地震|dìzhèn|Earthquake
有效|yǒuxiào|Effective / Valid
电子|diànzǐ|Electronic / Electron
另|lìng|Other / Another / In addition / Besides
增长|zēngzhǎng|To increase / To rise / To grow
打包|dǎbāo|Pack up the leftovers after eating in a restaurant
饭盒|fànhé|Lunch box
清楚|qīngchǔ|Clear (speak clearly, hear clearly etc)
我不太清楚|wǒ bù tài qīngchǔ|I don't really know&nbsp;
客厅|kètīng|Living room
厨房|chúfáng|Kitchen
阳台|yángtái|Balcony
AA制|AA zhì|Going dutch / split the bill
愿意|yuànyì|Be willing / wish
太直接了|tài zhíjiē le|Too direct
话题|huàtí|Conversation subject
换一个话题|huàn yi ge huàtí|Change the subject
不一定||Not for sure
账单|zhàngdān|Bill; check; invoiceNuance:账单 is a neutral term for a statement of money owed for goods or services. It can refer to restaurant bills, utility bills, medical bills, or any itemized account of charges.
我们打包|wǒmen dǎbāo|We'll take that leftover food to go .. (doggy bag!)
便当|biàndāng|Bento box
