著作|zhùzuò|to write; work, book
观察|guānchá|to observe, to survey; observation
工商|gōngshāng|industry and commerce
曾经|céngjīng|once, before
对方|duìfāng|the other side, the other party
寻找|xúnzhǎo|to seek, to look for
田|tián|field, farmland
不少|bùshǎo|not few, many
缓解|huǎnjiě|to relieve, to alleviate; relief
油快用完了|Yóu kuài yòngwán le.|I'm running out of oil
衣服油了|Yīfu yóu le.|The coat has got oil stains on it.
自我|zìwǒ|self, oneself; ego
名牌|míngpái|famous brand, nameplate
绝对|juéduì|absolute; absolutely, most
绝对不行！|Juéduì bùxíng!|Absolutely not!
之中|zhīzhōng|inside, among, of
现代化|xiàndàihuà|to modernize; modernization
实习|shíxí|practical experience, field work; to practice
奖金|jiǎngjīn|money award, bonus, prize
构成|gòuchéng|to compose, to constitute; structure, composition
粮食|liángshi|grain, cereals, food
钟|zhōng|bell, clock, time
私人|sīrén|private, personal; individual
年级|niánjí|grade, year
促使|cùshǐ&nbsp;|to impel, to urge, to spur
成长|chéngzhǎng|to grow; growth, development
光盘|guāngpán|compact disc, CD
转变|zhuǎnbiàn|to change, to transform; change, transformation
青少年|qīngshàonián|young people, teenagers
道歉|dàoqiàn|To apologise
犯罪|fànzuì|Crime
怀疑|huáiyí|to doubt, to suspect, to guess; doubt, suspicion
凭|píng|to lean against, to rely on; according to; no matter
圈|quān|circle, ring; to enclose, to mark with a circle
岛|dǎo|island
他住在岛上|Tā zhù zài dǎo shang|He lives on the island
公主|gōngzhǔ|princess
显著|xiǎnzhù|notable, marked, remarkable
摆|bǎi|to place, to put, to arrange
传递|chuándì|to transmit, to relay, to deliver
相似|xiāngsì|similar, alike
春节|chūnjié|Spring Festival, Chinese New Year
春节快到了|Chūnjié kuài dào le.|The Spring Festival is coming
姑娘|gūniang|girl, daughter
总裁|zǒngcái|director-general, president, governor
个性|gèxìng|personality
应当|yīngdāng|should, ought to, must
道德|dàodé|morals, ethics; moral
效益|xiàoyì|benefit, income, effectiveness, profit
贴|tiē|to paste, to stick, to keep close; counter for plaster
青|qīng|blue or green
爱心|àixīn|compassion, love
她很有爱心|Tā hěn yǒu àixīn|She's compassionate
谈判结束了|Tánpàn jiéshù le.|The negotiation is over.
疼|téng|to hurt, to ache
他的牙很疼|Tā de yá hěn téng|He has a bad toothache
神秘|shénmì|mysterious, mystical
宇宙很神秘|Yǔzhòu hěn shénmì|The universe is mysterious
法语|fǎyǔ|French language
德语|déyǔ|German language
新鲜|xīnxiān|Fresh
同屋|tóngwū|Roommate
学期|xuéqī|Semester / Term
书法|shūfǎ|Calligraphy
乒乓球|pīngpāngqiú|Table tennis
辅导|fǔdǎo|To coach / tutor / guide
亲戚|qīnqi|Relative / KinsfolkNuance亲戚 is a noun that refers to relatives or family members beyond the immediate nuclear family—such as aunts, uncles, cousins, in-laws, and extended kin. In Chinese culture, the 
化妆品|huàzhuāngpǐn|Cosmetics
多长时间|duō cháng shíjiān|How long
急忙|jímáng|In a hurry
快餐|kuàicān|Fast food
面条|miàntiáo|Noodles
收音机|shōuyīnjī|Radio / Radio set
必胜客|bìshèngkè|Pizza hut
真功夫|zhēngōngfu|That god damn awful kung fu restaurant
上衣|shàngyī|Upper garment / Jacket
试衣间|shìjījīān|Fitting room / Changing room
肥|féi|Loose / Loose fitting
正好|zhènghǎo|Just right (time, position, size, number, degree, etc)
算了|suàn le|Let it be / let it pass / forget it
亲爱|qīn'ài|Dear / Beloved
晚会|wǎnhuì|Evening party
忘不了|wàng bu liǎo|Cannot forget / Unforgettable
住院|zhù yuàn|To be hospitalized / to be in hospital
出院|chūyuàn|Leave hospital
广东话|guǎngdōnghuà|Cantonese language
草地|cǎodì|Lawn / Meadow
市区|shìqū|Urban district / Downtown area
刷卡|shuā kǎ|Swipe card
零花钱|línghuāqián|Pocket money
流利|liúlì|Fluent
生动|shēngdòng|Another word for "lively"
气|qì|air, breath; to get angry, to anger
别气我！|Bié qì wǒ!|Don't make me angry!
中介|zhōngjiè|intermediary, agent, medium
登|dēng|To Ascend / To Climb / To Mount / To Publish / To RegisterNuance登 is a versatile verb with a core meaning of moving upward or making something public. Its primary meanings include physically ascending
校长|xiàozhǎng|principal, headmaster
反而|fǎn'ér|on the contrary, instead
集合|jíhé|to gather, to assemble
藏|cáng|to conceal, to hide, to store
缺乏|quēfá|to be short of, to lack
我缺乏信心|Wǒ quēfá xìnxīn|I lack confidence
豪华|háohuá|luxurious, sumptuous
环|huán|to be ringed by, to be surrounded by
否认|fǒurèn|to deny, to repudiate
删除|shānchú|to delete, to erase
落实|luòshí|to implement, to carry out; at ease
意识|yìshí|consciousness; to be aware of
资产|zīchǎn|property, assets
银|yín|silver
细|xì|fine, thin, slender
遇|yù|to meet, to encounter
密切|mìqiè|close, intimate; carefully
辩论|biànlùn|to debate, to argue; debate, argument
乘|chéng|to ride, to take advantage of, to multiply
课程|kèchéng|curriculum
客观|kèguān|objective; objectivity
彻底|chèdǐ|thoroughly, completely
花园|huāyuán|garden
角色|juésè|role, part
经典|jīngdiǎn|classic, scripture; classical
激烈|jīliè|intense, fierce
细节|xìjié|details, particulars
我们是兄弟|Wǒmen shì xiōngdì|We're brothers
屋|wū|room
谁在屋里？|Shuí zài wū li?|Who's in the room?
可见|kějiàn|it can be seen that; visible
尽量|jìnliàng|As much as possible
母语|mǔyǔ|Mother tongue / Native language
乐意|lèyì|To be willing to do something / happy to do something
航班|hángbān|flight, flight number
航班延误了|<div>Hángbān yánwù le.</div>|The flight was delayed
营养|yíngyǎng|nutrient, nutrition; to nourish
治|zhì|to treat, to cure
强大|qiángdà|big and powerful, mighty
秩序|zhìxù|order
大约|dàyuē|approximately, probably; approximate
汗|hàn|sweat
缩小|suōxiǎo|to reduce, to shrink; reduction, contraction
货|huò|goods, commodity, person
观看|guānkàn|to watch, to view
批准|pīzhǔn|to approve, to endorse, to ratify
博士|bóshì|doctor, Ph.D.
争|zhēng|to contend, to compete, to argue
射击|shèjī|to shoot, to fire; shooting
照|zhào|to shine, to reflect, to photograph; according to
照你说的办|Zhào nǐ shuō de bàn|Let's do as you say
立刻|lìkè|immediately, at once
我立刻回家|Wǒ lìkè huíjiā|I'll return home immediately
高档|gāodàng|superior quality, high-grade
时刻|shíkè|time, moment; constantly, always
承认|chéngrèn|to admit, to acknowledge, to recognize; acceptance
随时|suíshí|at any time, whenever necessary
导演|dǎoyǎn|to direct; director
待|dài|to treat, to entertain
他待我不好|Tā dài wǒ bù hǎo.|He doesn't treat me very well
我们祝福你|Wǒmen zhùfú nǐ|We bless you
士兵|shìbīng|soldier
关怀|guānhuái|to care for, to show concern for; concern
透明|tòumíng|transparent, open
好|hào|to like, to be fond of, to be liable to
我好玩游戏|Wǒ hào wán yóuxì|I like playing games
她好开玩笑|Tā hào kāi wánxiào|She likes playing tricks
躺|tǎng|to lie, to recline
为|wéi|to be, to act as, to do
凡是|fánshì|every, any, whatever
港口|gǎngkǒu|port, harbor
执照|zhízhào|license, permit
你别得意！|Nǐ bié déyì!|Don't be so pleased with yourself!
握手|wòshǒu|to shake hands, to clasp hands
我和他握手|Wǒ hé tā wòshǒu|I am shaking hands with him
差别|chābié|difference
钢铁|gāngtiě|iron and steel, steel; strong, firm
念|niàn|to read aloud, to attend school, to study
集|jí|market, fair; to collect; counter for volumes or episodes
果汁|guǒzhī|fruit juice
发烧|fāshāo|to have a fever
冰变成水了|Bīng biànchéng shuǐ le.|The ice turned into water
词语|cíyǔ|words and phrases
抬|tái|to lift, to raise, to carry
好奇|hàoqí|curious, inquisitive
抽烟|chōuyān|to smoke; smoking
批|pī|to write comments; counter for batches
所谓|suǒwèi|so-called
个子|gèzi|height, stature, build
他个子很高|Tā gèzi hěn gāo.|He's tall
抢|qiǎng|to rob, to compete for
熟悉|shúxī|to know well, to be familiar with
过分|guòfèn|excessive, going too far; too, too much
煤炭|méitàn|coal
委员|wěiyuán|committee member
了|liǎo|to end, to finish
道理|dàolǐ|principle, reason
入乡随俗|rù xiāng suí sú|When in rome do as the romans do
渐渐|jiànjiàn|Gradually / Little by little
闹钟|nàozhōng|Alarm clock
懒虫|lǎnchóng|Lazybones
