佩服|pèifú|To admire
动摇|dòngyáo|To sway / To waver / To rock / To destabilize
底下|dǐxia|Below / Under
骂|mà|To curse / scold / abuse
蜜蜂|mìfēng|Bee / Honeybee
干脆|gāncuì|Straightforward / Clear-cut / Simply
平静|píngjìng|Tranquil / Calm / Quiet / Serene
竹子|zhúzi|Bamboo
准时|zhǔnshí|On time / Punctual / On schedule
异常|yìcháng|Unusual / Abnormal
季度|jìdù|Season of a year / quarter / Season (sports)
煤气|méiqì|Coal Gas
短期|duǎnqī|Short term
书架|shūjià|Bookshelf
主语|zhǔyǔ|The subject (grammar)
支票|zhīpiào|Cheque
开支票|kāi zhīpiào|To write a cheque
短语|duǎnyǔ|Phrase
衬衣|chènyī|Shirt / underclothes
缝制|féngzhì|To sow / To make (clothes)
本领|běnlǐng|Skill / Ability / Capability
红旗|hóngqí|Red flag / Red banner
解答|jiědá|Answer / Explanation / Math solution of an equation
奥秘|àomì|Mystery / Secret
抄写|chāoxiě|Transcribe / Copy
热爱|rè'ài|Ardently love / have deep love
事先|shìxiān|In advance / Beforehand
争论|zhēnglùn|To argue / To debate / Dispute
醋|cù|Vinegar
细心|xìxīn|Careful / Attentive
捉|zhuō|To catch / capture
猫捉老鼠。|Māo zhuō lǎoshǔ|The cat catches the rat
老百姓|lǎobǎixìng|Common ordinary people / the "person in the street"
仰|yǎng|Look up
碰见|pèngjiàn|Meet unexpectedly / To run into
交际|jiāojì|Socialise / Social intercourse
转告|zhuǎngào|Pass on / Communicate / Transmit
区别|qūbié|To distinguish / Difference / discriminate / make a distinction
企图|qǐtú|To attempt / try
阻止|zǔzhǐ|To prevent / To block
体育场|tǐyùchǎng|Stadium
棒球|bàngqiú|Baseball
铜|tóng|Copper
背后|bèihòu|At the back / Behind / Behind someones back
观点|guāndiǎn|Viewpoint / Standpoint
补习|bǔxí|Take lessons after school / Extra tutoring
补习班|bǔxíbān|Cram school
描写|miáoxiě|To describe / depict / portray
结论|jiélùn|Conclusion / Verdict
证据|zhèngjù|Evidence / Proof / Testimony
推测|tuīcè|Speculation / To conjecture
疲劳|píláo|Fatigue
脾气|píqi|Temper / Temperament
暴躁|bàozào|Irritable / Violent
适当|shìdàng|Suitable / Proper
打扰|dǎrǎo|To disturb
队长|duìzhǎng|Captain / Team leader
胃口|wèikǒu|Appetite
婴儿|yīng'ér|Infant / Baby
烤|kǎo|To roast / Bake
影子|yǐngzi|Shadow
前程|qiánchéng|Future (career etc) / Prospects
动人|dòngrén|Moving / Touching
做客|zuòkè|To be a guest / be a visitor
繁荣|fánróng|Prosperous / Booming
陆续|lùxù|In turn / One after the other / Successively
主张|zhǔzhāng|To advocate / To stand for
吸收|xīshōu|To absorb / suck up / assimilate
榜样|bǎngyàng|Example / Model
牙刷|yáshuā|Toothbrush
疑问|yíwèn|Doubt / Query / Question
忠心|zhōngxīn|Loyalty / Devotion / Dedication / Allegiance
气象|qìxiàng|Meterology
暴风雨|bàofēngyǔ|Rainstorm / Storm
斜|xié|Tilted / Slanting
黑板|hēibǎn|Blackboard
语调|yǔdiào|Intonation
隔|gé|To separate; to divide; apart; to be at a distance from. Nuance: 隔 is a versatile term that conveys physical, temporal, or metaphorical separation. It can describe space (e.g., two objects being apart
