口袋|kǒudai|Pocket (coat?)
小偷|xiǎotōu|Thief
掏出|tāochū|To fish out / To take out (from a pocket, bag etc)
虚心|xūxīn|open-minded; humble; receptive to feedbackNuances:This term describes a willingness to learn from others without arrogance. It implies an empty (虚) heart (心) ready to be filled with knowledge, emphasi
旗子|qízi|Flag / Banner
愤怒|fènnù|Anger / Indignant
锅|guō|Pan / Pot / Boiler
煎锅|jiānguō|Frying pan
绳子|shéngzi|Cord / String / Rope
病房|bìngfáng|Sickroom / Ward
织|zhī|To weave / knit
砍|kǎn|Chop / Cut
缺点|quēdiǎn|Weak point / Fault / Shortcoming
光线|guāngxiàn|Light ray / Optical cable
挡住|dǎngzhù|To obstruct
损害|sǔnhài|To harm / damage / impair
视力|shìlì|Vision / Eyesight
窗帘|chuānglián|Window curtains
无法|wúfǎ|Unable / Incapable
暗淡|àndàn|Dark / Dim light / Dull color / Gloomy
公费|gōngfèi|At public (state) expense
烫|tàng|To scald / To burn
礼堂|lǐtáng|Assembly hall / Auditorium
称赞|chēngzàn|To praise / Compliment
单调|dāndiào|Monotonous / Dull
厘米|límǐ|Centimeter
骨头|gǔtou|Bone
剧场|jùchǎng|Theatre
艰巨|jiānjù|Arduous / Formidable / Very difficult
杂技|zájì|Acrobatics
惊险|jīngxiǎn|Thrilling / A thriller
用功|yònggōng|Hardworking / Diligent / Industrious
日记|rìjì|Diary
臭|chòu|stench / smelly / to smell bad
悠久|yōujiǔ|Long / Age old / Longstanding / Established
处分|chǔfèn|Punishment / Punish
可靠|kěkào|Reliable / Dependable
可靠性|kěkàoxìng|Reliability
共产党|gòngchǎndǎng|The Communist Party
服从|fúcóng|Obey (an order) / Submit
长者|zhǎngzhě|Senior / Older person
无望|wúwàng|Without hope / Hopeless / Without prospects
未婚夫|wèihūnfū|Fiance
婚约|hūnyūe|Engagement
议长|yìzhǎng|President / Minister （？）
抗议|kàngyì|Protest
牌子|páizi|Sign / Plate / well known brand
救|jiù|To save [someone]
校规|xiàoguī|School rules
开学日|kāixuérì|Day school opening
停车场|tíngchēchǎng|Car parking lot
描述|miáoshù|To describe / Description
心底|xīndǐ|Bottom of ones heart
总数|zǒngshù|Sum / Aggregate
暗暗|ànàn|Secretly
注视|zhùshì|Watch attentively / To gaze
陶醉|táozuì|To be infatuated with / To be enchanted with / To revel in
或许|huòxǔ|Perhaps / Maybe
跟上|gēnshàng|To catch up with / To keep pace with
门外|ménwài|Outside the door
外侧|wàicè|Outer side (of a shoe)
链子|liànzi|Chain (metal one)
纸条|zhǐ tiáo|Slip of paper
上面|shàngmian|On top of
恶意|èyì|Malice / Evil intention
崇拜|chóngbài|To worship / Adore
住所|zhùsuǒ|Habitation / Residence / Dwelling place
提起|tíqǐ|To mention / To speak of
字条|zìtiáo|Brief note
心跳|xīntiào|Heartbeat / Pulse
有种|yǒuzhǒng|To have guts / To have courage / To be brave
舍得|shěde|To be willing to part with
舍|shě|to give up; to abandon; to sacrificeNuances:Emphasizes voluntarily relinquishing something valuable for a higher purpose.Example Sentences:他舍小家为大家，长期坚守抗疫一线。(He sacrificed family time for the greater g
近距离|jìnjùlí|Close range
贴近|tiējìn|To press close to / To snuggle close / Intimate
我心想|wǒ xīn xiǎng|I thought to myself ..
回味|huíwèi|To reflect on / To ponder over / Aftertaste
失落|shīluò|To lose / To miss / To fail
踪迹|zōngjì|Tracks / Trail / Footprint / Trace
搜索|sōusuǒ|To search for / To look for / Internet search
标题|biāotí|Title / Heading / Headline / Caption / Subject
无比|wúbǐ|Incomparable / Matchless
发贴|fātiě|To post (an item on a forum)
光顾|guānggù|To visit (as a customer)
直到|zhídào|Until
暗恋|ànliàn|To be secretly in love
停留|tíngliú|To stay somewhere temporarily / To stop over
默默|mòmò|In silence / Not speaking
呼唤|hūhuàn|To call out (a name etc) / To shout
衷心|zhōngxīn|Heartfelt / Wholehearted
拍拖|pāituō|To date somebody
念头|niàntou|Thought / Idea / Intention
绵绵|miánmián|Continuous / Uninterrupted
大怒|dànù|Angry / Indignant
不依|bùyī|Not comply / Not go along with / No let off easily
受苦|shòukǔ|To suffer / Hardship
