洗手池|xǐshǒuchí|Sink (to wash hands)
水龙头|shuǐlóngtóu|The tap (better word!)
房地产|fángdìchǎn|Real estate
负担|fùdān|Burden
节省|jiéshěng|To save (money, time, goods etc)
开支|kāizhī|Expenses
牛|niú|Can also mean "Cool, amazing"
指责|zhǐzé|To criticise / to censure
火爆|huǒbào|Fiery, red hot, can mean "very awesome" too
首饰|shǒushì|Jewelry / Head ornament
似的|shìde|Seems as if / Rather like
宇宙飞船|yǔshòufēichuán|Spacecraft
盘旋|pánxuán|To hover / To orbit / To spiral / To go around
匆匆|cōngcōng|Hurriedly
赶往|gǎnwǎng|To hurry to (somewhere)
抵押|dǐyā|Mortgage
免税|miǎnshuì|Not liable to taxation
抵消|dǐxiāo|To counteract / To cancel out / To offset
骚乱|sāoluàn|Disturbance / Riot / To create a disturbance
相遇|xiāngyù|To meet / To encounter / To come across
聚首|jùshǒu|To gather / To meet
转让|zhuǎnràng|To transfer (goods, technology etc)
珍贵|zhēnguì|Precious
遗憾|yíhàn|Regret / To be sorry that
山谷|shāngǔ|Valley
结盟|jiéméng|To form an alliance / To ally oneself with
周刊|zhōukān|Weekly publication
脚踏|jiǎotà|Pedal (on a bike)
精神病|jīngshénbìng|Mental disorder / Psychosis
雇用|gùyòng|To employ / To hire
护理|hùlǐ|To nurse / To tend and protect
无家可归|wújīakěguī|Homeless
避难所|bìnànsuǒ|Refuge / Asylum
饲养|sìyǎng|To raise / To rear (animals etc)
监禁|jiānjìn|To imprison / To jail / To take into custody
投诉|tóusù|Complaint / To file a complaint / to sue
一连串|yīliánchuàn|A chain of (events, errors, problems etc) / a succession of (disasters etc)
稀有|xīyǒu|Uncommon
昆虫|kūnchóng|Insect
采集|cǎijí|To gather / To collect / To harvest
智能|zhìnéng|Intelligent / Able / Smart (phone, system, bomb etc)
品性|pǐnxìng|Characteristic / Moral character
账目|zhàngmù|Account
不妙|bùmiào|not too encouraging / far from good / anything but reassuring
退避|tuìbì|To withdraw / To retreat
膨胀|péngzhàng|To expand / to inflate / To swell
摆脱|bǎituō|to break away from / to get rid of / to break out of / to free oneself from
厌倦|yànjuàn|To be weary of / To be fed up with / Tedious
远东|yuǎndōng|Far East
据报道|jùbàodào|According to reports / It is reported that ..
痕迹|hénjì|Mark / Trace / Vestige???
冒雨|màoyǔ|To brave the rain
难以|nányǐ|Hard to (predict, imagine etc)
吞咽|tūnyàn|To swallow / To gulp
苦果|kǔguǒ|Painful consequence / bitter fruit
释放|shìfàng|To release / To set free / To liberate (prisoner)
骚扰|sāorǎo|to harass / to cause a commotion / to disturb
性骚扰|xìngsāorǎo|Sexual harassment
陪审团|péishěntuán|Jury
退下|tuìxià|To withdraw / to step down / to retire / to retreat
裁决|cáijué|Ruling / Adjudication
行驶|xíngshǐ|To travel along a route (of vehicles etc)
远处|yuǎnchù|Distant place
车辆|chēliàng|Vehicle
往来|wǎnglái|To go back and forth / dealings / contacts
嗡嗡声|wēngwēngshēng|Hum / Drone / Buzz
叙述|xùshù|to tell or talk about / to recount / to narrate
机库|jīkù|Aircraft Hangar
力图|lìtú|To try hard to / To strive to
揭|jiē|To take the lid off / To expose
蒸汽|zhēngqì|Steam
成真|chéngzhēn|To come true
白兰地|báilándì|Brandy
妨碍|fáng ài|To hinder / To obstruct
风暴|fēngbào|A storm
报税|bàoshuì|To declare dutiable goods at customs
砖|zhuān|Brick
无辜|wúgū|Innocent
倾向于|qīngxiàngyú|Prone to (believe XYZ)
国有|guóyǒu|Nationalised / Public / State owned
议题|yìtí|Topic of discussion / subject / issue
谣传|yáochuán|Rumour
近期|jìnqī|In the near future / Very soon
临别|línbié|On parting / Facing separation
人死|rénsǐ|A persons death
心脏病|xīnzàngbìng|Heart disease
发作|fāzuò|To flare up / To break out
磅|bàng|Pound (unit of weight)
弓箭手|gōngjiànshǒu|Archer
葡萄干|pútaogān|Raisins (ie dried grapes)
粉刷|fénshuā|To paint / To whitewash / plaster
起源|qǐyuán|To come from / To originate
拉丁语|lādīngyǔ|Latin (language)
笼罩|lǒngzhào|To envelop / To shroud
画廊|huàláng|Gallery
评论家|pínglùnjiā|Critic / Reviewer
过渡|guòdù|Excessive / Over- &nbsp;/ Going too far
阴沉|yīnchén|Gloomy (ie weather)
恶狠狠|èhěnhěn|Very fierce (恶狠 by itself is fierce and vicious)
争吵|zhēngchǎo|Dispute / Argument
打架|dǎjià|To fight / To come to blows / To scuffle
缓慢|huǎnmàn|Slow / Slow moving
速溶咖啡|sùróngkāfēi|Instant coffee (速溶 is instant ready part)
出勤|chūqín|To start work / To show up on time for work
艘|sōu|counter for ships
财物|cáiwù|Property / Belongings
半径|bànjìng|Radius
神话|shénhuà|Legend / Fairy tale / Myth
蜡烛|làzhú|Candle
公然|gōngrán|Openly / Publicly / Undisguised
蔑视|mièshì|To loathe / To despise / Contempt
上司|shàngsi|Boss / Superior
耽误|dānwu|To delay / To hold up / To waste time
干涉|gānshè|To interfere / To meddle
淹死|yānsǐ|To drown
国旗|guóqí|Country flag
天鹅|tiāné|Swan
风向|fēngxiàng|Wind direction / the way the wind is blowing
预示|yùshì|To indicate / To foretell / To forebode
即将来临|jíjiāngláilín|Imminent
震动|zhèndòng|To shake / To vibrate / To strongly affect / shock
阻力|zǔlì|Resistance / Obstacle / Hindrance
车子|chēzi|Small vehicle (car, bicycle, cart etc)
毁|huǐ|To damage / To destroy / To ruin
平息|píngxī|To settle (a dispute) / to quieten down / to suppress
不自在|bùzìzài|Uneasiness / Feel uncomfortable
沾满|zhānmǎn|Muddy / Covered in (mud, dust, oil, blood etc)
油污|yóuwū|Greasy and dirty / Oil pollution
通货|tōnghuò|Currency
通货膨胀|tōnghuò péngzhàng|Inflation (money)
决定性|juédìngxìng|Decisive / Conclusive
精力|jīnglì|Energy
大规模|dàguīmó|Large scale / Wide scale
暴风雪|bàofēngxuě|Snowstorm / Blizzard
救星|jiùxīng|Savior / saving star
障碍|zhàng ài|Barrier / Obstruction / Hindrance
搜寻|sōuxún|To search / To look for (survivors etc)
绳索|shéngsuǒ|Rope
捆|kǔn|To tie together / bundle / a bunch
挣扎|zhēngzhá|To struggle (escaping from attacker!)
侵犯|qīnfàn|To violate / to infringe on / to encroach on
治学|zhìxué|Scholarship / High level study
