无敌|wúdí|Unequalled / without rival
闲事|xiánshì|Other people's business; matters that do not concern oneselfNuance:闲事 refers to affairs or issues that are not one's own responsibility or concern. The term often carries the implication that getting 
管闲事|guǎnxiánshì|To meddle / To be a "nosy Parker" / be too inquisitive about other peoples business
虚度|xūdù|To fritter away (ones time)
时光|shíguāng|Time / Era / Period of time
偏爱|piān ài|To be partial towards something / to prefer / favor
大概|dàgài|Roughly / Approximately
箭头|jiàntóu|Arrow symbol / Arrowhead
香皂|xiāngzào|Perfumed soap / Toilet soap
薄雾|bówù|Mist / Haze
环绕|huánrào|To surround / To circle / To revolve around
裤带|kùdài|Belt (in trousers)
扣|kòu|To fasten (seatbelt)
理性|lǐxìng|Rational / Reason
壁纸|bìzhǐ|Wallpaper
肉眼|ròuyǎn|The naked eye
海报|hǎibào|Poster / Notice
中空|zhōngkōng|Hollow / Empty interior
打扮|dǎban|To dress up / to make up / to decorate
空谈|kōngtán|Prattle / idle chit chat
坚硬|jiānyìng|Hard / Solid
典范|diǎnfàn|Model / Example / Paragon
扣子|kòuzi|Button
松开|sōngkāi|To untie / to come loose / to release / to let go
奶油|nǎiyóu|Cream or butter
品德|pǐndé|Moral character
责怪|zéguài|To blame / To rebuke
绝望|juéwàng|Desperation / Hopeless / Despair
玉米|yùmǐ|Corn / Maize
丰收|fēngshōu|Bumper harvest
滴下|dīxià|Drip / to drip
终止|zhōngzhǐ|To stop / To terminate (law)
老化|lǎohuà|To age / To become old
矿|kuàng|Mine / Ore
大夫|dàifu|Doctor
胃病|wèibìng|Stomach trouble / stomach illness
腐烂|fǔlàn|To rot / to decay
异议|yìyì|Objection / Dissent / 異議
一致性|yīzhìxìng|Consistency
精炼|jīngliàn|To refine / To purify
终身大事|zhōngshēndàshì|Major turning point of lifelong import (esp marriage)
无神论者|wùshénlùnzhě|Athiest
无神论|wúshénlùn|Atheism
提升|tíshēng|To promote / upgrade
拆开|chāikāi|To dismantle / To disassemble / To open up
杆子|gānzi|A pole
呼救|hūjiù|To call for help
高声|gāoshēng|Loudly
买主|mǎizhǔ|Customer / Buyer
有机体|yǒujītǐ|Organism
古怪|gǔguài|Eccentric / Oddly / Queer
对外|duìwài|External / Foreign
营业|yíngyè|To do business / To trade
情形|qíngxing|Circumstances / Situation
拼写|pīnxiě|To spell
护卫|hùwèi|An escort / A guard / To convoy
生物学|shēngwùxué|Biology
钻研|zuānyán|To study meticulously / To delve into
高呼|gāohū|To shout loudly
靠不住|kàobuzhù|Unreliable
晚年|wǎnnián|Ones later years
香料|xiāngliào|Spice / Condiment
勺子|sháozi|Scoop / Ladle
迎风|yíngfēng|In the wind / Facing the wind
飘扬|piāoyáng|To wave; to flutter; to fly in the windNuance:飘扬 describes the graceful, flowing motion of something being moved by the wind, such as flags, banners, hair, or ribbons. It carries a positive, uplifting
演变|yǎnbiàn|To develop / To evolve
论战|lùnzhàn|To debate / To contend
肥料|féiliào|Fertilizer / Manure
血管|xuèguǎn|Vein / Artery
追查|zhuīchá|To investigate / To track down (information)
冻结|dòngjié|To freeze (loan, wage, price etc)
预料|yùliào|To forecast / anticipate / expectation
零星|língxīng|Fragmentary / Random / Sporadic / Bits and pieces
阵雨|zhènyǔ|Shower
批改|pīgǎi|To mark (homework, exams etc) / to check / to correct / to criticize (an article)
试卷|shìjuàn|Examination paper / Test paper
