加法|jiāfǎ|Addition +
某种|mǒuzhǒng|Some kind (of)
拼命|pīnmìng|To do ones utmost / with all ones might / at all costs / as if ones life depends on it
军人|jūnrén|Soldier / Military personnel
刺痛|cìtòng|Stab of pain / Sting / A prick
滑行|huáxíng|To skate / Sliding
并非|bìngfēi|Really isn't / Really don't
有学问|yǒuxuéwèn|Learned / Scholarly / Informed / Erudite
太平洋|tàipíngyáng|Pacific Ocean
海底|hǎidǐ|Seabed / Seafloor / Bottom of the sea
人口普查|rénkǒupǔchá|Census
普查|pǔchá|General survey / census
休会|xiūhuì|To adjourn / recess
增添|zēngtiān|To add / To increase
木柴|mùchái|Firewood
领奖|lǐngjiǎng|To accept a prize / a prize-winner
机密文件|jīmìwénjiàn|Secret document
机密|jīmì|Secret / Classified (information)
切碎|qiēsuì|To chop / To shred
加拿大|jiānádà|Canada
油轮|yóulún|Tanker (ship)
管子工|guǎnzigōng|Plumber / Pipe-fitter
管道|guǎndào|Pipeline
附属|fùshǔ|Subsidiary / Auxiliary / AffiliatedNuance附属 describes a relationship where one entity is attached to, belongs to, or is subordinate to a larger, more primary entity. It implies a supportive or depende
非但|fēidàn|Not only
印度|yìndù|India
招手|zhāoshǒu|To wave / To beckon
举止|jǔzhǐ|Manner / Bearing (as in behaviour)
天文|tiānwén|Astronomy
望远镜|wàngyuǎnjìng|Telescope
航天器|hángtiānqì|Spacecraft
航天|hángtiān|Space flight
舞台|wǔtái|Stage / Arena
月夜|yuèyè|Moonlit night
鼓起|gǔqǐ|To drum up / To call up / To muster / To summon up (courage etc)
探身|tànshēn|To lean forward / To lean out (of a window etc)
餐桌|cānzhuō|Dining table / Dinner table
消防队员|xiāofángduìyuán|Fireman
转眼|zhuǎnyǎn|In a flash / In the blink of an eye
铅|qiān|Lead (chemistry)
国会|guóhuì|Parliament / Congress / Diet
理所当然|lǐsuǒdāngrán|Inevitable and right / As it should be by rights / proper and expected as a matter of course
伟人|wěirén|Great person
思路|sīlù|Train of thought / thinking / reasoning
激光|jīguāng|Laser
围绕|wéirào|To Surround / To Center On / AroundNuance围绕 is a versatile verb that means to surround, revolve around, or center on something. It can be used literally (people surrounding a leader) or figuratively (
时好时坏|shíhǎoshíhuài|Sometimes good, Sometimes bad
制止|zhìzhǐ|To stop; to prevent; to curb; to put an end to.Nuance制止 is a strong and authoritative verb that means to use force, authority, or persuasion to stop an action that is already happening or is about to 
公正|gōngzhèng|Just / Fair / Equitable
手工|shǒugōng|Handwork / Manual (work)
知识分子|zhīshifènzǐ|Intellectual / Learned person / someone with high education like me!
古玩|gǔwán|Antique
一文不值|yīwénbùzhi|To have no value, be penniless
献血|xiàn xuè|To donate blood
严寒|yánhán|Bitter cold / Severe winter
合乎|héhū|To accord with / Conforming to
规范|guīfàn|Norm / Standard / Within the rules
地图集|dìtújí|Collection of maps / Atlas
泛读|fàndú|Extensive Reading
据信|jùxìn|According to reports / Is reported as ...
外太空|wàitàikōng|Outer space
铺张浪费|pūzhānglàngfèi|Extravagance and waste (idiom)
行政机关|xíngzhèngjīguān|Administrative authority / Branch of government
相干|xiānggān|Relevant / Have to do with / Coherent (physics / light etc)
奋力|fènlì|To do everything one can / To spare no effort / Ones best
铺设|pūshè|To lay (paving, wiring etc)
争夺|zhēngduó|To fight over / To vie over / to contest
计程车|jìchéngchē|Taxi / Cab (Taiwan)
撞骗|zhuàngpiàn|To swindle
闯过|chuǎngguò|To crash ones way through
难关|nánguān|Difficulty / Crisis
电线杆|diànxiàngān|Lamp-post / electric pole / telegraph pole
轮流|lúnliú|To take turns / To alternate
缺席|quēxí|Absence / Absent
伤员|shāngyuán|Wounded person
失血|shīxuè|Blood loss
昏迷不醒|hūnmíbùxǐng|To remain unconscious
普及|pǔjí|Popular / To popularize / Universal / Ubiquitous / Pervasive
印刷术|yìnshuāshù|Printing technology
创新|chuàngxīn|Innovation / To bring forth new ideas
冲破|chōngpò|Breakthrough / To overcome an obstacle quickly
列举|lièjǔ|To list / To enumerate
事例|shìlì|Example / Typical case
家产|jiāchǎn|Family property
惯常|guàncháng|Usual / Customary
重叠|chóngdié|To overlap / To superimpose / One over another
计较|jìjiào|To bother about / to argue
细线|xìxiàn|Thread / String
泥土|nítǔ|Earth / Soil
矿物质|kuàngwùzhì|Mineral, esp dietary mineral
扬言|yángyán|To Declare (with intent) / To Threaten / To ProclaimNuance扬言 is a verb that describes speaking publicly or openly about one's intentions, often in a bold, defiant, or threatening manner. It carries a 
透彻|tòuchè|Incisive / Penetrating / Thorough
搬运工|bānyùngōng|A porter (like in a hotel)
钢铁厂|gāngtiěchǎng|Iron and steel works / steelworks
话剧|huàjù|Stage play / Modern drama
涨到|zhǎngdào|To go up / To rise
新台币|xīntáibì|New Taiwan Dollar (NTD)
料到|liàodào|To foresee / To anticipate
歌词|gēcí|Song lyrics
重负|zhòngfù|Heavy load / Heavy burden
压倒|yādǎo|To overwhelm / To overpower
水手|shuǐshǒu|Sailor / Mariner
直升机|zhíshēngjī|Helicopter
海难|hǎinàn|Perils of the sea
液体|yètǐ|Liquid
危害|wēihài|To harm / To endanger / To jeopardize
富于|fùyú|To be full of / To be rich in
预感|yùgǎn|Premonition; intuition; foreboding; to have a feeling that something (especially something negative) will happen.Nuance预感 is a noun and verb that refers to a gut feeling or intuitive sense about a fut
逗笑|dòuxiào|To amuse / To cause to smile / Amusing
自立|zì lì|To stand on ones own feet / To support oneself / independent / self reliant
折叠|zhédié|To fold
荣幸|róngxìng|Honoured
晚宴|wǎnyàn|Banquet / Dinner party
往事|wǎngshì|Past events / Former happenings
部落|bùluò|Tribe / Tribal
相传|xiāngchuán|To pass on / To hand down / Tradition has it that ....
一流|yīliú|Top quality / Front ranking
指挥家|zhǐhuījiā|Conductor (music)
名列|míngliè|Among the most famous / Famous
榜首|bǎngshǒu|A champion / To be number one (best or worst)
势头|shìtóu|Momentum / Impetus / The look of things / Power
日益|rìyì|Day by day / more and more with each passing day
粉碎|fěnsuì|To crush / To smash / To shatter
碑文|bēiwén|An inscription on a tablet
空前|kōngqián|Unprecedented
防线|fángxiàn|Defensive line or perimeter
突破|tūpò|To break through
便条|biàntiáo|(informal) note
阅览|yuèlǎn|To read
私自|sīzì|Privately; secretly; without authorization; on one’s own initiative Nuance “私自” refers to doing something without official permission or without informing the proper authority. It carries a tone of di
强盗|qiángdào|To rob with force / Robber / Bandit
刀刺|dāocì|To stab / to attack with a knife
旅客|lǜke|Traveler / Tourist
拉长|lācháng|To lengthen / To pull something out longer
提心吊胆|tíxīndiàodǎn|(saying) to be very scared and on edge
火灾|huǒzāi|Fire (that burns buildings, forests etc)
火腿|huǒtuǐ|Ham&nbsp;
千斤顶|qiānjīndǐng|A jack (for lifting weight)
金属线|jīnshǔxiàn|Metal wire
取代|qǔdài|To replace / To supersede
不起眼|bùqǐyǎn|Insignificant / non-eye catching / inconspicious / unobtrusive
当众|dāngzhòng|In front of everyone / In public
指令|zhǐ lìng|Instruction / Order / Command
鼓吹|gǔchuī|To Advocate / To Preach / To Propagandize (often pejorative)Nuance鼓吹 is a verb that carries a dual nuance depending on context. In neutral or historical contexts, it can simply mean to advocate or pro
负担不起|fùdānbuqǐ|Cannot afford / Cannot bear the burden
实质|shízhì|Essence / Substance
墨镜|mòjìng|Sunglasses
强光|qiángguāng|Glare
照射|zhàoshè|To shine on / To light up
用具|yòngjù|Utensil (kitchen) / Appliance
年老|niánlǎo|Aged
电击|diànjī|Electric shock
电线|diànxiàn|Wire / Power cord&nbsp;
运河|yùnhé|Canal
打捞|dǎlāo|To salvage / To dredge / To fish out
回避|huí bì|To shun / To avoid / To skirt / To evade (an issue) / to withdraw / to step back
飞速|fēisù|Flying speed / Rapid (growth)
考期|kǎoqī|The exam period
临近|línjìn|Close to / Approaching
刻苦钻研|kèkǔzuānyán|To study diligently
半导体|bàndǎotǐ|Semiconductor
危及|wēijí|To endanger / To jeapardize / a danger
险情|xiǎnqíng|Peril / Dangerous circumstance
保险单|bǎoxiǎndān|An insurance policy
研读|yándú|To study intensively; to read and research thoroughly.Nuance研读 is a formal verb that describes the act of studying a text or subject with great care, depth, and concentration. It implies more than cas
学科|xuékē|Subject / Course
推断|tuīduàn|To infer; to deduce; to reasonNuance:推断 describes the cognitive process of arriving at a conclusion based on available evidence, logic, or reasoning rather than direct observation. It implies a delibe
游手好闲|yóushǒuhàoxián|To idle about
研究所|yánjiūsuǒ|Research institute / Graduate school
合并|hébìng|To merge (companies etc)
落空|luòkōng|To fall through / to come to nothing / to fail
鲜明|xiānmíng|Clear-cut / Distinct
国营|guóyíng|State run / Nationalised
私营|sīyíng|Private / Privately owned (company)
就业|jiùyè|Looking for employment / Getting a job / To start a career
年迈|niánmài|Old / Aged
兴建|xīngjiàn|To build / To construct
搁置|gēzhì|To shelve / To set aside
暗自|ànzì|Inwardly / To oneself / Secretly
叫苦|jiàokǔ|To whine about hardships / to complain of ones bitter lot
恐龙|kǒnglóng|Dinosaur
重组|chóngzǔ|To recombine / reconstruct / reorganize
原貌|yuánmào|Original form
教训|jiàoxun|Lesson / Moral
