言简意赅|yánjiǎnyìgāi|Concise and comprehensive
其次|qícì|Secondly / next
拇指|mǔzhǐ|Thumb / Big toe
向外|xiàng wài|Outward
生效|shēngxiào|To go into effect / To take effect
散发|sàn fā|To distribute / To emit
耷拉|dāla|To droop; to sag; to hang down limply Nuance “耷拉” is a colloquial verb describing something hanging down loosely or without energy—such as ears, shoulders, arms, or objects. It often conveys a sense o
烟草|yāncǎo|Tobacco
炖肉|dùn ròu|Stewed meat
大蒜|dàsuàn|Garlic
直言不讳|zhíyán bùhuì|Frank and straightforward / Nothing taboo / Straight talk
驯养|xúnyǎng|To domesticate / To raise and train
蟾蜍|Chánchú|Toad
丑陋|chǒulòu|Ugly
阑尾|lánwěi|Appendix (body)
切除|qiēchú|To cut out (a tumor etc)
究竟|jiū jìng|Actually / After all (when all is said and done) / seems to be mostly emphasis word ie "who is that exactly??"
提名|tímíng|To nominate
陡峭|dǒuqiào|Precipitous
雄性|xióngxìng|Male sex
特有|tèyǒu|Specific (to) / Characteristic (of)
喧闹|xuānnào|To make a noise / Noisy
静止|Jìngzhǐ|Still / Immobile / Stationary
模样|múyàng|Look / Style / Appearance / Approximation (of what something looks like)
四面八方|sìmiànbāfāng|In all directions
按钮|ànniǔ|Push button (钮 by itself is a "button")
琐事|suǒshì|Trifle / Trivial matters
漏气|lòu qì|To leak air or gas
调味料|tiáowèi liào|Seasoning / Flavouring / Condiment / Dressing
顽皮|wánpí|Naughty (maybe more naughty than 调皮&nbsp;Tiáopí)
必备|bì bèi|Essential
生苔|shēng tái|Mossy / grow moss
残骸|cánhái|Remains / Wreckage
散布|sànbù|To disseminate
漂浮|piāofú|To float / To hover
浮力|fúlì|Buoyancy
木筏|mùfá|Wooden raft / Log raft
混淆|hùnxiáo|To mix up / To confuse / To obscure
奥地利|àodìlì|Austria
无穷|wúqióng|Endless / Boundless / Inexhaustible / Infinity
松弛|sōngchí|To relax / Relaxed / Limp / Lax
嗜好|shìhào|a strong fondness (often habitual or indulgent); a penchantNuances:This term describes more than a casual liking—it implies a deep, sometimes excessive attachment to certain activities or objects (e.g
闩|shuān|Bolt / Latch / To bolt
冲向|chōng xiàng|To charge into
元首|yuánshǒu|Head of state
废黜|fèichù|To depose (a king)
瞌睡|kēshuì|Drowsy / To doze / To nap
沦陷|lúnxiàn|To fall into enemy hands / To be occupied
礼拜天|Lǐbài tiān|Sunday
湖泊|hú pō|Lake
级别|jíbié|Military rank / Like a captain or general etc
尝试|chángshì|To try / To attempt
柜台|Guìtái|Sales counter / Front desk / Bar / Over the counter
蜷伏|quánfú|To curl up / To lie with knees drawn up
硕大|shuòdà|Big / Huge / Massive
屡次|Lǚcì|Repeatedly / Time and again
俯瞰|fǔkàn|To overlook / To look down from a height
孪生|luánshēng|Twin
憔悴|qiáocuì|Haggard / Withered / Thin and pallid
批发|pīfā|Wholesale
枯萎|kūwěi|To wilt / To wither / wilted
容光焕发|róngguāng huànfā|Face glowing / Looking radiant / All smiles
搂着|lǒuzhe|To hug / Embrace (seems the&nbsp;着 is necessary, need to improve my grammar)
间谍|jiàndié|A Spy
叫声|jiào shēng|Yelling (sound made by person) / Barking / Roaring (sound made by animals)
菲律宾|fēilǜbīn|The Philippines
群岛|qúndǎo|Archipelago / Group of islands
废墟|fèixū|Ruins
吓唬|xiàhǔ|To scare / To frighten&nbsp;
绝伦|juélún|peerless; unparalleled; beyond comparisonNuances:Emphasizes supremacy in a particular quality (e.g., skill, beauty), often used in hyperbolic praise.Example Sentences:她的琴技精妙绝伦，听众无不震撼。(Her piano skills
手腕|shǒuwàn|Finesse / Ability / skill / Trickery
猜疑|cāiyí|To suspect / To have misgivings / Suspicious
罕见|hǎnjiàn|Rare / Rarely seen
褪色|tuìsè|To fade (colors)
蘸|zhàn|To dip in (ink, sauce etc)
畏缩不前|Wèisuō bù qián|To shrink back in fear / Too cowardly to advance
扶|fú|To support with the hand / To help somebody up
现行|xiànxíng|Current / In force / To be in effect
后患无穷|hòuhuàn wúqióng|It will cause no end of trouble / Lead to disaster
惶恐|huángkǒng|Terrified
调动|diàodòng|To maneuver (troops etc) / To mobilise / To transfer / To bring into play
