凌乱不堪|<span class="tone2">líng</span> <span class="tone4">luàn</span> <span class="tone4">bù</span> <span class="tone1">kān</span><!--ling luan bu kan-->|In a terrible mess
行好|<span class="tone2">xíng</span> <span class="tone3">hǎo</span><!--xing hao-->|To give to charity / Philanthropic
磕|<span class="tone1">kē</span><!--ke-->|To tap / To knock (mud from boots etc)
书稿|<span class="tone1">shū</span> <span class="tone3">gǎo</span><!--shu gao-->|Manuscript of a book
烈火|<span class="tone4">liè</span> <span class="tone3">huǒ</span><!--lie huo-->|Raging inferno / Blaze
灰烬|<span class="tone1">huī</span> <span class="tone4">jìn</span><!--hui jin-->|Ashes
心血|<span class="tone1">xīn</span> <span class="tone4">xuè</span><!--xin xue-->|Hearts blood / Expenditure (as in effort, for some project) / Meticulous care
唾沫|<span class="tone4">tuò</span> <span class="tone5">mo</span><!--tuo mo-->|Saliva / Spit
土话|<span class="tone3">tǔ</span> <span class="tone4">huà</span><!--tu hua-->|Vernacular / slang / Dialect
还嘴|<span class="tone2">huán</span> <span class="tone3">zuǐ</span><!--huan zui-->|To retort / To answer back
潜入|<span class="tone2">qián</span> <span class="tone4">rù</span><!--qian ru-->|To submerge / To infiltrate / To steal into
领土|<span class="tone3">lǐng</span> <span class="tone3">tǔ</span><!--ling tu-->|Territory
刺探|<span class="tone4">cì</span> <span class="tone4">tàn</span><!--ci tan-->|To pry into / To spy on / To probe into
擅长|<span class="tone4">shàn</span> <span class="tone2">cháng</span><!--shan chang-->|To be good at / To be expert in
舷梯|<span class="tone2">xián</span> <span class="tone1">tī</span><!--xian ti-->|Gangway / Ramp (to board a ship or plane)
冷漠|<span class="tone3">lěng</span> <span class="tone4">mò</span><!--leng mo-->|indifferent; apathetic; cold-heartedNuances:Describes a lack of emotional response or concern, often implying deliberate emotional detachment or unkindness.Example Sentences:他对别人的苦难表现得很冷漠。(He remains 
杀手|<span class="tone1">shā</span> <span class="tone3">shǒu</span><!--sha shou-->|Killer / Murderer / Hitman
别离|<span class="tone2">bié</span> <span class="tone2">lí</span><!--bie li-->|To Part / To Separate / To Bid FarewellNuance别离 is a literary and emotionally resonant term for separation or parting, often implying a prolonged or significant farewell. It carries a much deeper emot
孤身|<span class="tone1">gū</span> <span class="tone1">shēn</span><!--gu shen-->|Alone / Lonely
巨型|<span class="tone4">jù</span> <span class="tone2">xíng</span><!--ju xing-->|Giant / Enormous
儿时|<span class="tone2">ér</span> <span class="tone2">shí</span><!--er shi-->|Childhood
回首|<span class="tone2">huí</span> <span class="tone3">shǒu</span><!--hui shou-->|To look back / To recollect / To turn around
蛮力|<span class="tone2">mán</span> <span class="tone4">lì</span><!--man li-->|Brute force
破旧|<span class="tone4">pò</span> <span class="tone4">jìu</span><!--po jiu-->|Shabby
崭露头角|<span class="tone3">zhǎn</span> <span class="tone4">lù</span> <span class="tone2">tóu</span> <span class="tone3">jiǎo</span><!--zhan lu tou jiao-->|To begin to show one's talent; to begin to stand out; to emerge.Nuance崭露头角 is an idiom used to describe a person, usually young, who is just starting to display their outstanding abilities or potentia
摇篮|<span class="tone2">yáo</span> <span class="tone2">lán</span><!--yao lan-->|Cradle
身世|<span class="tone1">shēn</span> <span class="tone4">shì</span><!--shen shi-->|One's life experience / one's lot
运送|<span class="tone4">yùn</span> <span class="tone4">sòng</span><!--yun song-->|To Transport / To Convey / To ShipNuance运送 is a verb that refers to the concrete action of moving goods or people from one location to another. It emphasizes the process and logistics of transportatio
酝酿|<span class="tone4">yùn</span> <span class="tone4">niàng</span><!--yun niang-->|(of a crisis) to be brewing / (of alcohol) to ferment / to mull over (an issue)
惹事|<span class="tone3">rě</span> <span class="tone4">shì</span><!--re shi-->|To cause trouble
倾家荡产|<span class="tone1">qīng</span> <span class="tone1">jiā</span> <span class="tone4">dàng</span> <span class="tone3">chǎn</span><!--qing jia dang chan-->|To lose a family fortune; to be bankrupt and homelessNuance:倾家荡产 is a vivid and extreme idiom describing total financial ruin. It paints a picture of a family's resources being completely emptied (倾家)
组建|<span class="tone3">zǔ</span> <span class="tone4">jiàn</span><!--zu jian-->|To establish / To set up / To organise
孩童|<span class="tone2">hái</span> <span class="tone2">tóng</span><!--hai tong-->|Child
小打小闹|<span class="tone3">xiǎo</span> <span class="tone3">dǎ</span> <span class="tone3">xiǎo</span> <span class="tone4">nào</span><!--xiao da xiao nao-->|Small-scale
常人|<span class="tone2">cháng</span> <span class="tone2">rén</span><!--chang ren-->|Ordinary person
鼻青脸肿|<span class="tone2">bí</span> <span class="tone1">qīng</span> <span class="tone3">liǎn</span> <span class="tone3">zhǒng</span><!--bi qing lian zhong-->|badly battered / a bloody nose and a swollen face
外围|<span class="tone4">wài</span> <span class="tone2">wéi</span><!--wai wei-->|Periphery; outskirts; external or surrounding area. Nuance: 外围 refers to areas or parts that are on the edge, surrounding, or outside of a central region. It can be used literally, describing the oute
要好|<span class="tone4">yào</span> <span class="tone3">hǎo</span><!--yao hao-->|To be on good terms / To be close friends
潜移默化|<span class="tone2">qián</span> <span class="tone2">yí</span> <span class="tone4">mò</span> <span class="tone4">huà</span><!--qian yi mo hua-->|to influence subtly and graduallyNuances:Describes unconscious, slow changes in character, habits, or thinking through prolonged exposure.Example Sentences:父母的言行会潜移默化地影响孩子。(Parents’ words and actions 
