撩|liāo|VERB 1&#9;raise; lift up (a part of sth. hanging) &#25769;&#35033;&#23376; li&#257;o q&#250;nzi lift (or hold) up the hem of one&#8217;s skirt &#25769;&#36215;&#24088;&#23376; Li&#257;o q&#464; li&#22
摇曳|yáoyè|to sway; to flicker; to flutter (often gracefully)Nuances:This term describes a gentle, rhythmic movement—such as objects swaying in the wind or light flickering—that evokes a sense of fluidity, fragi
互换|hùhuàn|VERB exchange &#20114;&#25442;&#35760;&#32773; h&#249;hu&#224;n j&#236;zh&#283; exchange correspondents &#20114;&#25442;&#25209;&#20934;&#20070; H&#249;hu&#224;n p&#299;zh&#468;nsh&#363; exchange inst
浇花|jiāohuā|water flowers
浇|jiāo|VERB 1&#9;pour (liquid on); sprinkle (water on) &#22823;&#38632;&#27975;&#24471;&#20182;&#20840;&#36523;&#37117;&#28287;&#36879;&#20102;&#12290; D&#224;y&#468; ji&#257;o de t&#257; qu&#225;nsh&#275;n 
反常|fǎncháng|ADJECTIVE unusual; abnormal; strange &#20182;&#26152;&#22825;&#30340;&#34920;&#29616;&#24456;&#21453;&#24120;&#12290; T&#257; zu&#243;ti&#257;n de bi&#462;oxi&#224;n h&#283;n f&#462;nch&#225;ng. His b
呛|qiāng|“To choke” or “to irritate (the throat/nose).”Nuance呛 describes the uncomfortable, often sudden reaction when smoke, liquid, or strong odors enter the throat, windpipe, or nasal passages. It can be ph
下落|xiàluò|NOUN whereabouts &#25171;&#21548;&#26576;&#20154;&#30340;&#19979;&#33853; d&#462;ting m&#466;ur&#233;n de xi&#224;lu&#242; inquire about sb.&#8217;s whereabouts &#26377;&#19968;&#20214;&#21476;&#29289
不单|bùdān|ADVERB not the only &#33719;&#22870;&#30340;&#19981;&#21333;&#26159;&#36825;&#20960;&#37096;&#24433;&#29255;&#12290; Hu&#242;ji&#462;ng de b&#249;d&#257;n sh&#236; zh&#232; j&#464; b&#249; y&#464;ngpi
失陪|shīpéi|Excuse me; please pardon my leaving; I must take my leaveNuance“失陪” is a polite, formal expression used when one must leave a social occasion or conversation, especially in professional or courteous s
话音未落|huàyīnwèiluò|when one has hardly finished speaking
事项|shìxiàng|NOUN item; matter &#20855;&#20307;&#20107;&#39033; j&#249;t&#464; sh&#236;xi&#224;ng concrete matters &#27880;&#24847;&#20107;&#39033; zh&#249;y&#236; sh&#236;xi&#224;ng matters needing attention; poi
厚重|hòuzhòng|ADJECTIVE 1&#9;thick and heavy 2&#9;rich and generous &#21402;&#37325;&#30340;&#31036;&#29289; H&#242;uzh&#242;ng de l&#464;w&#249; generous gifts 3&#9;LITERARY kind and dignified &#20026;&#20154;&#21
踮|diǎn|VERB stand on tiptoe &#25252;&#22763;&#36398;&#30528;&#33050;&#36208;&#21040;&#30149;&#20154;&#24202;&#36793;&#12290; H&#249;shi di&#462;n zhe ji&#462;o z&#466;u d&#224;o b&#236;ngr&#233;n chu&#225;ng
箭步|jiànbù|An arrow-like stride; a quick, forceful stepNuance:箭步 is a vivid noun that describes a sudden, rapid, and powerful forward step, reminiscent of an arrow's flight. It implies agility, decisiveness, and
命中|mìngzhòng|VERB hit the target (or mark); score a hit &#21629;&#20013;&#38774;&#24515; m&#236;ngzh&#242;ng b&#462;x&#299;n hit the bull&#8217;s-eye &#21629;&#20013;&#30446;&#26631; M&#236;ngzh&#242;ng m&#249;bi&
直至|zhízhì|"until," "up to," "all the way to"Nuance:直至 is a formal or literary conjunction used to indicate that an action, state, or situation continues without interruption up to a certain point in time or spa
牢记|láojì|VERB keep firmly in mind; remember well &#29282;&#35760;&#19981;&#24536; l&#225;oj&#236; b&#249;w&#224;ng be embedded in memory; bear in mind &#29282;&#35760;&#25945;&#35757; l&#225;oj&#236; ji&#224;o
嗤|chī|LITERARY ONOMATOPOEIA sound of tittering VERB 1&#9;titter; giggle 2&#9;sneer
样品|yàngpǐn|NOUN sample (product); specimen &#31354;&#27668;&#26679;&#21697; k&#333;ngq&#236; y&#224;ngp&#464;n air sample &#35797;&#39564;&#26679;&#21697; sh&#236;y&#224;n y&#224;ngp&#464;n pilot sample
困住|kùn//zhù|VERB be in a difficult position; be in a tight corner; be in dire straits
黑莓|hēiméi|NOUN BOTANY blackberry
水坑|shuǐkēng|NOUN puddle; pool; water hole &#33261;&#27700;&#22353; ch&#242;u shu&#464;k&#275;ng cesspool; cesspit
感慨|gǎnkǎi|VERB sigh with emotion &#25552;&#36215;&#36807;&#21435;&#37027;&#27573;&#32463;&#21382;, &#20182;&#26080;&#38480;&#24863;&#24936;&#12290; T&#237;q&#464; gu&#242;qu n&#224; du&#224;n j&#299;ngl&#236;, 
色魔|sèmó|NOUN satyr; lecher
高手|gāoshǒu|NOUN master; master-hand; ace &#39640;&#25163;&#20799;&#22914;&#20113; g&#257;osh&#466;u'&#232;r r&#250;y&#250;n a galaxy of master-hands &#27494;&#26519;&#39640;&#25163;&#20799; w&#468;l&#237;n g&#25
空号|kōnghào|1&#9;disconnected phone number 2&#9;unassigned phone number
撕票|sī//piào|VERB (of kidnappers) kill the hostage
定论|dìnglùn|Final Conclusion / Definitive VerdictNuance定论 refers to an authoritative, conclusive, and widely accepted judgment or conclusion about a person, event, or issue. It implies that the matter has been th
报应|bàoying|VERB 1&#9;BUDDHISM retribution; judgement &#36973;&#25253;&#24212; Z&#257;o b&#224;oying suffer retribution; get punishment for sins 2&#9;get due punishment; get one's just deserts &#36825;&#26159;&#2
爱护|àihù|VERB cherish; treasure; take good care of &#29233;&#25252;&#20799;&#31461; &#224;ih&#249; &#233;rt&#243;ng attend to children; take loving care of children &#29233;&#25252;&#20844;&#29289; &#224;ih&#2
保命|bǎo//mìng|VERB save one's life; survive &#20182;&#30340;&#30149;&#24773;&#24456;&#37325;, &#24656;&#24597;&#20445;&#19981;&#20303;&#21629;&#20102;&#12290; T&#257; de b&#236;ngq&#237;ng h&#283;n zh&#242;ng, k&#4
养子|yǎngzǐ|NOUN adopted son
恭维|gōngwei|To flatter; to compliment (often insincerely or excessively).Nuance恭维 is a verb that describes the act of paying compliments or flattering someone, often with a connotation of insincerity or self-serv
