相继|xiāngjì|ADVERB in succession; one after another &#20195;&#34920;&#20204;&#30456;&#32487;&#21457;&#35328;&#12290; D&#224;ibi&#462;o men xi&#257;ngj&#236; f&#257;y&#225;n. The delegates spoke one after another.
储存|chǔcún|VERB lay in; lay up; store; deposit &#20648;&#23384;&#20313;&#31918; Ch&#468;c&#250;n y&#250;li&#225;ng store up surplus grain &#20648;&#23384;&#25112;&#30053;&#29289;&#36164; ch&#468;c&#250;n zh&#224
打勾|dǎgōu|1&#9;to check 2&#9;to tick 3&#9;(old) to buy
没完没了|méiwán-méiliǎo|IDIOM endless; without end &#27809;&#23436;&#27809;&#20102;&#22320;&#21792;&#21480; m&#233;iw&#225;nm&#233;ili&#462;o de l&#225;odao endless chatter
吃瓜群众|chīguāqúnzhòng|1&#9;peanut gallery (esp. in online forums)2&#9;onlookers who are interested in the spectacle but don't have anything knowledgeable to say about it3&#9;*grabs popcorn*
初出茅庐|chūchū-máolú|Newly emerging; inexperienced; a newcomer just starting outNuance“初出茅庐” literally means “just stepping out of the thatched hut,” originating from the Romance of the Three Kingdoms (《三国演义》), where it d
道具|dàojù|Prop; stage prop; tool or implement used in performance (or game item!?)Nuance“道具” originally refers to objects used in theatrical or cinematic performances to help actors portray scenes realistically
心急|xīn//jí|ADJECTIVE be impatient; be short-tempered &#19981;&#24819;&#35753;&#20154;&#30475;&#20986;&#26469;&#33258;&#24049;&#24515;&#24613; B&#249; xi&#462;ng r&#224;ngr&#233;n k&#224;nch&#363;lai z&#236;j&#46
倍率|bèilǜ|NOUN PHYSICS magnifying power
极致|jízhì|NOUN LITERARY ultimate attainment; highest achievement; highest degree ADJECTIVE 1&#9;infinite; extreme &#26497;&#33268;&#39749;&#21147; j&#237;zh&#236; m&#232;il&#236; extreme charm 2&#9;super; perfe
莫名|mòmíng|Inexplicable; indescribable; unable to be expressed in wordsNuance:莫名 is an adjective that describes a feeling or phenomenon that is difficult to explain, pin down, or put into words. It often carries
投掷|tóuzhì|VERB throw; hurl &#25237;&#25527;&#26631;&#26538; t&#243;uzh&#236; bi&#257;oqi&#257;ng throw a javelin &#25237;&#25527;&#38081;&#39292; t&#243;uzh&#236; ti&#283;b&#464;ng throw a discus &#25237;&#2552
对战|duìzhàn|to do battle (with sb)
订购|dìnggòu|To order; to place an order for goods or services.Nuance: 订购 refers to the act of arranging to purchase or receive goods, services, or publications, usually in advance. It emphasizes a formal or plann
招式|zhāoshì|Moves; techniques; a sequence of movements (especially in martial arts or sports).Nuance招式 is a noun that refers to a specific set or sequence of movements, techniques, or forms, particularly in marti
捕捉|bǔzhuō|VERB hunt; chase; catch; seize &#25429;&#25417;&#34676;&#34678; b&#468;zhu&#333; h&#250;di&#233; chase butterflies &#25429;&#25417;&#38236;&#22836; b&#468;zhu&#333; j&#236;ngt&#243;u catch a good shot
乐在其中|lèzàiqízhōng|IDIOM take delight in (doing sth.) &#37027;&#26412;&#20070;&#34429;&#28982;&#26543;&#29157;, &#20182;&#35835;&#36215;&#26469;&#21364;&#20048;&#22312;&#20854;&#20013;&#12290; n&#224; b&#283;n sh&#363; 
互动|hùdòng|VERB interact
点触|diǎnchù|1&#9;to tap 2&#9;to touch (a touchscreen)
触摸|chùmō|VERB touch; feel &#35831;&#21247;&#35302;&#25720;&#23637;&#21697;&#12290; Q&#464;ngw&#249; ch&#249;m&#333; zh&#462;np&#464;n. Please don&#8217;t touch the exhibits.
点选|diǎnxuǎn|1&#9;to select 2&#9;(computing) to click on (one of several options) 3&#9;to navigate to (a webpage)
不支|bùzhī|VERB can't stand (or bear) &#20307;&#21147;&#19981;&#25903; t&#464;l&#236; b&#249;zh&#299; physically inadequate; not have the strength
地盘|dìpán|NOUN 1&#9;territory under one's control; domain; sphere &#20105;&#22842;&#22320;&#30424; zh&#275;ngdu&#243; d&#236;p&#225;n compete for spheres of influence; compete for territory; claim territory 2&#
徽章|huīzhāng|NOUN badge; insignia
犄角|jījiao|NOUN COLLOQUIAL horn &#40575;&#29316;&#35282; l&#249; j&#299;jiao antler &#29275;&#29316;&#35282; Ni&#250; j&#299;jiao ox horn
封底|fēngdǐ|NOUN PRINTING back cover
花哨|huāshao|Gaudy / Fancy / Showy / Overly DecorativeNuance花哨 is an adjective that describes something as excessively flashy, ornate, or showy, often in a way that is considered lacking in taste or elegance. It c
秘术|mìshù|NOUN occult arts; mystical practices; astrology
开拓|kāituò|VERB 1&#9;open up; create; exploit; pioneer &#24320;&#25299;&#21019;&#26032; k&#257;i tu&#242; chu&#224;ng x&#299;n blaze new trails &#24320;&#25299;&#36947;&#36335; k&#257;itu&#242; d&#224;ol&#249; o
洞窟|dòngkū|a cave
便捷|biànjié|ADJECTIVE 1&#9;convenient 2&#9;quick; nimble
交手|jiāo//shǒu|VERB fight hand to hand; be engaged in a hand-to-hand fight; come to grips &#20004;&#38431;&#26366;&#22810;&#27425;&#20132;&#25163;&#12290; li&#462;ng du&#236; c&#233;ng du&#333;c&#236; ji&#257;osh&#4
属性|shǔxìng|NOUN 1&#9;attribute; property 2&#9;COMPUTING property &#26597;&#30475;&#35813;&#25991;&#26723;&#30340;&#23646;&#24615; Ch&#225;k&#224;n g&#257;i w&#233;n d&#224;ng desh&#468;x&#236;ng check the proper
引开|yǐnkāi|1&#9;to lure away 2&#9;to divert
跃跃欲试|yuèyuè-yùshì|IDIOM be eager to have a try; itch to have a go
吞食|tūnshí|VERB swallow; devour &#22823;&#40060;&#21534;&#39135;&#23567;&#40060;&#12290; D&#224; y&#250; t&#363;nsh&#237; xi&#462;o y&#250;. Big fish eat small fish. &#25105;&#21018;&#22909;&#30475;&#35265;&#199
毒刺|dúcì|NOUN poisonous sting
暖洋洋|nuǎnyángyáng|ADJECTIVE warm &#26262;&#27915;&#27915;&#30340;&#26149;&#39118; Nu&#462;ny&#225;ngy&#225;ng de ch&#363;nf&#275;ng a balmy spring breeze
数值|shùzhí|NOUN MATHEMATICS numerical value; magnitude
实力|shílì|NOUN actual strength; strength &#23454;&#21147;&#30456;&#24403; sh&#237;l&#236;xi&#257;ngd&#257;ng match each other in strength; well matched in strength &#22269;&#38450;&#23454;&#21147; gu&#243;f&#22
雄厚|xiónghòu|substantial; robust (in resources, strength, or capital)Nuances:Describes abundant and solid backing, often used for financial, technical, or talent reserves.Example Sentences:这家公司资金雄厚，能承受长期亏损。(This c
