暖意|nuǎnyì|warmth
权益|quányì|Rights and interests; legal entitlements.Nuance权益 is a formal noun that refers to the rights and interests that a person or group is entitled to by law, regulation, or ethical principle. It encompasse
佣兵|yōngbīng|1&#9;mercenary 2&#9;hired gun
游击战|yóujīzhàn|guerrilla war; guerrilla warfare
放贷|fàng//dài|VERB loan; lend money at interest; grant credits &#22240;&#20026;&#20182;&#20449;&#35465;&#24046;, &#38134;&#34892;&#27809;&#26377;&#25918;&#36151;&#32473;&#20182;&#12290; Y&#299;nw&#232;i t&#257; x&#
租借|zūjiè|VERB rent; hire; lease
折返|zhéfǎn|VERB turn back &#20013;&#36884;&#25240;&#36820; zh&#333;ngt&#250; zh&#233;f&#462;n turn back halfway
提炼|tíliàn|VERB extract and purify; abstract; refine &#25552;&#28860;&#34071;&#31958; t&#237;li&#224;n zh&#232;t&#225;ng refine cane sugar &#20174;&#30719;&#30707;&#20013;&#25552;&#28860;&#37329;&#23646; c&#243;
复兴|fùxīng|To revive; to rejuvenate; renaissance; resurgence.Nuance复兴 is a formal noun and verb that describes the process of bringing something back to life, prominence, or prosperity after a period of decline,
老巢|lǎocháo|old nest; den; lair (literal or figurative)Nuances:This term literally refers to an animal’s long-established nest, but metaphorically describes a person’s or group’s primary base of operations—often 
流通|liútōng|VERB (of air, money, commodities, etc.) flow; circulate &#21830;&#21697;&#27969;&#36890; sh&#257;ngp&#464;n li&#250;t&#333;ng circulation of commodities &#20445;&#25345;&#31354;&#27668;&#27969;&#36890
变卖|biànmài|VERB sell off (one's property) &#21464;&#21334;&#20135;&#19994; bi&#224;nm&#224;i ch&#462;ny&#232; sell off one&#8217;s estate
扫描|sǎomiáo|VERB scan &#34892;&#25195;&#25551; h&#225;ng s&#462;omi&#225;o line scanning &#39134;&#28857;&#25195;&#25551; f&#275;i di&#462;n s&#462;omi&#225;o flying-spot scanning
要地|yàodì|NOUN important place; strategic point &#24464;&#24030;&#26159;&#21382;&#21490;&#19978;&#30340;&#20891;&#20107;&#35201;&#22320;&#12290; X&#250; zh&#333;u sh&#236; l&#236;sh&#464; sh&#224;ng de j&#363;n
