守护神|shǒuhùshén|guardian spirit; tutelary spirit; patron saint
拘留所|jūliúsuǒ|house of detention; lockup
老面孔|lǎomiànkǒng|NOUN 1&#9;old faces &#26469;&#30340;&#24635;&#26159;&#37027;&#20960;&#24352;&#32769;&#38754;&#23380;&#12290; l&#225;i de z&#466;ngsh&#236; n&#224; j&#464; zh&#257;ng l&#462;omi&#224;nk&#466;ng. Those 
够呛|gòuqiàng|unbearable; too much to handle; (situation) terribleNuances:This colloquial term expresses that something is overwhelmingly difficult, unpleasant, or nearly impossible to endure. It often implies a se
脊梁骨|jǐlianggǔ|DIALECT VARIANT OF &#33034;&#26609; NOUN spinal (or vertebral) column; backbone; spine &#26029;&#20102;&#33034;&#26753;&#39592;&#30340;&#30302;&#30382;&#29399; du&#224;n le j&#464;liangg&#468; de l&#2
爹|diē|NOUN COLLOQUIAL father; dad; daddy; pa &#29241;&#23064; di&#275;-ni&#225;ng father and mother; mum and dad; ma and pa; parents
豪商|háoshāng|NOUN wealthy and powerful merchant
百废待兴|bǎifèidàixīng|"everything awaits renewal," "a multitude of tasks need to be done" (describes a situation where many things have been neglected and require rebuilding or revitalization).Nuance:This term often refers
老资格|lǎozīgé|NOUN old-timer; veteran &#32769;&#36164;&#26684;&#30340;&#22806;&#20132;&#23478; L&#462;oz&#299;g&#233; de w&#224;iji&#257;oji&#257; veteran diplomat &#25670;&#32769;&#36164;&#26684; b&#462;i l&#462;o
要挟|yāoxié|VERB coerce; put pressure on; threaten &#35201;&#25375;&#23545;&#26041; y&#257;oxi&#233; du&#236;f&#257;ng put pressure on the other party &#23545;&#23567;&#22269;&#36827;&#34892;&#35201;&#25375; du&#
头破血流|tóupò-xuèliú|IDIOM one's head covered with bumps and bruises&#8212;be badly battered; be beaten; be crushed &#22312;&#20107;&#23454;&#38754;&#21069;&#30896;&#24471;&#22836;&#30772;&#34880;&#27969; Z&#224;i sh&#236
重案|zhòng'àn|1&#9;major case 2&#9;serious crime
警力|jǐnglì|NOUN police force &#35686;&#21147;&#19981;&#36275; j&#464;ngl&#236; b&#249;z&#250; shortage of police &#20986;&#21160;&#19977;&#30334;&#35686;&#21147; ch&#363;d&#242;ng s&#257;nb&#462;i j&#464;ngl&#23
前途无量|qiántú-wúliàng|IDIOM have boundless prospects; have unlimited possibilities
抢功|qiǎnggōng|to take credit for sb else's achievements
命案|mìng'àn|NOUN case involving a killing; homicide &#34987;&#25351;&#25511;&#29359;&#26377;&#21629;&#26696; b&#232;i zh&#464;k&#242;ng f&#224;n y&#466;u m&#236;ng'&#224;n be charged with homicide
宅第|zháidì|NOUN LITERARY large house; mansion
杀身之祸|shāshēnzhīhuò|IDIOM fatal disaster &#36973;&#26432;&#36523;&#20043;&#31096; Z&#257;o sh&#257;sh&#275;nzh&#299;hu&#242; meet with a fatal disaster &#25307;&#26469;&#26432;&#36523;&#20043;&#31096; zh&#257;ol&#225;i s
明目张胆|míngmù-zhāngdǎn|brazenly; flagrantly; without any attempt to hideNuances:This idiom (lit. "wide-eyed and bare-billed") describes actions done openly and shamelessly, often violating norms or laws. It emphasizes the a
锁匠|suǒjiang|NOUN locksmith
原装|yuánzhuāng|ADJECTIVE 1&#9;factory-packed (in the country of origin) &#21407;&#35013;&#21517;&#29260;&#30005;&#22120; yu&#225;nzhu&#257;ng m&#237;ngp&#225;i di&#224;nq&#236; factory-assembled brand-name home appl
白搭|báidā|futile; in vain; uselessNuances:This colloquial term dismisses an effort as completely wasted, with no chance of success or benefit. It conveys a sense of hopelessness or practical cynicism about the 
白跑一趟|báipǎoyītàng|To make a trip in vain, a wasted tripNuance白跑一趟 literally means “to run a trip for nothing,” referring to going somewhere but achieving nothing or failing to accomplish the intended purpose. The 白 her
巷尾|xiàngwěi|NOUN end of a lane
人脉|rénmài|Personal connections; network of contacts.Nuance: 人脉 literally means “human veins,” metaphorically referring to interpersonal relationships that function like lifelines in social or professional conte
