霉菌|méijūn|NOUN MICROBIOLOGY mould; mildew; mycete &#30871;&#26588;&#19978;&#26377;&#19968;&#23618;&#34180;&#34180;&#30340;&#38665;&#33740;&#12290; w&#462;ngu&#236; sh&#224;ng y&#466;u y&#299; c&#233;ng b&#243;b
纠葛|jiūgé|NOUN quarrel; dispute &#24863;&#24773;&#32416;&#33883; g&#462;nq&#237;ng ji&#363;g&#233; personal entanglement &#20182;&#20204;&#20043;&#38388;&#21457;&#29983;&#20102;&#19968;&#28857;&#20799;&#32416;&
追问|zhuīwèn|To question closely; to press for an answer; to inquire persistentlyNuance:追问 describes the act of asking repeatedly or insistently to get more information, clarification, or a deeper explanation. It 
重中之重|zhòngzhōngzhīzhòng|1&#9;of the utmost importance 2&#9;of highest priority
半晌|bànshǎng|quite a while; a good moment (often implying a pause or delay)Nuances:This term describes a period of time that feels noticeably long, though not precisely defined—often used to emphasize waiting, hes
质问|zhìwèn|"to question sharply," "to interrogate," "to demand an explanation"Nuance:质问 describes asking someone pointed, often accusatory questions, usually to demand clarification, accountability, or justifica
叱咤风云|chìzhà-fēngyún|To command the wind and clouds; to wield power and influence over an era; to be a dominant, larger-than-life figure.Nuance叱咤风云 is a powerful four-character idiom that describes a person of immense inf
脉搏|màibó|NOUN pulse &#20182;&#30340;&#33033;&#25615;&#27599;&#20998;&#38047;&#19968;&#30334;&#27425;&#12290; T&#257; de m&#224;ib&#243; m&#283;i f&#275;nzh&#333;ng y&#299;b&#462;i c&#236;. He has a pulse rate 
震颤|zhènchàn|VERB tremble; quiver
心无旁骛|xīnwúpángwù|single-minded; fully focusedNuances:This idiom describes complete concentration on a task without any mental distraction. It implies a disciplined mind that excludes all irrelevant thoughts.Example Se
不时之需|bùshízhīxū|For unexpected needs; for emergencies; for occasional useNuance“不时之需” literally means “a need that arises from time to time,” and it refers to preparing something in advance for unforeseen or occasion
大作|dàzuò|masterpiece; magnum opusNuances:A formal term for an artist’s or writer’s most celebrated work, often used respectfully.Example Sentences:《战争与和平》是托尔斯泰的大作。(War and Peace is Tolstoy’s masterpiece.)期待拜读您
掷|zhì|VERB throw; cast &#25527;&#25163;&#27060;&#24377; zh&#236; sh&#466;uli&#250;d&#224;n throw a grenade
冲散|chōngsàn|To scatter; to disperse; to break up.Nuance: 冲散 refers to causing a group, gathering, or cluster to break apart and spread in different directions. It often implies a forceful or sudden action, whethe
情面|qíngmiàn|personal feelings, face, sensitivity (in social interactions)Nuances:This term refers to the social courtesy or consideration given to avoid hurting someone's feelings or damaging relationships. It of
