人困马乏|rénkùn-mǎfá|IDIOM the men weary, their steeds spent or Both men and their horses are exhausted. &#22312;&#22320;&#37324;&#24178;&#20102;&#19968;&#22825;, &#22823;&#23478;&#37117;&#20154;&#22256;&#39532;&#20047;&#
约摸|yuēmo|approximately; roughly; an educated guessNuances:This colloquial term indicates an estimation based on intuition or general knowledge rather than precise measurement. It carries a casual, conversation
为时已晚|wéishíyǐwǎn|too late
良民|liángmín|NOUN DATED good citizen; law-abiding people
灾情|zāiqíng|NOUN damage caused by a disaster &#28798;&#24773;&#20005;&#37325;&#12290; Z&#257;iq&#237;ng y&#225;nzh&#242;ng. The losses caused by the disaster were serious. &#36825;&#22330;&#38632;&#20943;&#36731;
灵机一动|língjīyīdòng|"to have a sudden brainwave," "a flash of inspiration" (describes a clever idea that strikes unexpectedly, often solving a problem creatively).Nuance:This idiom captures the spontaneity and cleverness
刨根问底|páogēn-wèndǐ|"to probe into the matter thoroughly," "to get to the bottom of something," "to ask relentlessly"Nuance: 刨根问底 literally means “to dig up the roots and ask the bottom,” conveying the idea of investigat
山涧|shānjiàn|NOUN mountain stream; mountain creek
圆谎|yuán//huǎng|To cover up a lie; to patch up a story; to make a lie sound consistentNuance“圆谎” literally means “to make a lie round (complete),” and it refers to the act of smoothing over or justifying a falsehood 
台阶|táijiē|steps; staircase; (figuratively) a chance to save faceNuances:Beyond its literal meaning, this term is deeply woven into social diplomacy. Offering someone 台阶 means giving them a graceful exit from em
深究|shēnjiū|to delve deeply into; to investigate thoroughlyNuances:This term describes the act of examining something with intense scrutiny, often to uncover underlying causes, details, or truths that are not imm
蛛网|zhūwǎng|NOUN spider web; cobweb
振翅|zhènchì|to flap wings; to soar (literally or metaphorically)Nuances:Describes the action of birds or insects beating wings to fly, often symbolizing ambition or liberation.Example Sentences:鹰振翅高飞，消失在云端。(The e
登基|dēng//jī|to ascend the throne; to be enthroned (of a monarch)Nuances:This term specifically describes the formal ceremony and process of a new ruler assuming sovereign power, often involving rituals, legitimac
旱灾|hànzāi|NOUN drought (opp. &#27700;&#28798;)
饿殍|èpiǎo|starving people who have died; victims of famineNuance:饿殍&nbsp;refers specifically to people who have died due to extreme hunger or famine. The term is highly literary and historical, often appearing 
遍地|biàndì|ADVERB all over the place; everywhere &#36941;&#22320;&#30342;&#26159; bi&#224;nd&#236;ji&#275;sh&#236; found everywhere; very common &#36941;&#22320;&#24320;&#33457; bi&#224;nd&#236;k&#257;ihu&#257; 
尸横遍野|shīhéng-biànyě|IDIOM field littered with corpses
蝗灾|huángzāi|plague of locusts
牲口|shēngkou|NOUN draught animals; beasts of burden; livestock
闹灾|nào//zāi|to suffer a disaster; to be struck by calamityNuances:This term describes the occurrence of a severe natural or man-made disaster, such as famine, flood, or plague, often implying widespread suffering
内脏|nèizàng|NOUN internal organs; viscera
瘦骨嶙峋|shòugǔ-línxún|emaciated; skin and bonesNuances:This vivid idiom (lit. "thin bones protruding like rugged cliffs") describes extreme thinness, often due to illness, malnutrition, or hardship. It emphasizes a gaunt, 
怒喝|nùhè|VERB shout angrily
虚浮|xūfú|superficial; flashy without substance; inflatedNuances:"虚浮" criticizes things or people that appear impressive but lack depth or authenticity—whether materialistic displays, exaggerated claims, or sha
壮声势|zhuàngshēngshì|To lend an air of power or authority; to boost momentumNuance:壮声势 describes the act of increasing the apparent strength, influence, or momentum of an event, person, or cause, often through external me
虚张声势|xūzhāng-shēngshì|"to bluff," "to make an empty show of strength" (pretending to be powerful or threatening when actually weak or uncertain).Nuance:This phrase implies deception—using loud words, exaggerated actions, o
打劫|dǎ//jié|VERB rob; plunder; loot
孝敬|xiàojìng|To Show Filial Respect / To Give Gifts to One's EldersNuance孝敬 is a verb deeply rooted in Confucian values, referring to the act of showing respect, devotion, and care to one's parents or elders, espe
抓壮丁|zhuāzhuàngdīng|to press-gang; to forcibly conscript (able-bodied men)Nuances:Historically refers to coercive recruitment of peasants into armies (especially in pre-1949 China). Now metaphorically used for involuntar
孤魂野鬼|gūhúnyěguǐ|wandering spirits; lonely ghosts (without descendants or a resting place)Nuances:This term refers to ghosts of those who died without proper burial rites or descendants to honor them, doomed to roam r
慈悲|cíbēi|"Compassion and mercy" or "benevolence" (often associated with Buddhist or philosophical concepts of kindness and pity).Nuances:慈悲 (cí bēi) combines two characters: 慈 (cí, "kindness, love") and 悲 (bēi
烧高香|shāo//gāoxiāng|to burn joss sticks (as thanks for divine favor); to be immensely gratefulNuances:This term originates from the practice of offering tall incense sticks to deities in gratitude for blessings. Figurati
恻隐之心|cèyǐnzhīxīn|Compassion; a sympathetic heart; natural feeling of pity for others' suffering.Nuance恻隐之心 is a classical and profound term that refers to the innate human capacity for compassion—the spontaneous feeli
偷眼|tōuyǎn|ADVERB steal a glance; take a furtive glance &#20182;&#20599;&#30524;&#30475;&#20102;&#19968;&#19979;&#27597;&#20146;&#30340;&#31070;&#33394;&#12290; T&#257; t&#333;u y&#462;n k&#224;n le y&#299;xi&#2
卑躬屈膝|bēigōng-qūxī|to bow and scrape; to act servilelyNuances:This idiom vividly depicts excessive subservience or obsequious behavior, often to gain favor from those in power. It implies a degrading loss of dignity and
纯良|chúnliáng|pure and kind-hearted; genuinely virtuousNuances:This term describes an innate goodness that is both morally upright and gentle—a character untainted by malice or cynicism. It suggests a natural, almo
谦卑|qiānbēi|humble; modest (in attitude or behavior)Nuances:Describes a sincere lack of arrogance, often with religious or moral connotations (e.g., "谦卑待人" - treat others humbly). Not to be confused with "谦虚" (mo
卑贱|bēijiàn|lowly; humble and despised (in social status or character)Nuances:Carries strong negative connotations, often implying contemptible worthlessness or ingrained inferiority.Example Sentences:古代戏子被视为卑贱职业
作呕|zuò'ǒu|VERB feel sick; feel like vomiting; nauseous
蠕动|rúdòng|To squirm; to creep; to wriggle; peristalsis (in biological context).Nuance: 蠕动 primarily describes slow, wave-like movements, often associated with small organisms (like worms) or biological processe
蔫|niān|withered; listless; spiritlessNuances:This term describes a state of drooping, fading, or loss of vitality—whether in plants (from lack of water), people (from fatigue or dejection), or even moods. It
兵变|bīngbiàn|VERB mutiny &#21457;&#21160;&#20853;&#21464; f&#257;d&#242;ng b&#299;ngbi&#224;n stage a mutiny
稀粥|xīzhōu|1&#9;water gruel 2&#9;thin porridge
当铺|dàngpu|NOUN pawnshop &#24403;&#38138;&#32769;&#26495; d&#224;ngpu l&#462;ob&#462;n pawnbroker
镯子|zhuózi|Bracelet (especially bangle-style)Nuance镯子 is a noun that refers to a bracelet, specifically a rigid, often circular bangle (as opposed to a flexible chain bracelet). It is commonly made of jade, gold
阎王|Yánwang|NOUN 1&#9;ABBREVIATION VARIANT OF &#38414;&#32599;&#29579; BUDDHISM Yama, King of Hell &#27963;&#38414;&#29579; hu&#243;Y&#225;nwang living King of Hell; devil incarnate &#35265;&#38414;&#29579; ji&#2
锁链|suǒliàn|chains; shacklesNuances:This term refers to physical chains used for restraint or connection, often carrying metaphorical weight as symbols of oppression, bondage, or unbreakable connections.Example S
床榻|chuángtà|Bed or couch (literary/archaic term).Nuance: 床榻 is a classical and somewhat formal word for a bed. While 床 alone is the standard modern word, 床榻 adds an elegant, old-fashioned flavor and often appears
没事找事|méishì-zhǎoshì|IDIOM 1&#9;ask for trouble; ask for it &#21035;&#27809;&#20107;&#25214;&#20107;&#20102;&#12290; bi&#233; m&#233;ish&#236;zh&#462;osh&#236; le. Don&#8217;t ask for trouble. 2&#9;find fault with; cavil 
响彻|xiǎngchè|to resound; to echo (through a space); to fill an area with soundNuances:This term describes a sound that is loud, clear, and pervasive enough to fill a large space, often carrying a sense of grandeur
闭目养神|bìmù-yǎngshén|IDIOM close one's eyes and rest; repose; take a rest
口干舌燥|kǒugānshézào|mouth parched and tongue scorched; extremely thirsty
