3楼|3 lóu
第一声|dì yī shēng
列|liè
指出|zhǐchū
破|pò
工具|gōngjù
创造|chuàngzào
美元|měiyuán
久|jiǔ
面临|miànlín
按|àn
草|cǎo
量|liáng
挑战|tiǎozhàn
承担|chéngdān
摄影|shèyǐng
高中|gāozhōng
朴素|pǔsù
未婚夫|wèihūnfū
老套|lǎotào
十二宫|Shí'èr gōng
怂恿|sǒngyǒng
渲染|xuànrǎn
近代|<span class="tone4">jìn</span> <span class="tone4">dài</span><!--jin dai-->
瞎子|<span class="tone1">xiā</span> <span class="tone5">zi</span><!--xia zi-->
闲扯|xiánchě
充斥|chōngchì
转角|zhuǎnjiǎo
情怀|qínghuái
约定|yuēdìng
吧台|bātái
二次元|èrcìyuán
糖霜|tángshuāng
拐角|guǎijiǎo
常客|chángkè
似曾相识|sìcéngxiāngshí
既视感|jìshìgǎn
没准|méizhǔn
误打误撞|wùdǎwùzhuàng
复古|fùgǔ
接头|jiē//tóu
儿化|érhuà
会面|huì//miàn
桥段|qiáoduàn
饱含|bǎohán
社恐|shèkǒng
豌豆|wāndòu
褐色|hèsè
同步|tóngbù
亢奋|kàngfèn
安检|ānjiǎn
秃鹫|tūjiù
托运|tuōyùn
登录|dēnglù
渣男|zhānán
地球仪|dìqiúyí
分化|fēnhuà
中风|zhòngfēng
灭菌|miè//jūn
下台|xià//tái
不爽|bùshuǎng
政变|zhèngbiàn
装潢|zhuānghuáng
谋面|móumiàn
厚爱|hòu'ài
俗套|sútào
算老几|suànlǎojǐ
莫不是|mòbushì
资历|zīlì
岂不|qǐbù
妓院|jìyuàn
销声匿迹|xiāoshēng-nìjì
天花|tiānhuā
挂名|guà//míng
猜忌|cāijì
门道|méndao
何乐而不为|hélè'érbùwéi
寥寥|liáoliáo
毛骨悚然|máogǔ-sǒngrán
七弯八拐|qīwānbāguǎi
探头|tàntóu
跑腿|pǎotuǐ
不知死活|bùzhī-sǐhuó
千真万确|qiānzhēn-wànquè
舍命|shě//mìng
套话|tàohuà
色相|sèxiàng
老生常谈|lǎoshēng-chángtán
打发时间|dǎfāshíjiān
教廷|jiàotíng
珍视|zhēnshì
露天|lùtiān
迸发|bèngfā
操练|cāoliàn
潮流|cháoliú
船舶|chuánbó
雌雄|cíxióng
端五节|duānwǔjié
多元化|duōyuánhuà
二氧化碳|èryǎnghuàtàn
