搁|gē
功效|gōngxiào
锦上添花|jǐnshàng-tiānhuā
进而|jìn'ér
瀑布|pùbù
取缔|qǔdì
补觉|bǔjiào
生疏|shēngshū
兴致勃勃|xìngzhì-bóbó
悬念|xuánniàn
预言|yùyán
摘要|zhāiyào
债券|zhàiquàn
治安|zhì'ān
资深|zīshēn
自卑|zìbēi
航站楼|hángzhànlóu
派出所|pàichūsuǒ
架构师|jiàgòushī
负罪|fùzuì
默写|mòxiě
民警|mínjǐng
临危不惧|línwēi-bùjù
私房钱|sīfangqián
硅谷|guīgǔ
算法|suànfǎ
安康|ānkāng
戒毒|jiè//dú
盗号|dàohào
救命稻草|jiùmìng-dàocǎo
讨价|tǎo//jià
坨|tuó
沏茶|qīchá
牧马人|mùmǎrén
龟裂|jūnliè
叹为观止|tànwéi-guānzhǐ
志愿|zhìyuàn
珍重|zhēnzhòng
杀人偿命|shārénchángmìng
打岔|dǎ//chà
合租|hézū
寻短见|xún//duǎnjiàn
蛊惑|gǔhuò
主谋|zhǔmóu
面谈|miàntán
勾三搭四|gōusāndāsì
思想包袱|sīxiǎngbāofu
氨|ān
硝酸盐|xiāosuānyán
海葵|hǎikuí
毒舌|dúshé
往昔|wǎngxī
回车键|huíchējiàn
喊话|hǎn//huà
盂兰盆会|yúlánpénhuì
勾选|gōuxuǎn
庆功|qìnggōng
锄头|chútou
博客|bókè
气头上|qìtóushang
不便|bùbiàn
堂弟|tángdì
墨迹|mòjì
恸哭|tòngkū
一干二净|yīgān-èrjìng
天公|tiāngōng
清秀|qīngxiù
阳刚|yánggāng
栗子|lìzi
喝断片|hēduànpiàn
拼盘|pīnpán
阒然|qùrán
剧情|jùqíng
备胎|bèitāi
可乐饼|kělèbǐng
首当其冲|shǒudāng-qíchōng
下头|xiàtou
扭扭捏捏|niǔniǔniēniē
逃荒|táo//huāng
时辰|shíchen
布巾|bùjīn
灾荒|zāihuāng
落叶归根|luòyèguīgēn
牛头马面|Niútóu-Mǎmiàn
丫鬟|yāhuan
丧葬|sāngzàng
细调|xìdiào
困倦|kùnjuàn
愣神儿|lèng//shénr
涝灾|làozāi
祖籍|zǔjí
脚掌|jiǎozhǎng
妙用|miàoyòng
珠帘|zhūlián
耳垂|ěrchuí
无非|wúfēi
牛油|niúyóu
肺活量|fèihuóliàng
相约|xiāngyuē
另类|lìnglèi
