八婆|bāpó
瞎聊|xiāliáo
网咖|wǎngkā
绝代佳人|juédàijiārén
波折|bōzhé
画卷|huàjuàn
蓝图|lántú
天价|tiānjià
服药|fú//yào
执勤|zhíqín
使眼色|shǐ//yǎnse
白送|báisòng
隐形|yǐnxíng
呢绒|níróng
伐木|fámù
营火|yínghuǒ
沙丁鱼|shādīngyú
合眼|hé//yǎn
靶心|bǎxīn
校准|jiào//zhǔn
聘请|pìnqǐng
鬼点子|guǐdiǎnzi
团建|tuánjiàn
荷官|héguān
潸然泪下|shānránlèixià
赐教|cìjiào
解囊|jiěnáng
慷慨解囊|kāngkǎi-jiěnáng
不可磨灭|bùkě-mómiè
软绵绵|ruǎnmiánmián
意犹未尽|yìyóuwèijìn
回头见|huítóujiàn
沉冤|chényuān
错别字|cuòbiézì
撬动|qiàodòng
支点|zhīdiǎn
变化莫测|biànhuàmòcè
赞颂|zànsòng
骨骼|gǔgé
清奇|qīngqí
陈词滥调|chéncí-làndiào
情调|qíngdiào
抛售|pāoshòu
畅所欲言|chàngsuǒyùyán
固步自封|gùbùzìfēng
坐立不安|zuòlì-bù'ān
上市公司|shàngshìgōngsī
订金|dìngjīn
开场白|kāichǎngbái
口吃|kǒuchī
比心|bǐxīn
蜕变|tuìbiàn
从业|cóngyè
枕巾|zhěnjīn
刻画|kèhuà
姜|jiāng
礁石|jiāoshí
闹僵|nàojiāng
拉屎|lā//shǐ
扇|shān
掺水|chān//shuǐ
身孕|shēnyùn
解约|jiě//yuē
尾款|wěikuǎn
贬值|biǎn//zhí
牌局|páijú
量身定制|liángshēndìngzhì
排班|pái//bān
洗白|xǐbái
轮盘|lúnpán
足彩|zúcǎi
铺天盖地|pūtiān-gàidì
收盘价|shōupánjià
收盘|shōu//pán
不攻自破|bùgōng-zìpò
发力|fā//lì
介入|jièrù
指手画脚|zhǐshǒu-huàjiǎo
顾家|gù//jiā
犯怵|fànchù
不务正业|bùwù-zhèngyè
带坏|dàihuài
化疗|huàliáo
事关|shìguān
切身|qièshēn
动粗|dòng//cū
人妖|rényāo
疾苦|jíkǔ
划痕|huáhén
扶梯|fútī
社死|shèsǐ
晕厥|yūnjué
际遇|jìyù
同桌|tóngzhuō
拔萃|bácuì
不能免俗|bùnéngmiǎnsú
困顿|kùndùn
青楼|qīnglóu
雀跃|quèyuè
严苛|yánkē
