WORD	OLD_MEANING	NEW_MEANING
3楼	3rd floor	third floor
第一声	first tone	first tone
列	to list, to line up	row, column, list
指出	to point out	point out, indicate
破	to break, broken, damaged	break, broken, damage
工具	tool, instrument, means	tool, instrument
创造	to create, to bring about	create, bring into existence
美元	U.S. dollar	US dollar
久	for a long time	long (time), for a long time
面临	to be faced with, to face	face, confront (a situation)
按	to press, to push down, to restrain; according to	according to, press, push
草	grass, straw	grass, straw, draft
量	to measure	measure, estimate
挑战	to challenge; challenge	challenge
承担	to bear, to undertake, to take on	undertake, bear (responsibility)
摄影	to photograph, to shoot	photography, take a photo
高中	senior high school (grades 10-12)	high school
朴素	Plain; simple; unadorned	simple, plain, unadorned
未婚夫	fiancé	fiancé
老套	old-fashioned, conventional, cliché	old-fashioned, cliché
十二宫	the 12 signs of the zodiac	zodiac signs (twelve)
怂恿	instigate, incite, egg on	incite, urge (negatively)
渲染	render (3D imaging)	exaggerate, render (art)
近代	modern times (late 19th to mid-20th century)	modern times (19th-20th c.)
瞎子	blind person	blind person (derogatory)
闲扯	chat, engage in chit-chat	chat idly, gossip
充斥	be flooded with, be full of (often negative)	be filled with (negatively)
转角	corner, street corner	corner (street/building)
情怀	sentiment; feelings; emotional attachment	sentiment, nostalgia
约定	agree on; arrange; appointment; promise	agreement, appointment
吧台	bar counter	bar counter
二次元	2D; anime/game worlds	anime/manga world, 2D
糖霜	icing, frosting, white sugar	icing, frosting
拐角	corner (street/building)	corner (street/building)
常客	frequent visitor; regular customer	regular customer
似曾相识	seem to have met before; déjà vu	déjà vu, familiar
既视感	déjà vu	déjà vu
没准	(1) not sure; (2) maybe	maybe, perhaps
误打误撞	accidentally; unintentionally; serendipitously	by accident, chance
复古	retro, vintage	retro, vintage
接头	to connect; to contact	to connect; to make contact
儿化	retroflex suffix	erhua (retroflex suffix)
会面	meet; meeting	to meet; to have a meeting
桥段	plot device; trope; gimmick	plot device; cliché; scene
饱含	be full of; be filled with	to be full of; to be filled with
社恐	social phobia; social anxiethy disorder (abbreviation)	social anxiety; social phobia
豌豆	pea	pea
褐色	brown (color)	brown (color)
同步	synchronism; at the same pace; in step with	synchronous; synchronized; to sync
亢奋	hyperexcited; overly stimulated; euphoric	excited; hyper; agitated
安检	security check (abbreviation)	security check; safety inspection
秃鹫	cinereous vulture; vulture	vulture (bird)
托运	check in (luggage); consign for shipment	to check (luggage); to consign for shipment
登录	log in; registr; land (on shore)	to log in; to register (online)
渣男	jerk; scumbag (espicially in romantic relationships)	jerk; scumbag (man)
地球仪	globe	globe (model of Earth)
分化	become divided; break up; split up; differentiation	to divide; to split; differentiation
中风	stroke; apoplexy (noun); suffr a stroke (verb)	stroke (medical)
灭菌	sterilize; disnfect	to sterilize; to disinfect
下台	1. step down from the stage; 2. leave office (often forced)	to step down (from a position); to resign
不爽	1. not well; in a bad mood; 2. (literary) accurate without error	not happy, upset
政变	coup d'état	coup d'état
装潢	decoration; interior furnishing; to decorate	decoration, decoration (verb)
谋面	to meet face to face	meet (usually for the first time)
厚爱	great kindness, deep affection	deep affection, great kindness
俗套	cliché; convention	cliché, convention
算老几	Who do you think you are?	who does (someone) think they are
莫不是	Can it be that; is it possible that	could it be that, perhaps
资历	Seniorty; qualifications; experience	qualifications, seniority
岂不	Wouldn't it; isn't it (ritorical)	isn't it, wouldn't it (rhetorical)
妓院	Brothel; courtesans' quarters	brothel
销声匿迹	Vanich without a trace; disappear completely	disappear from the scene, go into hiding
天花	Smallpox; celin	smallpox
挂名	Nominal; in name only; figurehead	nominal, titular
猜忌	Suspicion and jealousy	suspicion, jealousy (between people)
门道	The knck; tricks of the trade; a way	knack, trick, way (to do something)
何乐而不为	Why not do it; ther's no reason not to	why not do it
寥寥	Very few; scanty; sparse	few, scarce
毛骨悚然	Absolutely terrified; with one's hair standing on end	hair-raising, bloodcurdling, terrified
七弯八拐	Twisting and turning; tricky and complicated	twisting and turning, zigzag
探头	To crane one's neck; to peek; a probe	to poke one's head out; to look around
跑腿	To run erands; erand work	to run errands; to do legwork
不知死活	Act recklessly; rergardless of danger	to act recklessly without regard for life or consequences
千真万确	Absoluty true; beyond any doubt; completly certain	absolutely true; beyond any doubt
舍命	To risk one's life; to sacrice oneself	to risk one's life; to give up one's life
套话	set phrase; cliché; formulaic expression	cliché; conventional talk; to draw someone out
