优惠券|yōuhuìquàn
氧|yǎng
权限|quánxiàn
增幅|zēngfù
二进制|èrjìnzhì
读数|dúshù
英寸|yīngcùn
酒精|jiǔjīng
比分|bǐfēn
营业|yíngyè
折扣|zhékòu
减价|jiǎnjià
三角形|sānjiǎoxíng
解散|jiěsàn
新台币|xīntáibì
再现|zài xiàn
今日|jīnrè
宣战|xuānzhàn
沸腾|fèiténg
华氏|huáshì
暴跌|bàodiē
人体|Réntǐ
销售额|xiāoshòu é
奥运会|Àoyùnhuì
宫殿|gōngdiàn
吞吐|tūntǔ
请帖|qǐng tiě
捐赠|juānzèng
请柬|qǐngjiǎn
熄灯|Xīdēng
生效|shēngxiào
柜台|Guìtái
跌进|diē jìn
近代|<span class="tone4">jìn</span> <span class="tone4">dài</span><!--jin dai-->
收益|<span class="tone1">shōu</span> <span class="tone4">yì</span><!--shou yi-->
变压器|<span class="tone4">biàn</span> <span class="tone1">yā</span> <span class="tone4">qì</span><!--bian ya qi-->
牌价|<span class="tone2">pái</span> <span class="tone4">jià</span><!--pai jia-->
增产|<span class="tone1">zēng</span> <span class="tone3">chǎn</span><!--zeng chan-->
高低|<span class="tone1">gāo</span> <span class="tone1">dī</span><!--gao di-->
下岗|<span class="tone4">xià</span> <span class="tone3">gǎng</span><!--xia gang-->
油箱|<span class="tone2">yóu</span> <span class="tone1">xiāng</span><!--you xiang-->
毫米|<span class="tone2">háo</span> <span class="tone3">mǐ</span><!--hao mi-->
温习|<span class="tone1">wēn</span> <span class="tone2">xí</span><!--wen xi-->
骨架|<span class="tone3">gǔ</span> <span class="tone4">jià</span><!--gu jia-->
众人|<span class="tone4">zhòng</span> <span class="tone2">rén</span><!--zhong ren-->
标枪|<span class="tone1">biāo</span> <span class="tone1">qiāng</span><!--biao qiang-->
攀升|<span class="tone1">pān</span> <span class="tone1">shēng</span><!--pan sheng-->
毛重|máozhòng
净重|jìngzhòng
为止|wéizhǐ
索赔|suǒpéi
创建|chuàngjiàn
一律|yīlǜ
锐减|ruìjiǎn
诞生|dànshēng
一言为定|yīyán-wéidìng
约定|yuēdìng
值守|zhíshǒu
停靠|tíngkào
冲刺|chōngcì
抽奖|chōu//jiǎng
二次元|èrcìyuán
报到|bào//dào
脑壳|nǎoké
参见|cānjiàn
抽成|chōu//chéng
图鉴|tújiàn
倍率|bèilǜ
限定|xiàndìng
大致|dàzhì
建模|jiànmó
既视感|jìshìgǎn
通商|tōng//shāng
过时不候|guòshí-bùhòu
时薪|shíxīn
待命|dàimìng
复古|fùgǔ
距今|jùjīn
悬赏|xuán//shǎng
弹匣|dànxiá
效能|xiàonéng
会面|huì//miàn
婆娘|póniáng
心腹|xīnfù
炮塔|pàotǎ
桥段|qiáoduàn
总价|zǒngjià
监控|jiānkòng
限额|xiàn'é
顺带一提|shùndàiyītí
赏金|shǎngjīn
狱警|yùjǐng
食欲|shíyù
预计|yùjì
领跑|lǐngpǎo
积分|jīfēn
提纯|tíchún
戒严|jiè//yán
筹集|chóují
足足|zúzú
