解体|jiě//tǐ
开张|kāi//zhāng
滚蛋|gǔn//dàn
老子|lǎozi
届时|jièshí
俗套|sútào
探头|tàntóu
气喘吁吁|qìchuǎnxūxū
销量|xiāoliàng
功率|gōnglǜ
存折|cúnzhé
霹雳舞|pīlìwǔ
磁浮|cífú
摩天大楼|mótiāndàlóu
蛮荒|mánhuāng
盛极一时|shèngjí-yīshí
露天|lùtiān
东道主|dōngdàozhǔ
截至|jiézhì
心率|xīnlǜ
可口|kěkǒu
降幅|jiàngfú
萌芽|méngyá
流量|liúliàng
邮编|yóubiān
棵|kē
庸俗|yōngsú
指南针|zhǐnánzhēn
专程|zhuānchéng
航站楼|hángzhànlóu
优盘|yōupán
后遗症|hòuyízhèng
猎豹|lièbào
问卷|wènjuàn
民警|mínjǐng
股权|gǔquán
覆盖率|fùgàilǜ
入账|rù//zhàng
案发|ànfā
分账|fēn//zhàng
礼金|lǐjīn
晚点|wǎn//diǎn
充电宝|chōngdiànbǎo
毛利|máolì
海平面|hǎipíngmiàn
纯利润|chúnlìrùn
相较|xiāngjiào
天公|tiāngōng
思潮|sīcháo
谐音|xiéyīn
可乐饼|kělèbǐng
胚子|pēizi
缓过劲儿来|Huǎnguòjìnrlái
宵禁|xiāojìn
跌破|diēpò
杀敌|shādí
干透|gāntòu
飙|biāo
硬拉|yìnglā
刮目相看|guāmù-xiāngkàn
弧度|húdù
数组|shùzǔ
房贷|fángdài
酸碱值|suānjiǎnzhí
随时待命|suíshídàimìng
分贝|fēnbèi
千米|qiānmǐ
腰围|yāowéi
祭坛|jìtán
急诊|jízhěn
网咖|wǎngkā
峰会|fēnghuì
绝代佳人|juédàijiārén
波折|bōzhé
画卷|huàjuàn
蓝图|lántú
天价|tiānjià
服药|fú//yào
执勤|zhíqín
使眼色|shǐ//yǎnse
白送|báisòng
隐形|yǐnxíng
呢绒|níróng
伐木|fámù
营火|yínghuǒ
沙丁鱼|shādīngyú
合眼|hé//yǎn
靶心|bǎxīn
校准|jiào//zhǔn
雷厉风行|léilì-fēngxíng
骨骼|gǔgé
订金|dìngjīn
时髦|shímáo
甲方|jiǎfāng
收盘价|shōupánjià
收盘|shōu//pán
耐磨|nài//mó
一概而论|yīgài'érlùn
民脂民膏|mínzhī-míngāo
乐呵呵|lèhēhē
