下课|xiàkè
上课|shàngkè
加油站|jiāyóuzhàn
关门了|guān mén le
药房|yàofáng
会|huì
超市|chāoshì
左拐|zuǒ guǎi
电器店|diànqìdiàn
从|cóng
东|dōng
丢|diū
第一声|dì yī shēng
加班|jiābān
公寓|gōngyù
高|gāo
会议|huìyì
以上|yǐshàng
时差|shíchā
球场|qiúchǎng
打折|dǎzhé
最后次|zuì hòu cì
家庭|jiātíng
提供|tígōng
秒|miǎo
出生|chūshēng
缴房租|jiāo fángzū
纸币|zhǐbì
小费|xiǎofèi
结束|jiéshù
开放|kāifàng
超过|chāoguò
青年|qīngnián
克|kè
地震|dìzhèn
公里|gōnglǐ
世纪|shìjì
公分|gōngfēn
力量|lìliàng
线|xiàn
亿|yì
先进|xiānjìn
并且|bìngqiě
美元|měiyuán
妇女|fùnǚ
紧急|jǐnjí
排|pái
翻|fān
集合|jíhé
集|jí
发烧|fāshāo
耳机|ěrjī
农贸市场|nóngmào shìchǎng
U盘|U pán
笔试|bǐshì
口试|kǒushì
记住|jìzhù
身高|shēngāo
原价|yuánjià
单人间|dānrénjiān
车牌号|chēpáihào
去世|qùshì
祝贺|zhùhè
容积|róngjī
猛增|měngzēng
统治|tǒngzhì
强度|qiángdù
特此|tècǐ
黄油|huángyóu
厘米|límǐ
共产党|gòngchǎndǎng
未婚夫|wèihūnfū
首付|shǒufù
起码|qǐmǎ
调节|tiáojié
月球|yuèqiú
监狱|jiānyù
电压|diànyā
加仑|jiālún
海拔|hǎibá
时速|shísù
限速|xiànsù
赛跑|sàipǎo
碰头|pèngtóu
像素|xiàngsù
客机|kèjī
高度|gāodù
分成|fēnchéng
温度计|wēndùjì
历史上|lìshǐshàng
班车|bānchē
台湾本岛|
汇合|huìhé
选票|xuǎnpiào
土星|tǔxīng
检票口|jiànpiàokǒu
老套|lǎotào
相距|xiāngjù
护理|hùlǐ
行驶|xíngshǐ
