泛红|fànhóng|1&#9;to blush2&#9;to redden3&#9;flushed
索取|suǒqǔ|VERBask for; demand; exact; extort&#32034;&#21462;&#26679;&#21697;su&#466;q&#468; y&#224;ngp&#464;nask for a sample&#32034;&#21462;&#24040;&#39069;&#36180;&#27454;su&#466;q&#468; j&#249;'&#233; p&#233
业务员|yèwùyuán|salesperson
说教|shuōjiào|VERB1&#9;sermonize; deliver a sermon; preach2&#9;preachify IINOUNdidacticism&#35828;&#25945;&#25991;&#23398;shu&#333;ji&#224;o w&#233;nxu&#233;didactic literature
兑现|duìxiàn|VERB1&#9;cash (a cheque, etc.)2&#9;honour (a commitment, etc.); fulfill; make good&#35828;&#35805;&#19981;&#20817;&#29616;Shu&#333;hu&#224; b&#249; du&#236;xi&#224;nnot live up to a promise; fail to m
喜怒无常|xǐnù-wúcháng|IDIOMsubject to changing moods; capricious; unpredictable&#20182;&#36825;&#20010;&#20154;&#21916;&#24594;&#26080;&#24120;&#12290;T&#257; zh&#232;ge r&#233;n x&#464; n&#249; w&#250;ch&#225;ng.He is a m
绝情|juéqíng|ADJECTIVEheartless; cruel&#32477;&#24773;&#23521;&#20041;ju&#233;q&#237;ng gu&#462; y&#236;ungrateful and heartless&#22827;&#22971;&#20043;&#38388;&#19981;&#35201;&#35828;&#36825;&#31181;&#32477;&#247
如胶似漆|rújiāo-sìqī|IDIOM stick to each other like glue or lacquer; remain glued to each other; be deeply attached to each other
失主|shīzhǔ|NOUNowner of lost property; loser
散列|sǎnliè|VERBTELECOMMUNICATIONShash&#25955;&#21015;&#34920;s&#462;nli&#232; bi&#462;ohash table&#25955;&#21015;&#30721;s&#462;nli&#232; m&#462;hash code
检出|jiǎnchū|1&#9;to detect2&#9;to examine and discover3&#9;to sense
插件|chājiàn|NOUN1&#9;COMPUTINGplug-in2&#9;ELECTRICITYplug-in unit (or component)
第三方|dìsānfāng|LAWthird party (to a dispute)
遇上|yùshàng|1&#9;to come across (sb)2&#9;to run into
图鉴|tújiàn|NOUN[usu. in book titles] illustrated (or pictorial) handbook&#12298;&#20013;&#33609;&#33647;&#22270;&#37492;&#12299;&#12298;Zh&#333;ngc&#462;oy&#224;o T&#250;ji&#224;n&#12299;Pictorial Handbook of Ch
回礼|huílǐ|VERB(-//-)1&#9;return a salute2&#9;send a present in return; present a gift in return&#20182;&#36865;&#20102;&#31036;&#32473;&#25105;, &#25105;&#24471;&#22238;&#20182;&#19968;&#20221;&#31036;&#12290;T
没辙|méizhé|VERBCOLLOQUIALcan find no way out; at the end of one's rope; at wits' end&#19979;&#19968;&#27493;&#35813;&#24590;&#20040;&#21150;, &#25105;&#27809;&#36761;&#20102;&#12290;Xi&#224; y&#299; b&#249; g&#2
照看|zhàokàn|VERBlook after; attend to; keep an eye on&#29031;&#30475;&#30149;&#20154;Zh&#224;ok&#224;n b&#236;ngr&#233;nattend to a patient&#21171;&#39550;&#24110;&#25105;&#29031;&#30475;&#19968;&#19979;&#34892;&
把风|bǎ//fēng|VERBkeep watch (in a clandestine activity); be on the lookout
传输|chuánshū|VERBELECTRICITYtransmit&#30005;&#21147;&#20256;&#36755;di&#224;nl&#236; chu&#225;nsh&#363;power transmission
空旷|kōngkuàng|ADJECTIVEopen and spacious&#31354;&#26103;&#30340;&#21407;&#37326;K&#333;ngku&#224;ng de yu&#225;ny&#283;expanse of open country; champaign
忽高忽低|hūgāohūdī|alternately soaring and plunging
觉悟|juéwù|NOUNconsciousness; awareness; understanding&#38454;&#32423;&#35273;&#24735;ji&#275;j&#237; ju&#233;w&#249;class consciousnessVERBcome to understand; become aware of; become politically awakened&#35273
摆出|bǎi//chū|VERBCOLLOQUIALput forth; put on; assume&#25670;&#20986;&#29702;&#30001;b&#462;ich&#363; l&#464;y&#243;uput forth reasons; lay out reasons&#25670;&#20986;&#22825;&#30495;&#30340;&#26679;&#23376;b&#462;
识破|shí//pò|VERBsee through; penetrate&#35782;&#30772;&#39575;&#23616;sh&#237;p&#242; pi&#224;nj&#250;see through a fraud
助人为乐|zhùrén-wéilè|IDIOMfind pleasure in helping others; take pleasure in helping people; obliging; helpful
