打发时间|dǎfāshíjiān|to pass the time
蛮荒|mánhuāng|ADJECTIVEbarbarous and remote&#34542;&#33618;&#24180;&#20195;m&#225;nhu&#257;ng ni&#225;nd&#224;ibarbarous age&#34542;&#33618;&#20043;&#22320;m&#225;nhu&#257;ng zh&#299; d&#236;uncivilized landNOUNLIT
教廷|jiàotíng|NOUNVatican; Holy See
珍视|zhēnshì|VERBvalue; prize; cherish; treasure&#29645;&#35270;&#20170;&#22825;&#30340;&#32654;&#22909;&#29983;&#27963;zh&#275;nsh&#236; j&#299;nti&#257;n de m&#283;ih&#462;o sh&#275;nghu&#243;prize the good life
迸发|bèngfā|VERBburst forth; burst out&#38180;&#23376;&#25171;&#22312;&#23721;&#30707;&#19978;, &#36856;&#21457;&#20102;&#22909;&#20123;&#28779;&#26143;&#20799;&#12290;Chu&#237;zi d&#462; z&#224;i y&#225;nsh&#237
操练|cāoliàn|VERBdrill; train&#25805;&#32451;&#21477;&#22411;c&#257;oli&#224;n j&#249;x&#237;ngdrill (sentence) patterns&#32769;&#24072;&#25351;&#23548;&#20840;&#29677;&#21516;&#23398;&#25805;&#32451;&#19981;&#234
潮流|cháoliú|NOUN1&#9;tide; tidal current2&#9;trend&#21453;&#21382;&#21490;&#28526;&#27969;F&#462;n l&#236;sh&#464; ch&#225;oli&#250;go against the historical trend&#39034;&#24212;&#19990;&#30028;&#20043;&#28526;&
船舶|chuánbó|NOUNshipping; boats and ships
雌雄|cíxióng|NOUN1&#9;male and female2&#9;victory and defeat&#20915;&#19968;&#38604;&#38596;ju&#233;y&#299;c&#237;xi&#243;ngfight it out
端五节|duānwǔjié|NOUNDragon Boat Festival (the 5th day of the 5th lunar month)
多元化|duōyuánhuà|VERBpluralise; become pluralistic&#19990;&#30028;&#26085;&#30410;&#22810;&#20803;&#21270;&#12290;sh&#236;ji&#232; r&#236;y&#236; du&#333;yu&#225;nhu&#224;.The world is becoming more pluralistic.ADJECT
二氧化碳|èryǎnghuàtàn|NOUNCHEMISTRYcarbon dioxide (CO2)
搁|gē|VERB1&#9;put; place; lay&#25226;&#19996;&#35199;&#25601;&#19979;&#12290;b&#462; d&#333;ngxi g&#275; xi&#224;.Put down your things.&#27748;&#37324;&#25601;&#28857;&#20799;&#30416;&#12290;T&#257;ng l&#4
功效|gōngxiào|NOUNefficacy; effect&#27492;&#33647;&#21151;&#25928;&#26174;&#33879;&#12290;C&#464; y&#224;o g&#333;ngxi&#224;o xi&#462;nzh&#249;.This medicine is highly efficacious.
锦上添花|jǐnshàng-tiānhuā|IDIOMadd flowers to the brocade&#8212;make what is good still better; improve on
进而|jìn'ér|CONJUNCTIONand then; after that
可口|kěkǒu|ADJECTIVEdelicious; savory; tasty; palatable&#21487;&#21475;&#30340;&#40657;&#33683;k&#283;k&#466;u de h&#275;im&#233;idelectable raspberries&#21487;&#21475;&#30340;&#33529;&#26524;k&#283;k&#466;u de 
瀑布|pùbù|NOUNwaterfall; falls; cataract
补觉|bǔjiào|to make up for lost sleep
生疏|shēngshū|ADJECTIVE1&#9;not familiar&#25105;&#23545;&#36825;&#39033;&#24037;&#20316;&#24456;&#29983;&#30095;&#12290;W&#466; du&#236; zh&#232; xi&#224;ng g&#333;ngzu&#242; h&#283;n sh&#275;ngsh&#363;.I don&#8217
兴致勃勃|xìngzhì-bóbó|IDIOMfull of zest; in high spirits
悬念|xuánniàn|NOUNsuspense (felt as a story, play, etc. builds to a climax)&#20805;&#28385;&#24748;&#24565;&#30340;&#20390;&#25506;&#23567;&#35828;ch&#333;ngm&#462;n xu&#225;nni&#224;n de zh&#275;nt&#224;n xi&#462;
棵|kē|MEASURE WORD[usu. for plants]&#19968;&#26869;&#26641;y&#299; k&#275; sh&#249;a tree&#19968;&#26869;&#22823;&#30333;&#33756;y&#299; k&#275; d&#224;b&#225;ic&#224;ia (head of) Chinese cabbage
庸俗|yōngsú|ADJECTIVEvulgar; philistine; low&#36259;&#21619;&#24248;&#20439;q&#249;w&#232;i y&#333;ngs&#250;have vulgar (or unrefined) tastes&#30456;&#20114;&#21561;&#25447;&#30340;&#24248;&#20439;&#20316;&#39118
预言|yùyán|NOUNprophecy; prediction&#20182;&#30340;&#39044;&#35328;&#24212;&#39564;&#20102;&#12290;t&#257; dey&#249;y&#225;n y&#236;ngy&#224;n le.His prophecy was fulfilled. or Things turned out as he predicted.
摘要|zhāiyào|NOUNsummary; abstract; pr&#233;cis&#31038;&#35770;&#25688;&#35201;sh&#232;l&#249;n zh&#257;iy&#224;othe summary of an editorialVERBmake a summary&#25688;&#35201;&#21457;&#34920;zh&#257;iy&#224;o f&#25
债券|zhàiquàn|NOUNbond; debenture
治安|zhì'ān|NOUNpublic order; public security&#32500;&#25345;&#27835;&#23433;w&#233;ich&#237; zh&#236;'&#257;nmaintain public order&#35813;&#24066;&#27835;&#23433;&#24773;&#20917;&#33391;&#22909;&#12290;g&#257;i 
专程|zhuānchéng|ADVERBspecial trip&#19987;&#31243;&#36212;&#24191;&#24030;&#36814;&#25509;&#36149;&#23486;zhu&#257;nch&#233;ng f&#249; Gu&#462;ngzh&#333;u y&#237;ngji&#275; gu&#236;b&#299;nmake a special trip to Guan
资深|zīshēn|ADJECTIVEveteran; senior; experienced; famed
自卑|zìbēi|ADJECTIVEfeel inferior; abject&#19981;&#33258;&#28385;, &#20063;&#19981;&#33258;&#21329;B&#249; z&#236;m&#462;n, y&#283; b&#249; z&#236;b&#275;ineither complacent nor self-abasing
航站楼|hángzhànlóu|airport terminal
派出所|pàichūsuǒ|NOUNlocal police station; police substation
架构师|jiàgòushī|(computing) architect
负罪|fùzuì|VERBLITERARYbear the blame&#26377;&#36127;&#32618;&#24863;Y&#466;u f&#249;zu&#236; g&#462;nfeel guilty
默写|mòxiě|VERBwrite from memory&#22905;&#25226;&#36825;&#19968;&#35838;&#30340;&#29983;&#35789;&#40664;&#20889;&#20102;&#19968;&#36941;&#12290;T&#257; b&#462; zh&#232; y&#299; k&#232; de sh&#275;ngc&#237; m&#24
民警|mínjǐng|NOUNABBREVIATIONpolice; policeman&#22899;&#27665;&#35686;n&#474; m&#237;nj&#464;ngpolicewoman
临危不惧|línwēi-bùjù|IDIOMface danger fearlessly; betray no fear in face of danger
私房钱|sīfangqián|private savings (of a family member)
硅谷|guīgǔ|NOUNSilicon Valley&#21271;&#20140;&#30340;&#20013;&#20851;&#26449;&#22320;&#21306;&#26159;&#20013;&#22269;&#30340;&#30789;&#35895;&#12290;B&#283;ij&#299;ng de zh&#333;nggu&#257;n c&#363;n d&#236;q&#36
算法|suànfǎ|NOUN1&#9;way of calculation2&#9;MATHEMATICSalgorithm
安康|ānkāng|ADJECTIVELITERARYin good health&#31069;&#24744;&#23433;&#24247;&#65281;Zh&#249; n&#237;n &#257;nk&#257;ng!Here&#8217;s wishing you the best of health! or May you enjoy good health!
戒毒|jiè//dú|VERBrehabilitate from drug abuse; drug rehabilitation
盗号|dàohào|to steal an online account
救命稻草|jiùmìng-dàocǎo|clutch at a straw
讨价|tǎo//jià|VERBask (or name) a price
坨|tuó|NOUNheap; lumpVERBDIALECT(of cooked wheaten food) stick together&#38754;&#26465;&#22376;&#20102;&#12290;Mi&#224;nti&#225;o tu&#243; le.These noodles are sticking together.
沏茶|qīchá|make tea
牧马人|mùmǎrén|herdsman (of horses)
龟裂|jūnliè|VERB1&#9;(of parched earth) full of cracks&#38271;&#26399;&#24178;&#26097;, &#30000;&#22320;&#40863;&#35010;&#12290;Ch&#225;ngq&#299; g&#257;nh&#224;n, ti&#225;nd&#236; j&#363;nli&#232;.There has been
叹为观止|tànwéi-guānzhǐ|IDIOMacclaim (a work of art, etc.) as the acme of perfection; hail as the best
志愿|zhìyuàn|NOUNaspiration; wish; idealVERBdo sth. of one's own free will; volunteer
珍重|zhēnzhòng|VERB1&#9;highly value; treasure; set great store by&#25105;&#29645;&#37325;&#20320;&#23545;&#25105;&#30340;&#20449;&#20219;&#12290;W&#466; zh&#275;nzh&#242;ng n&#464; du&#236; w&#466; de x&#236;nr&#23
杀人偿命|shārénchángmìng|pay with one&#8217;s life for a murder; a life for a life
打岔|dǎ//chà|VERBinterrupt; cut in&#20182;&#20204;&#22312;&#35848;&#27491;&#32463;&#20107;&#20799;, &#21035;&#25171;&#23700;&#12290;T&#257;men z&#224;i t&#225;n zh&#232;ngjing sh&#236;r, bi&#233; d&#462;ch&#224;.D
合租|hézū|VERBrent jointly; joint rental&#19982;&#20154;&#21512;&#31199;y&#468; r&#233;n h&#233;z&#363;rent jointly with others
寻短见|xún//duǎnjiàn|VERBLITERARYcommit suicide; take one's own life
蛊惑|gǔhuò|VERBpoison and bewitch
主谋|zhǔmóu|NOUNLAWringleaderVERBhead a conspiracy; be the lead plotter
面谈|miàntán|VERBspeak face-to-face; take up a matter with sb. personally; speak in person
勾三搭四|gōusāndāsì|1&#9;to make hanky-panky2&#9;to seduce women
思想包袱|sīxiǎngbāofu|sth. weighing on one&#8217;s mind; mental load
硝酸盐|xiāosuānyán|nitrate
海葵|hǎikuí|NOUNZOOLOGYsea anemone
毒舌|dúshé|1&#9;venomous tongue2&#9;sharp-tongued3&#9;harsh
往昔|wǎngxī|NOUNLITERARY(in) the past; (in) former times&#24448;&#26132;&#19981;&#21487;&#36861;&#12290;w&#462;ngx&#299; b&#249;k&#283; zhu&#299;.What is past is irrevocable.
回车键|huíchējiàn|NOUNCOMPUTINGenter (key)
喊话|hǎn//huà|VERB1&#9;shout propaganda (at enemy troops across the lines); call out to sb. at a distance2&#9;communicate by tele-equipment
盂兰盆会|yúlánpénhuì|NOUNUllambana; Buddhist Ghost Festival (on the 15th of the seventh lunar month) to redeem the souls of one's deceased ancestors
勾选|gōuxuǎn|1&#9;to select (one or more options from a list)2&#9;to check (a box)
庆功|qìnggōng|VERBcelebrate victory
锄头|chútou|NOUN1 pickaxe (used in southern China)
