保健品|bǎojiànpǐn|health care products
左右逢源|zuǒyòu-féngyuán|IDIOM 1&#9;achieve success without any trouble 2&#9;artful and canny; manage things smoothly and tactfully
听诊器|tīngzhěnqì|stethoscope
辨析|biànxī|VERB differentiate and analyse; discriminate &#21516;&#20041;&#35789;&#36776;&#26512; T&#243;ngy&#236;c&#237; bi&#224;nx&#299; synonym discrimination
撕碎|sīsuì|to tear to shreds
重聚|chóngjù|VERB meet again; reunite &#32769;&#21451;&#37325;&#32858; L&#462;oy&#466;u ch&#243;ngj&#249; reunion of old friends
畅谈|chàngtán|VERB talk freely and enthusiastically &#30021;&#35848;&#32654;&#22909;&#30340;&#26410;&#26469; ch&#224;ngt&#225;n m&#283;ih&#462;o de w&#232;il&#225;i speak glowingly of the bright future
满门抄斩|mǎnménchāozhǎn|to execute the whole family and confiscate their property
过山车|guòshānchē|NOUN roller coaster (in an amusement park)
宜家|Yíjiā|IKEA, Swedish furniture retailer
扶梯|fútī|NOUN 1&#9;staircase 2&#9;DIALECT ladder
骏马|jùnmǎ|NOUN fine horse; steed; charger
风流倜傥|fēngliú-tìtǎng|elegant and unrestrained
家暴|jiābào|domestic violence (abbr. for ji&#257;t&#237;ngb&#224;ol&#236; [&#23478;&#24237;&#26292;&#21147;])
重塑|chóngsù|1&#9;to reconstruct (an art object) 2&#9;to remodel
造型师|zàoxíngshī|1&#9;stylist (fashion) 2&#9;cartoon character designer
美术|měishù|NOUN 1&#9;the fine arts; art 2&#9;painting
素人|sùrén|1&#9;untrained, inexperienced person; layman; amateur 2&#9;ordinary person; non-celebrity
雷管|léiguǎn|NOUN detonator; detonating cap; blasting cap; primer &#30005;&#38647;&#31649; di&#224;n l&#233;igu&#462;n electric detonator
谦让|qiānràng|VERB modestly decline &#23458;&#20154;&#20204;&#20114;&#30456;&#35878;&#35753;&#20102;&#19968;&#19979;, &#28982;&#21518;&#33853;&#20102;&#24231;&#12290; K&#232;ren men h&#249;xi&#257;ng qi&#257;nr&#22
肢解|zhījiě|VERB 1&#9;ARCHAIC cut one's limbs (as a punishment) 2&#9;dissect; cut up (usu. a corpse) 3&#9;FIGURATIVE dismember; separate &#32930;&#35299;&#19968;&#20010;&#22269;&#23478; zh&#299;ji&#283; y&#299; g
追思|zhuīsī|VERB recall; reminisce
诊所|zhěnsuǒ|NOUN clinic; dispensary &#29579;&#21307;&#29983;&#24320;&#20102;&#19968;&#20010;&#31169;&#20154;&#35786;&#25152;&#12290; W&#225;ng y&#299;sh&#275;ng k&#257;i le y&#299; ge s&#299;r&#233;n zh&#283;nsu&
箍|gū|VERB bind round; hoop &#29992;&#38081;&#19997;&#25226;&#26742;&#31629;&#19978; y&#242;ng ti&#283;s&#299; b&#462; t&#466;ng g&#363; sh&#224;ng bind a bucket with wire &#20182;&#22836;&#19978;&#31629;&#
流连忘返|liúlián-wàngfǎn|IDIOM enjoy oneself so much as to forget to go home; linger on with no thought of leaving; cannot tear oneself away &#23637;&#21697;&#29747;&#29701;&#28385;&#30446;, &#20196;&#20154;&#27969;&#36830;&#
备至|bèizhì|ADVERB LITERARY to the utmost; in every possible way &#20851;&#24576;&#22791;&#33267; gu&#257;nhu&#225;ib&#232;izh&#236; show every concern for; very considerate &#39042;&#25196;&#22791;&#33267; s&#24
调研|diàoyán|VERB ABBREVIATION investigate and research; survey and study
老派|lǎopài|ADJECTIVE old-fashioned; conservative NOUN old-fashioned person; old fogey
吃灰|chīhuī|(neologism c. 2019) (coll.) to gather dust
坚果|jiānguǒ|NOUN BOTANY nut &#22362;&#26524;&#20161; ji&#257;ngu&#466; r&#233;n nutmeat
客队|kèduì|NOUN SPORTS visiting team (opp. &#20027;&#38431;)
主队|zhǔduì|NOUN SPORTS home (or host) team (opp. &#23458;&#38431;)
搭配|dāpèi|VERB 1&#9;arrange in pairs or groups &#25645;&#37197;&#21512;&#29702; d&#257;p&#232;i h&#233;l&#464; properly proportioned 2&#9;fit; match &#19978;&#34915;&#21644;&#35044;&#23376;&#30340;&#39068;&#333
创始|chuàngshǐ|VERB originate; initiate; found &#22788;&#22312;&#21019;&#22987;&#38454;&#27573; ch&#468;z&#224;i chu&#224;ngsh&#464; ji&#275;du&#224;n be in the initial stage &#20013;&#22269;&#26159;&#32852;&#21512;
裙带关系|qúndàiguānxi|1&#9;(idiom) favoritism shown to sb because of the influence of the person's wife or other female relative 2&#9;(idiom) (by extension) favoritism towards relatives, friends or associates
飞镖|fēibiāo|NOUN 1&#9;dart; dartlike weapon 2&#9;SPORTS darts (a game)
遍历|biànlì|1&#9;to traverse 2&#9;to travel throughout 3&#9;(math.) ergodic
格子|gézi|NOUN squares formed by crossed lines; check; chequer
