磁极|cíjí|NOUN magnetic pole
冤屈|yuānqū|NOUN wrongful treatment; injustice &#33945;&#21463;&#20900;&#23624; m&#233;ngsh&#242;u yu&#257;nq&#363; be wronged; suffer an injustice &#27927;&#21047;&#20900;&#23624; x&#464;shu&#257; yu&#257;nq&#36
土丘|tǔqiū|NOUN mound; hillock
梭子|suōzi|NOUN weaver's shuttle NOUN cartridge clip MEASURE WORD a clip (of bullets) &#25171;&#20102;&#19968;&#26797;&#23376;&#23376;&#24377; d&#462; le y&#299; su&#333;zi z&#464;d&#224;n fire a whole clip of a
匣子|xiázi|NOUN 1&#9;small box (or case); casket &#26803;&#22836;&#21283;&#23376; sh&#363;t&#243;u xi&#225;zi hairdressing case; brush and comb holder 2&#9;DIALECT Mauser pistol
丢盔弃甲|diūkuī-qìjiǎ|IDIOM throw away one's helmet and coat of mail; throw away everything in headlong flight route
山寨|shānzhài|NOUN 1&#9;mountain fastness; fortified mountain village 2&#9;HUMOROUS &#8220;bandit&#8221;; copycatting
一笑置之|yīxiào-zhìzhī|IDIOM dismiss with a laugh (or smile); laugh off
猛士|měngshì|NOUN LITERARY brave warrior; valiant fighter
直角|zhíjiǎo|NOUN MATHEMATICS right angle
唬人|hǔrén|1&#9;to scare people 2&#9;to bluff 3&#9;to deceive
顶撞|dǐngzhuàng|VERB contradict (one's elder or superior); defy &#39030;&#25758;&#29238;&#27597; d&#464;ngzhu&#224;ng f&#249;m&#468; contradict one&#8217;s parents
图标|túbiāo|1&#9;graphic symbol 2&#9;(computing) icon
油水|yóushui|NOUN 1&#9;grease &#36825;&#36947;&#33756;&#27833;&#27700;&#22826;&#22823;&#12290; Zh&#232; d&#224;o c&#224;i y&#243;ushui t&#224;i d&#224;. This dish is too greasy. 2&#9;pickings; profit &#27833;&#277
癫痫|diānxián|NOUN MEDICINE epilepsy
