代わり番|かわりばん|alternating, taking turns
槍玉に挙げる|やりだまにあげる|1. to make an example of, to make a victim of, to hold up someone (something) to ridicule, to single out someone for criticism / 2. to pierce with a spear
無双|むそう|1. peerless, unparalleled, unparallelled, matchless / 2. mowing down the enemy
藻|も|algae, waterweed, seaweed, duckweed
結果論|けっかろん|hindsight-based opinion
脾臓|ひぞう|1. spleen / 2. 脾臟 / 3. 脾脏
万来|ばんらい|many guests
アメフト||1. American football / 2. 美式橄欖球
病理|びょうり|1. pathology / 2. 病理
桑原桑原|くわばらくわばら|knock on wood, touch wood, heaven forbid, God help me, absit omen!
本懐|ほんかい|one's long-cherished desire
前哨戦|ぜんしょうせん|1. (preliminary) skirmish / 2. prelude, preliminary encounter, warm-up match (e.g. before a final)
沸点|ふってん|1. boiling point / 2. 沸點
怒り肩|いかりがた|square shoulders
実演|じつえん|1. demonstration, presentation / 2. to demonstrate, to present / 3. stage show, performance / 4. to perform
静観|せいかん|watchful waiting, careful supervision
溜飲が下がる|りゅういんがさがる|to feel relieved, to feel satisfied
新味|しんみ|fresh taste, novelty, originality, freshness
有線|ゆうせん|1. wired, cabled / 2. communication by wire
河川敷|かせんじき|flood plain, river terrace, riverside area, area between river and river bank
替え歌|かえうた|parody (of a song), new lyrics to an old melody, song parody
ハイタッチ||1. high five / 2. 举手击掌
善行|ぜんこう|good deed, good conduct, benevolence
巻尺|まきじゃく|tape measure
恐慌|きょうこう|1. panic, scare, alarm / 2. panic, financial panic / 3. 恐慌
眼中|がんちゅう|1. (one's) consideration, (taking) notice, interest, attention / 2. within the eye
諂い|へつらい|flattery
溜飲を下げる|りゅういんをさげる|to satisfy oneself (by doing), to find relief (in doing)
健在|けんざい|in good health, alive and well, going strong
手指消毒|しゅししょうどく|hand sanitization
横倒し|よこだおし|falling over, toppling sideways
ちんちくりん||1. short (in height), stumpy, tiny / 2. short (trousers, etc.), undersized
世界恐慌|せかいきょうこう|1. worldwide financial crisis, global depression / 2. 大蕭條
とろろ昆布|とろろこんぶ|1. shredded kombu / 2. Kjellmaniella gyrata (species of kelp)
養生|ようじょう|1. taking care of one's health / 2. recuperation / 3. covering (with a protective material), coating / 4. curing (concrete)
溶媒|ようばい|1. solvent / 2. 溶劑 / 3. 溶剂
恒星|こうせい|1. star / 2. 恆星 / 3. 星, 星星
斡旋|あっせん|1. good offices, kind offices, services, influence, recommendation / 2. mediation, intercession, conciliation, acting as a go-between / 3. to mediate, to intercede, to conciliate
じゃれ合う|じゃれあう|to frolic about, to mess around
犬も食わない|いぬもくわない|avoided by everybody, disliked by everybody, not even a dog will eat (it)
諳んじる|そらんじる|to memorize, to memorise, to recite from memory
