空爆|くうばく|aerial bombing
忌まわしい|いまわしい|1. abhorrent, abominable, detestable, disgusting, horrid, repugnant / 2. ominous, inauspicious, unlucky / 3. 憎惡, 可惡, 討厭 / 4. 灾难的
剣聖|けんせい|master swordsman
過熱|かねつ|1. superheating, overheating / 2. to overheat
すげ替える|すげかえる|1. to exchange, to replace / 2. to shift personnel, to replace one person with another
偽札|にせさつ|counterfeit (paper) money, counterfeit bill, counterfeit note
ずけずけ||(speak) bluntly, frankly
提携先|ていけいさき|business partner
捩る|もじる|1. to parody, to make a parody of, to pun (on) / 2. to twist, to distort
夫婦喧嘩は犬も食わない|ふうふげんかはいぬもくわない|one should not get involved in a marital quarrel
加虐|かぎゃく|1. causing pain, sadism / 2. to inflict pain
果報|かほう|1. good fortune, luck, happiness / 2. vipaka (retribution)
采配|さいはい|1. baton (of command) / 2. order, command, direction
肝いり|きもいり|1. good offices, auspices, sponsorship, help, assistance / 2. village official (during the Edo period)
ヤケ酒|やけざけ|drowning one's cares in drink, drinking in desperation
こじつけ||distortion, stretch, strained interpretation, technicality, casuistry, sophistry
山札|やまふだ|1. deck (from which players draw cards), draw pile, stock / 2. tag verifying one has permission to take plants and trees from common land (Edo period)
切り抜ける|きりぬける|1. to cut one's way through, to fight one's way through (the enemy) / 2. to get over, to come through, to overcome (a difficulty)
製油所|せいゆじょ|1. oil refinery / 2. 煉油廠
がちんこ||competing in earnest (esp. in sumo)
アポ||1. appointment / 2. 約會
直筆|じきひつ|one's own handwriting, autograph
置きに|おきに|every ..., every other ..., at intervals of ..., with ... in between, ... apart
鬣|たてがみ|1. mane (of a horse, lion, etc.) / 2. 馬鬃 / 3. 獅子的鬃毛, 獅鬣
試運転|しうんてん|trial run, test run
水炊き|みずたき|food (esp. chicken and vegetables) boiled in plain water (or sometimes dashi, etc.) and served with dipping sauce (esp. ponzu)
ぞっこん||1. madly in love, completely charmed (by), head over heels (for) / 2. from the heart, entirely, completely / 3. bottom of one's heart
ギャン泣き|ギャンなき|screaming fit (of a baby), tantrum, crying hysterically
ド田舎|どいなか|remote countryside, boondocks, the sticks, middle of nowhere
放熱|ほうねつ|1. radiant heat, heat radiation, heat dissipation, thermolysis / 2. to radiate heat, to dissipate heat
入用|にゅうよう|1. need, want, necessity, requirement / 2. expenses, cost
継ぎ足し|つぎたし|addition, extension, elongation
ゼネスト||general strike
一望|いちぼう|1. one sweep (of the eye), sweeping view, unbroken view / 2. to overlook
端脚類|たんきゃくるい|amphipods
家風|かふう|1. family tradition / 2. wind blowing from the direction of one's home
戯け|たわけ|1. tomfoolery, foolish act, nonsense / 2. fool, idiot / 3. 笨蛋, 蠢貨, 蠢人, 呆子, 傻瓜, 傻子, 愚人
長広舌を振るう|ちょうこうぜつをふるう|to make a long-winded speech, to give a long talk
風化|ふうか|1. weathering / 2. fading (of memories) / 3. to fade / 4. efflorescence
髄膜炎|ずいまくえん|1. meningitis / 2. 腦膜炎 / 3. 脑膜炎
