気の置けない|きの おけない|"Easy to be with" / "Comfortable (without reserve)" / "Trustworthy"
Nuance
気の置けな
当地からは遠隔で不便との理由で患者さん自身が受診を希望しない場合が多い。|とうちからは えんかくで ふべんとの りゆうで かんじゃさん じしんが じゅしんを きぼうしない ばあいが おおい|Patients often don't want to come in for their examination because they are far 
小林は何か心配事があるのか、青い顔をして、こちらを一瞥だにしなかった。|こばやしは なにか しんぱいごとがあるのか あおい かおをしてこちらを いちべつだにしなかった|Kobayashi looked pale and didn't even cast a glance in my direction, seeming as 
彼はなんと気の早いことに、高校1年にして大学受験日記をつけ始めた。|かれはなんと きの はやいことに こうこう  ねんにして だいがく じゅけん にっきをつけ はじめた|He's in such a hurry! He started to keep a journal for college entrance examinat
本学学長の選挙資格者は、選挙公示の日における学長並びに専任の教授、准教授及び講師とする。|ほんがく がくちょうの せんきょ しかく しゃは せんきょ こうじの ひにおける がくちょう ならびに せんにんの きょうじゅ じゅんきょうじゅ および こうしとする|Those who are qualified to be a candidate for president of this college are thos
その記事は8回にわたって新聞に連載された。|その きじは  かいにわたって しんぶんに れんさいされた|The articles appeared serially in the newspaper over eight issues (lit., extendi
彼は飲むなどというものではない。|かれは のむなどというものではない|He drinks so much.
この猛暑の中、友人は避暑地で休日を楽しんでいるとは、思うだにうらやましい。|この もうしょの なか ゆうじんは ひしょちで きゅうじつを たのしんでいるとは おもうだにうらやましい|It makes me envious just to think that my friend is enjoying her holiday at a su
下手に上司につっかからない方がいい。|へたに じょうしにつっかからない ほうがいい|You shouldn't lash out at your boss.
米国議会は上院と下院よりなる。|べいこく ぎかいは じょういんと かいんよりなる|The U.S. Congress consists of the Senate and the House or Representatives.
何事につけても熱中すると他のことが見えなくなる。|なにごとにつけても ねっちゅうすると たのことが みえなくなる|No matter what it is, when you get engrossed in one thing, you become blind to e
彼は私の部屋の入り口に突っ立ったなりでニヤニヤ笑っていた。|かれは わたしの へやの りいりくちに つっ たったなりで わらっていた|My sweetheart stood at the entrance to my room, grinning.
音を立ててスープを飲むやら口にものを入れたまま話すやら、直樹のテーブルマナーはひどかった。|おとを たててを のむやら くちにものを いれたまま はなすやら なおきのはひどかった|Naoki did things like slurping his soup and talking with food in his mouth―his t
ばかりか [ばかりか]  Meaning: not just, but also Example: not just people, but also pets can go to the spa nowadays|ばかりかばかりか|ばかりか [ばかりか]  Meaning: not just, but also Example: not just people, but also pets
結果にこだわりすぎる故、小さなことに心を奪われることになる。|けっかにこだわりすぎる ゆえ ちいさなことに こころを うばわれることになる|Because you want the end result to be perfect, you end up being distracted by li
皇室に待望の男の子が生まれて喜ばしいことこの上ない。|こうしつに たいぼうの のおとこのこが うまれて よろこばしいことこの うえない|We are extremely happy that the royal family had a baby boy, (an occasion) every
半導体市場は95年以来の二桁成長が予測されている。|はんどうたい しじょうは  ねん いらいの けた せいちょうが よそくされている|Two-digit growth is predicted in the semiconductor market for the first time sin
彼の顔は青黒くむくみ、見るからに健康を害していた。|かれの かおは あおぐろくむくみ みるからに けんこうを がいしていた|His face was pale, dark and swollen. You could tell just by looking at him that 
両親が甘かったばかりに子供たちは自立心がない。|りょうしんが うまかったばかりに こどもたちは じりつしんがない|Those children don't have a sense of independence just because they are spoiled 
光陰矢のごとし。|こういん やのごとし|Time flies like an arrow / Life is short (expression)
平凡でつまらないかのようにみえる彼らの人生とて起伏がないわけではない。|へいぼんでつまらないかのようにみえる かれらの じんせいとて きふくがないわけではない|Their life, which looks as if it were ordinary and boring, is not without its up
今年から修学旅行先が北海道になり、飛行機で行くともなると、胸を躍らさずにはいられなかった。|ことしから しゅうがく りょこうさきが ほっかいどうになり ひこうきで いくともなると むねを おどらさずにはいられなかった|Starting this year, we're going to Hokkaido for our school trip, and the thought
彼の演奏はおそまつで聴けたものではない。|かれの えんそうはおそまつで きけたものではない|His performance is so awful, it isn't worth listening to (it).
私はパーティーなどの集まりでは、どちらかと言うと、話役ではなく、聞き役の方だ。|わたしはなどの あつまりではどちらかと いうと はなし やくではなく きききやくの ほうだ|At parties or other gatherings I am more of a listener than a speaker.
深刻化する少年犯罪が連日のように報道されている中、厳罰主義化更生重視かをめぐって社会の対応が揺れている。|しんこくかする しょうねんはんざいが れんじつのように ほうどうされている なか げんばつ しゅぎ か こうせい じゅうしかをめぐって しゃかいの たいおうが ゆれている|While there are reports almost every day on juvenile crime, which is becoming mo
小池氏はメディアから批判されるや否や、手のひらを返すように音見を変えた。|こいけ しはから ひはんされるや いなや てのひらを かえすように おと みを かえた|No sooner was he criticized by the media than Mr. Koike abruptly (lit., as if he
その政治家は志操堅固にして、高潔清廉な人だった。|その せいじかは しそうけんごにして こうけつ せいれんな ひとだった|The politician was a man of principle, purity and nobility.
私が余計なことを言ったことから議論が紛糾した。|わたしが よけいなことを いったことから ぎろんが ふんきゅうした|The discussion became complicated because I said something uncalled for.
田宮先生は大学の政治的なことにはおよそ縁遠い人だった。|たみや せんせいは だいがくの せいじ てきなことにはおよそ えんどおい ひとだった|Professor Tamiya was totally removed from university politics.
I good translation I use isにかかわらず - Regardless ofにもかかわらず - In spite of雨にもかかわらず出かけました。 Similar to なのにIn spite of the rain, I went out.曜日にかかわらず入ることができます。 Similar to を問わずRegardless of which day it is, you can enter.|にかかわらず  にもかかわらず    うにもかかわらず でかけました  なのに         ようびにかかわらず はいることができます  を とわず|I good translation I use isにかかわらず - Regardless ofにもかかわらず - In spite of雨にもかかわらず出か
今年は大学創立から250年に当たることから、盛大な記念祝典が開かれた。|ことしは だいがく そうりつから  ねんに あたることから せいだいな きねん しゅくてんが ひらかれた|Because it is the 250th year since the founding of the college, there was a magn
彼女は重度の身体障害をものともせず、自分の人生をつかみった。|かのじょは じゅうどの しんたいしょうがいをものともせず じぶんの じんせいをつかみった|Despite severe physical handicaps, she took charge of her own life.
浄水器は濾過の過程で塩素をすべて取り去ってしまうため、濾過した瞬間から水は腐敗の危険にさらされる。さらに心配なことに、濾過材に残った水から大量に細菌が繁殖するといった問題が報道された。|じょうすいきは ろかの かていで えんそをすべて りとりさってしまうため ろかした しゅんかんから みずは ふはいの きけんにさらされるさらに しんぱいなことに ろか ざいに のこった みずから たいりょうに さいきんが はんしょくするといった もんだいが ほうどうされた|Because water purifiers remove all the chlorine in the purification process, fro
絶望的な戦いの中、貴君の師団が善戦したことは高く評価されている。|ぜつぼうてきな たたかいの なか きくんの しだんが ぜんせんしたことは たかく ひょうかされている|Your division was highly praised for fighting well in the midst of a hopeless co
親といえども子供に対してそんな横暴は許されない。|おやといえども こどもに たいしてそんな おうぼうは ゆるされない|Even parents shouldn't be allowed to exercise such tyranny over their children.
彼女は聴く者を魅了せずにはおかない音楽性とそれを表現する卓越した技術を持っている。|かのじょは きく ものを みりょうせずにはおかない おんがくせいとそれを ひょうげんする たくえつした ぎじゅつを もっている|She has a musicality that unfailingly captivates her audiences and the superb te
機動隊はデモ隊に向けて催涙弾を発射した。|きどうたいは でもたいに むけて さいるいだんを はっしゃした|The riot police shot tear gas bombs at the ranks of demonstrators.
王は君臨すれども統治せず。|おうは くんりんすれども とうちせず|The (British) sovereign reigns, but does not rule.
隆志は給料がどうの待遇がどうのと不平が多い。|たかしは きゅうりょうがどうの たいぐうがどうのと ふへいが おおい|Takashi complains a lot about his work conditions: his salary, the way he's trea
ヤンキースとレッドソックスはほぼ互角といったところだ。|とはほぼ ごかくといったところだ|I'd say that the Yankees and the Red Sox are even.
自衛隊派遣の是非をめぐって激しい議論が交わされた。|じえいたいはけんの ぜひをめぐって はげしい ぎろんが かわされた|There were fierce arguments over the pros and cons of dispatching the Self-Defen
機動隊が学生に襲いかかった。|きどうたいが がくせいに おそいかかった|The riot police attacked the students together.
死なんとする者は本音を吐くものだ。|しなんとする ものは ほんねを はくものだ|A person who is about to die gives vent to his true feelings.
背丈は普通でした。|せたけは ふつうでした|The man was of normal height
彼女は一緒に行くの行かぬのといつまでも煮え切らない。|かのじょは いっしょに いくの いかぬのといつまでも にえ きらない|She can never decide whether she is going with me or not.
なまじっか財産など持っていたら、最低の人間になってしまうのではないかと思う。|なまじっか ざいさんなど もっていたら さいていの にんげんになってしまうのではないかと おもう|I think that we turn into the worst people with just a bit of wealth.
湯沸かし器の設定温度は、目的に応じてその都度調節するのが賢い使い方だ|かしゆわかしきの せってい おんどは もくてきに おうじてその つど ちょうせつするのが かしこい いつかいかただ|A wise way of using a water heater is to adjust the (preset) temperature each ti
過度の恐怖や心労は一夜にして白髪をつくる。|かどの きょうふや しんろうは いちやにして はくはつをつくる|Excessive fear and worry will make your hair turn gray overnight.
より進んだ経営革新を行うためには、マネジメントシステム運用時の無駄を省くべく、システム間の重複をなくすことが重要である。|より すすんだ けいえい かくしんを おこなうためには うんよう じの むだを はぶくべく かんの じゅうふくをなくすことが じゅうようである|In order to engage in management innovation that is more advanced, it is importa
いまさら言うまでもなく、地球の温暖化は生態系に悪影響をもたらしている。|いまさら いうまでもなく ちきゅうの おんだんかは せいたいけいに あくえいきょうをもたらしている|It's obvious now, but global warming is having an adverse effect on the ecosyste
虚偽だとは言わないまでも、かなり紛らわしい表現だ。|きょぎだとは いわないまでもかなり まぎらわしい ひょうげんだ|I can't go so far as to call this wording deceptive, but it sure is misleading.
かりそめにもそんな心を起こしてはならない|かりそめにもそんな こころを おこしてはならない|Not for a moment must you think of doing anything like that
なまじっか政治に手を出すのはやめた方がよい。|なまじっか せいじに てを だすのはやめた ほうがよい|You'd better not get involved in politics halfheartedly.
彼には教職の経験が無かったが、やみくもにこの世界に飛び込んだ|かれには きょうしょくの けいけんが なかったがやみくもにこの せかいに びとびこんだ|He'd had no experience of teaching, but he plunged in nonetheless
情報リスクマネジメントという視点で、ビジネスの根幹をなす情報システムを評価･管理することが必須だ。|じょうほうという してんでの こんかんをなす じょうほうしすてむを ひょうか かんりすることが ひっすだ|From the viewpoint of risk management, it is essential to assess and manage the 
発表当時、彼の文献学的方法論は否定的評価を受けたが、彼の信念は微動だにしなかった。|はっぴょう とうじ かれの ぶんけんがく てき ほうほうろんは ひていてき ひょうかを うけたが かれの しんねんは びどうだにしなかった|His philological method received negative reviews at the time it was published, 
15キロオーバーだったが、幸い警告だけで済んだ。|だったが さいわい けいこくだけで すんだ|It was 15 km/hr above (the speed limit), but fortunately I got off with just a w
日の丸がはためいていた|のひのまるがはためいていた|Japanese flags were flying
吉川さんは勤務先の斡旋によらず別の会社に再就職した。|よしかわさんは きんむさきの あっせんによらず べつの かいしゃに さいしゅうしょくした|Mr. Yoshikawa was eployed by another company without his former employer's help 
こういうスーツを持っていれば冠婚葬祭の折に着るものを心配しなくてもいい。|こういうを もっていれば かんこんそうさいの おりに きるものを しんぱいしなくてもいい|If you have a suit like this, you don't have to worry what to wear for (lit., on
ごとく　＝　～ようにごとき　＝　～ようなごとし　＝　～ようだ|ごとくようにごときようなごとしようだ|grammar breaks down the same way
ここを根拠地となす。|ここを こんきょちとなす|They make this place a base of operation.
我が社は新製品を開発する一方で、多岐にわたる現在のモデルを少数に統合する計画だ。|がわがしゃは しんせいひんを かいはつする いっぽうで たきにわたる げんざいのを しょうすうに とうごうする けいかくだ|At our company we plan to consolidate our present broad range of models into onl
修士論文の題目をどのように決めたものか迷っています。|しゅうしろんぶんの だいもくをどのように きめたものか まよっています|I am at a loss as to how I should choose my MA thesis topic.
母は女手ひとつで子供五人を育てた。|ははは おんなでひとつで こども にんを そだてた|My mother brought up five kids all by herself.
俺の手首を掴んできた。 驚いて思わずビクンと体がすくんでしまった…|おれの てくびを つかんできた おどろいて おもわずと からだがすくんでしまった|She held onto my wrist. Suprised and without thinking body cowered / cramped awa
殺人現場は再三にわたって捜査が行われた。|さつじんげんばは さいさんにわたって そうさが おこなわれた|The murder site was searched many times
総会の議決は会員の過半数を以って決定される。但し、規定改定はこの限りではない。|そうかいの ぎけつは かいいんの かはんすうを もって けっていされる ただし きてい かいていはこの かぎりではない|Decisions at the general meeting are passed by a majority of the members. Howeve
待てど暮らせど彼女から返事が来なかった。|まてど くらせど かのじょから へんじが こなかった|Though I waited for so long, no reply came from her.
ここは紅葉が始まると訪れる人が増え始め、11月半ばともなると大勢の人でごったがえす。|ここは こうようが はじまると おとずれる ひとが ふえ はじめ  つきなかばともなると たいせいの ひとでごったがえす|When the leaves begin turning red, the number of visitors starts to increase, an
人間一人の知恵などたかが知れている。|にんげん にんの ちえなどたかが しれている|One person's wisdom doesn't amount to much.
この薬は胎児に有害である恐れがある。|この くすりは たいじに ゆうがいである おそれがある|This drug may be harmful to emryos.
この会社の年間取引額はおよそどのくらいですか。|この かいしゃの ねんかん とりひき がくはおよそどのくらいですか|Approximately what is the volume of this company's annual business?
なまじの学問は、ひけらかすと人に軽蔑される。|なまじの がくもんはひけらかすと ひとに けいべつされる|People disdain those who shows off (their scant knowledge) but are uneducated
父はいかなる事態になっても常に沈着だった。|ちちはいかなる じたいになっても つねに ちんちゃくだった|My father was always calm no matter what situation he found himself in.
経済界の大御所にご助力を願った。|けいざいかいの おおごしょにご じょりょくを ねがった|We asked for assistance from a powerful figure in the financial world.
完全に男女平等な社会が来るのは困るというのも、あながち偽った気持ちではない。|かんぜんに だんじょ びょうどうな しゃかいが くるのは こまるというのもあながち いつわった きもちではない|It wouldn't be a total lie for me to say I would have difficulty with a society 
彼の食べ方は本当においしそうだ。|かれの べたべかたは ほんとうにおいしそうだ|The way he eats makes it look as though the food tastes really good.
燃費から言ってこの車は非常に経済的だ。|ねんぴから いってこの くるまは ひじょうに けいざいてきだ|In terms of gas mileage, this car is extremely economical.
専門家でない者を排除せんとする科学者の過剰防衛には辟易させられる。|せんもんかでない ものを はいじょせんとする かがくしゃの かじょうぼうえいには へきえきさせられる|I am fed up with overprotective scientists (lit., the overprotection of scientis
ファッション写真は、1930年代までは、言わば「新参者」の分野と見られていたらしい。|しゃしんは  ねんだいまでは いわば しんざんものの ぶんやと みられていたらしい|Up to the 1930s, fashion photography was apparently considered a "newcomer" fiel
懇親会にご出席の由、吉本君から連絡を受けました。|こんしんかいにご しゅっせきの ゆかり よしもと くんから れんらくを うけました|I heard from Mr. Yoshimoto that you will be attending the reception.
近くにお越しの節はお電話下さい。|ちかくにお こしの ふしはお でんわ ください|Please give me a call when you are (lit., come) nearby.
てならないー＊This expression is meant to describe insurmountable psychological or physiological feelings.・If the preceding adjective does not describe psychological or physiological feelings, ならない cannot be used. Also, there are a couple of adjectives describing psychological or physiological feelings that cannot be used; they are merely exceptions. For example: 痛い、嫌い、好き.|てならない                      ならない                          いたい きらい すき|てならないー＊This expression is meant to describe insurmountable psychological or phys
社員一同の努力のかいがあって一時低調だった会社も上向きになった。|しゃいん いちどうの どりょくのかいがあって いちじ ていちょうだった かいしゃも うわむきになった|The combined efforts of the company employees paid off, and the company, which h
思えば心筋梗塞の前兆はあった。|おもえば しんきんこうそくの ぜんちょうはあった|Come to think of it, there were warning signs of a cardiac seizure.
その青年は見るからに聡明そうだった。|その せいねんは みるからに そうめいそうだった|Youcould tell just by looking that the young man was intelligent.
スカイダイビングがここスペインで楽しめるとあっては、挑戦してみない手はない。|がここで たのしめるとあっては ちょうせんしてみない てはない|It it's true that we can enjoy skydiving here is Spain, there's no reason not to
彼は敬虔なイスラム教徒だったものの、ドイツ国内のイスラム主義団体との交流はなかった。|かれは けいけんな いすらむきょうとだったものの こくないの いすらむしゅぎ だんたいとの こうりゅうはなかった|Although he was a devout Muslim, he had no connection with Islamic groups in Ger
あの教師は学生が何を考えているかまるで意に介していないかのように見える。|あの きょうしは がくせいが なにを かんがえているかまるで いに かいしていないかのように みえる|The instructor looks as if he didn't care at all about what his students are thi
「車は走る凶器」「飲んだら乗るな」の掛け声も、事故の実態からして死語同然となっている。|くるまは はしる きょうき のんだら のるなの けかけごえも じこの じったいからして しご どうぜんとなっている|Judging from the reality of car accidents, slogans like "A car is a running weap
二人きりになった時にガールフレンドにさんざんなじられた。|ふたりきりになった ときににさんざんなじられた|When we were alone, my girlfriend&nbsp;&nbsp;berated me endlessly.
天性の才能を持ち合わせているといえども、絶え間ない努力と訓練なくして今日の彼女はなかった。|てんせいの さいのうを ちもちあわせているといえども えたえまない どりょくと くんれんなくして きょうの かのじょはなかった|Although she has God-given talents, she couldn't be what she is now without her 
虚言を吐くべからず。|きょげんを はくべからず|Don't tell a lie.
好きな文芸の道と経営者としての責任の間で、多才な彼が苦悩していたことは想像にかたくない。|すきな ぶんげいの みちと けいえいしゃとしての せきにんの まで たさいな かれが くのうしていたことは そうぞうにかたくない|It isn't hard to imagine that a man of his versatile talents struggled (to choos
毎日１キロ以上水泳をしてきただけのことはあって、彼は９０歳の今もかくしゃくとしている。|まいにち いじょう すいえいをしてきただけのことはあって かれは さいの いまもかくしゃくとしている|He has been swimming more than 1 kilometer every day. No wonder he is still in s
親友であればこそ君にこんなにずけずけとものが言えるんだよ。|しんゆうであればこそ くんにこんなにずけずけとものが いえるんだよ|It is precisely because I'm your close friend that I can talk straight to you li
本プロジェクトでは、言語による情報伝達と、韻律や動作、表情など、言語以外の要素との関係を中心に研究を行った。|ほんでは げんごによる じょうほうでんたつと いんりつや どうさ ひょうじょうなど げんご いがいの ようそとの かんけいを ちゅうしんに けんきゅうを おこなった|In this project we examined primarily the interrelationship between language-bas
日本人のホストファミリーと私は日本語で何不便なく意思疎通ができた。|にっぽんじんのと わたしは にほんごで なに ふべんなく いしそつうができた|My Japanese host family and I were able to communicate in Japanese without any i
悪人さえも往生するのなら、まして善人はなおさらだ。|あくにんさえも おうじょうするのならまして ぜんにんはなおさらだ|If even a bad person can go to heaven, then a good person has an even better cha
チンさんを先生として。。If it was chin san HA sensei toshite that would imply that he did something as a teacher. If it is chin san WO sensei toshite, that means that something happened WITH him as the teacher, not necessarily because he was or acted like a teacher|さんを せんせいとして|チンさんを先生として。。If it was chin san HA sensei toshite that would imply that he did so
この監督の映画はすべて陰鬱にして物悲しい。|この かんとくの えいがはすべて いんうつにして ものがなしい|All of this director's films are gloomy and sad.
日本の神社は拝殿と本田とからなっている。|にっぽんの じんじゃは はいでんと ほんだとからなっている|A Japanese Shinto shrine consists of a front shrine and an inner shrine.
世が世なら、こんな情けない生活はしなくても済んだのに。|よが よならこんな なさけない せいかつはしなくても すんだのに|If I were living in a really good time, I wouldn't need to live such a miserable
外食は飽きたし自分で料理するのも億劫だ。と言って、何も食べずにいるというわけにもいかない。|がいしょくは あきたし じぶんで りょうりするのも おっくうだと いって なにも たべずにいるというわけにもいかない|I've gotten tired of eating out, and cooking for myself is tiresome, too. But, I
向寒の折から、どうかお体にお気をつけ下さい。|こうかんの おりからどうかお からだにお きをつけ ください|It's getting cold, so please take good care of yourself.
刑事は男が横を向いた瞬間に飛びついた。|けいじは おとこが よこを むいた しゅんかんに とびついた|The detective jumped on the man the moment he turned away.
犬じゃあるまいし、そんなに人にじゃれるようなことはやめなさい。|いぬじゃあるまいしそんなに ひとにじゃれるようなことはやめなさい|You aren't a dog, you know. Stop being so playful with me.
私は家に帰るなり目眩がして玄関にしゃがみこんでしまった。|わたしは いえに かえるなり めまいがして げんかんにしゃがみこんでしまった|The moment I returned home, I felt dizzy and squatted on my heels in the entranc
1986年から90年代初めにかけてのいわゆる「バブル経済」の時代には土地や株が高騰した。|ねんから  ねんだい はじめにかけてのいわゆる ばぶるけいざいの じだいには とちや かぶが こうとうした|During the so-called "bubble economy," from 1986 through the early 90's, land an
ただ一人の肉親に死なれた。|ただ にんの にくしんに しなれた|My only relative died (and I suffered).
川辺博士にはがん治療について、及び患者の精神療法についての著述がある。|かわべ はかせにはがん ちりょうについて および かんじゃの せいしんりょうほうについての ちょじゅつがある|Dr. Kawabe has written books on cancer treatment and on the psychological therap
本品は1回50mg（2錠）を1日1回就寝前、ないしは1日2回、朝及び就寝前に経口服用して下さい。|ほんぴんは  かい    じょうを  にち  かい しゅうしんぜんないしは  にち  かい あさ および しゅうしんぜんに けいこう ふくようして ください|Take 50 mg (two tablets) (of this product) orally (either) once a day before goi
つらつら思うに、カラオケは平気で歌える人と絶対歌えない人にはっきり分かれるものらしい。|つらつら おもうには へいきで うたえる ひとと ぜったい うたえない ひとにはっきり わかれるものらしい|Upon careful consideration, I've come to the conclusion that karaoke distinctly 
あの「自分はさもワインの通ですよ」って感じの戸田の話し方はまったく嫌みだ。|あの じぶんはさもの つうですよって かんじの とだの しはなしかたはまったく いやみだ|Toda's way of talking (lit., That way Toda has of talking), as if he knew everyt
現在日本の政党は乱立しているが、将来あるいはアメリカのように二大政党になるかもしれない。|げんざい にっぽんの せいとうは らんりつしているが しょうらいあるいはのように にだいせいとうになるかもしれない|Right now there are too many political parties in Japan, but in the future, perh
彼はアリバイが成立しなかったことから犯行の嫌疑がかかった。|かれはが せいりつしなかったことから はんこうの けんぎがかかった|Because (lit., from the fact that) he couldn't establish an alibi, he was suspec
私は大きな借金をかかえて途方にくれていました。そんな折に彼から電話があったのです。|わたしは おおきな しゃっきんをかかえて とほうにくれていましたそんな おりに かれから でんわがあったのです|I was saddled with debt and didn't know what to do. On that occasion, there was 
Ｖない + ではいられない＊Verbs only! This grammar uses negatives twice to express a very strong positive meaning. For example, "I can't NOT drink."|ぶいないではいられない|Ｖない + ではいられない＊Verbs only! This grammar uses negatives twice to express a very st
日本最高峰の富士山は、毎年夏の登山シーズンになると約20万人が山頂を目指す。登山者が長蛇の列をつくる光景は富士山ならでは見られないものである。|にっぽん さいこうほうの ふじさんは まいとし なつの とざんになると やく  まん にんが さんちょうを めざす とざんしゃが のちょうだのれつをつくる こうけいは ふじさんならでは みられないものである|In the summer climbing season every year, roughly 200,000 people aim for the sum
まさに輝かんとする月が雲で隠れた。|まさに かがやかんとする つきが くもで かくれた|The moon, which was just about to shine, was concealed by the clouds.
全身にわたって発疹が出た。|ぜんしんにわたって はっしんが でた|I had a rash all ober my body.
彼はその恋を自身の最後の恋と感じて、周囲の警告をよそにのめり込んでいった。|かれはその こいを じしんの さいごの こいと かんじて しゅういの けいこくをよそにのめり こんでいった|Feeling that it would be his last chance for love, he ignored the warnings of th
善意で何事かを行わんとすると、必ずそれに水を差す人間がいる。|ぜんいで なにごとかを おこなわんとすると かならずそれに みずを さす にんげんがいる|Whenever someone tries to do something with good intentions, inevitably there is
アメリカに住んでいるからには郷に入っては郷に従えで、批判ばっかりしていたって仕方がない。|に すんでいるからには さとに はいっては さとに したがえで ひはんばっかりしていたって しかたがない|As long as you are living in the U.S., do as the Americans do; it won't help if 
息子は父から受け継いだ作風で作品を描いていたが、すでにその父にしてからが、古くさいと言われていた。|むすこは ちちから けうけついだ さくふうで さくひんを えがいていたがすでにその ちちにしてからが ふるくさいと いわれていた|He produced paintings in the mode he inherited from his father, but that style w
