不可逆|ふかぎゃく|irreversible
高次導関数|こうじ どうかんすう|higher order derivative
品目|ひんもく|item, commodity, list of articlesこれらの品目は入手がかなり困難だ。These items are rather hard to
岐阜県|ぎふけん|Gifu-ken
幅広い|はばひろい|wide, broad
蔵書|ぞうしょ|Library / A collection of books
～ときたら　Grammar|ときたら|～のことを言えば / Speaking of something -- Always follows with something negative
彼とは長年家族ぐるみの付き合いをしている。|かれとは ながねん かぞくぐるみの きつきあいをしている|He and I have been good friends for a long time and so have our families (家族全員)
試合に負けて彼はグランドに跪いた|しあいに まけて かれはに ひざまずいた|After losing the match, he fell to his knees on the pitch
置き石|きおきいし|Garden stone
御許|みもと|his or her presence (very honourable)
有刺鉄線 / 荊棘線|ゆうしてっせん ばらせん|Barbed wire
国是|こくぜ|"National policy" or "Fundamental principle of the nation"
Nuance
国是 refers to t
もっぱらのうわさだ|もっぱらのうわさだ|Everybody says... / is saying ...
ピエロ||Clown
得体の知れない|えたいの しれない|strange; unfamiliar; mysterious; suspicious
退行|たいこう|retrogression, regression
別離|べつり|"separation," "parting," or "farewell"—often permanent or emotionally significan
屈託|くったく|worry, care, concern
興信所|こうしんじょ|detective agency
お相子|お あいこ|quits, even, square
経済学科|けいざい がっか|department of economics
養護学校|ようごがっこう|School for the handicapped
暦|こよみ|Calendar / Almanac
絶版|ぜっぱん|Out of print
就労する|しゅうろうする|Set to work / Be employed
妄信|もうしん|Blind acceptance / Blind belief
一目瞭然|いちもくりょうぜん|Apparent / Obvious / Very clear (that lower case only passwords are bad)
拠出|きょしゅつ|金品を出し合うことDonation / Contribution
荷が重い|にが おもい|To bear a lot of responsibility
桶|おけ|A Bucket
生爪|なまづめ|fingernail
鐘楼|しゅろう|bell tower
出し物|だし もの|1. program (e.g. theatre, theater), programme2. (theatrical) piece, number, perf
気を引く|きを ひく|To attract attention; to win someone’s interest; to appeal to someone.
Nuance: O
排便|はいべん|defecation
変わり種|かわり だね|1. something out of the ordinary, variant, variety, exception, novelty2. person 
明星|みょうじょう|1. morning star, Venus2. preeminent person (within their own field), star (of th
高次言語|こうじげんご|metalanguage
謗る|そしる|to slander, to libel, to criticize, to criticise
果たして|はたして|Really / 本当に / Just as one thought (expected)
引き上げる|きひきあげる|Pull up / salvage
忍び返し|びしのびがえし|Spike (around a building keeping it safe, for example)
ゆるり|ゆるり|Leisurely / Relaxedly / Taking ones time
