実質的|じっしつてき|Substantial
枠組み|わくぐみ|Frame / Framework
瓜二つ|うりふたつ|Twin / Carbon copy / like two peas in a pod / very spit and image of
踵を返す|きびすを かえす|To turn back / To return
高等学校|こうとうがっこう|Senior high school (the word 高校 comes from)
ずばり|ずばり|Decidedly / Once and for all / Decisively (getting the mayors password correct o
感服|かんぷく|Admirable
護符|ごふう|Talisman / Amulet / Charm
付き添い|きつきそい|Attendant / Escort / Chaperon
上梓|じょうし|Publication (in a encyclopedia etc) / wood block printing (FF14)
駆り立てる|りかりたてる|To drive (someone to action); to urge on; to impelNuances:This
 verb describes f
魔手|ましゅ|evil influence
河岸|かわぎし|riverbank; riverside; (2) market on the riverbank (esp. fish market)
開豁|かいかつ|open, openminded
鶉|うずら|quail
奸佞邪知|かんねいじゃち|wiles and cunning, craftiness and treachery
力説する|りきせつする|Stress / major emphasis / insistence
舌戦|ぜっせん|Verbal Warfare
発生|はっせい|Outbreak / Incidence
弱音（を吐く）|よわねを はく|To whine / complain
割礼|かつれい|Circumcision (male)
雑菌|ざっきん|Microorganisms
神風|かみかぜ|Kamikaze (divine wind)
基礎代謝|きそたいしゃ|Basal metabolism
赤味|あか み|Reddish
然るべき|しかるべき|適当な。ふさわしい当然である。当たり前だProper / Appropriate / Due / Suitable
質に入れる|しつに いれる|To pawn / pledge (something, the murderers watch!)
突っかかる|つっかかる|To charge / To lunge / To rush
任期|にんき|Ones term of office
熟女|じゅくじょ|Attractive mature lady
異端|いたん|Heresy
骨子|こっし|"essence," "core," or "main point"—the fundamental part or principle of somethin
弾劾|だんがい|Impeachment (ie of the Korean leader)
口ひげ|くちひげ|mustache
摩訶不思議|まかふしぎ|profound mystery
詠む|よむ|to compose (a Japanese poem); to write; to use as the theme of a poem
天命|てんめい|God's will; heaven's decree; mandate of Heaven; fate; karma; destiny
番頭|ばんとう|(head) clerk
病み付き|やみ つき|1. being addicted to; being wholly absorbed by2. falling ill; becoming sick
勝気|かちき|determined spirit; unyielding spirit; will
白い目で見る|しろい めで みる|to look coldly at; to turn a cold shoulder
逢瀬|おうせ|rendezvous, tryst, (lover's) meeting, (secret) date
自ずから|おのずから|naturally, in due course, by itself, of its own accord
宝の持ち腐れ|たからの もち ぐされ|waste of talent / useless possession
ゲレンデ||ski slope
炯々|けいけい|glaring (eyes), piercing, penetrating
立ち寄る|たち よる|to stop by, to drop in for a short visit
戦時下|せんじか|in times of war
砂浜|すなはま|Sandy beach / sands
小児科|しょうにか|Pediatrics
痛くも痒くもない|いたくも かゆくもない|No skin of my noise / No concern at all (idiom)
気を利かせる|きを きかせる|To (take in the situation) and make the smart move / To (consider someones feeli
安否|あんぴ|Safety / Well being
同調|どうちょう|Go along with / Agree with
瓶詰め|びんづめ|Bottling
再臨|さいりん|Second coming / Second advent
慣例|かんれい|Custom / Precedent / Of convention
弓弦|ゆみづる|bowstring
謂れ|いわれ|1. reason; cause2. history; origin
鎮魂歌|ちんこんか|requiem
ピンセット||tweezers, forceps
引っ括る|ひっ くくる|to bundle, to tie up
文様|もんよう|pattern, design
滴|しずく|drop (e.g. of water), drip
怪訝|けげん|Puzzled / Suspicious / Dubious
振り回す|りふりまわす|To brandish / To wave (about) / also &quot;to manipulate someone, abuse ones pow
漁師|りょうし|Fisherman
日光浴|にっこうよく|Sunbathing
祖父の趣味は園芸です|そふの しゅみは えんげいです|My grandfathers hobby is gardening
有利化|ゆうりか|Rationalization
代替地|だいたい ち|Substitute land
互いに気兼ねし合う|たがいに きがねし あう|to feel mutually ill at ease with each other
詰問|きつもん|cross-examination; close questioning; demanding an explanation
はたまた|はたまた|&nbsp;(conj) and; or
軍需|ぐんじゅ|munitions; military stores
講釈|こうしゃく|lecture; exposition
ソッコー||(finishing something) suddenly; abruptly
物証|ぶっしょう|evidence; exhibit
半田|はんだ|"solder," the fusible metal alloy used in electronics and metalwork.Nuance:This 
射的|しゃてき|1. target practice, marksmanship2. target shooting (e.g. at a fair)
靄る|もやる|to become misty, to become hazy
足を崩す|あしを くずす|to sit cross-legged, to sit at ease
指数|しすう|index, index number, exponent (e.g. in floating-point representation), character
遊歩道|ゆうほどう|遊歩のためにつくられた道路
撓わ|たわわ|heavily laden (of a branch), sagging, drooping, bent low
示し合わせる|しめし あわせる|to arrange beforehand, to make a sign to each other, to conspire
針金|はりがね|Wire
もはや|もはや|already, no longer
脳裏|のうり|Ones mind
腑抜け|ふぬけ|Fool / Coward
弱肉強食|じゃくにくきょうしょく|Survival of the fittest
激励|げきれい|Encouragement
労う|ねぎらう|"to show appreciation for efforts," "to reward hard work," or "to honor someone’
退かす|どかす|To remove (the screen Yuffie is hiding behind!)
縞|しま|Stripes (on a shirt etc)
今日は奮発して高級レストランに行った|きょうは ふんぱつして こうきゅうれすとらんに いった|I treated myself by going to a classy restaurant today
互い違い|いたがいちがい|Alternate
騒擾|そうじょう|Riot / Disturbance
紛い|まがい|imitation; sham; -like
ガクガク||body trembling; teeth clattering; something coming loose
先手必勝|せんて ひっしょう|victory goes to the one who makes the first move; being quick to take action lea
おろおろ|おろおろ|1. in confusion, in a fluster, in bewilderment, in a dither, in a panic, all sho
ウラシマ効果|こうか|"the Urashima effect,"
 referring to the psychological phenomenon where returnin
院生|いんせい|1. graduate student2. insei, apprentice go professional
噴気|ふんき|gas (fumes)
封書|ふうしょ|sealed letter
教鞭をとる|きょうべんをとる|to teach, to take a teaching job
含み損|ふくみ そん|unrealized loss, book loss
断絶|だんぜつ|断絶（だんぜつ）means "severance," "cutting 
off," or "complete breakdown (of relations,
円錐|えんすい|{geom} cone
赤の他人|あかの たにん|complete stranger, total stranger
盛る|もる|To serve up (food etc), to fill up
ぎゅうぎゅう|ぎゅうぎゅう|Packed / crammed (6 doubler)
決死（の）|けっしの|Desperate
幾日|いくにち|Many days
ヒリヒリ||Prickling pain / Stinging (those blisters!)
腕章|わんしょう|Arm band
至極|しごく|Extremely / Exceedingly / Very
吉報|きっぽう|Good news
吐露|とろ|Express ones mind / Speak out
