複雑怪奇|ふくざつかいき|complicated and mysterious
労基法|ろうきほう|Labor Standards Act
窮鼠|きゅうそ|cornered animal, cornered rat
警官たちは群衆をおしとどめた。|けいかんたちは ぐんしゅうをおしとどめた|The police held the crowd back.
後進国|こうしんこく|Undeveloped country / Third world country
賃金|ちんぎん|Another word for &quot;wages&quot;
馴らす|ならす|To domesticate / To tame
新刊書の目録を作って欲しいと思います。|しんかんしょの もくろくを つくって ほしいと おもいます|I wish you would make a list of the newly published books
シンガポールでは罪人を鞭打ちで処罰する。|では ざいにんを むちうちで しょばつする|In Singapore, a way to punish criminals is to whip them
維新|いしん|Restoration (eg Meiji)
電飾|でんしょく|Decorative illumination
風上|かざかみ|Upwind / Windward
冤罪|えんざい|False charge / False accusation
散開|さんかい|Deployment / Spreading out / Dispersal
政変|せいへん|coup d'état; coup; revolution; overthrowing of a government
小食|しょうしょく|One who generally eats little
斬撃|ざんげき|slash; slashing attack
動物愛護|どうぶつあいご|Animal rights / Animal welfare / Animal protection
心を許す|こころを ゆるす|to trust, to relax one's guard (around)
積年|せきねん|1. (many) years2. long-standing (esp. hatred, grudge), ancient
つかまり立ち|つかまり だち|standing while holding onto something (infant, toddler)
植え替える|うえ かえる|1. to transplant (a plant), to replant2. to reset (type)
機器|きき|Machine / Equipment
晒す|さらす|To expose (to the air, to the public, to danger, etc)
はぐれる|はぐれる|To stray / Straggle / lose someone because they wandered off =)
来世|らいせ|The next world / The future
切削|せっさく|cutting (e.g. metal)
狂瀾怒涛|きょうらんどとう|raging waves and furious billows; great upheaval; violent turbulence
Nuance: 狂瀾怒
娶せる|めあわせる|"to let (one’s son) marry," or "to take a daughter-in-law."Nuance:This
 verb is 
採寸|さいすん|taking measurements
胸算用|むなざんよう|making a rough estimate in one's head; (n,vs) (2) expectation; anticipation
ふっくら|ふっくら|やわらかにふくらんでいるさま。ふっくりfully, luxuriantly, fluffy, plump, soft and full
判然|はんぜん|"Clear" / "Apparent" / "Distinct"
Nuance
判然 describes something that is unmistak
山は鮮やかな緑でした。|やまは あざやかな みどりでした|The mountain was a vivid green.
気象|きしょう|Weather Condition
休養|きゅうよう|Rest / Recreation (iknow)
ロックは殊に若者に人気だ。|は ことに わかものに にんきだ|Rock music is especially popular among young people.
不憫（な）|ふびんな|Poor / Pitiful / かわいそう
衰退|すいたい|Decline / Decay
抜粋する|ばっすいする|Another word for &quot;extract&quot;
特化|とっか|Specialization (in some industry or whatever)
足がかり|あしがかり|A foothold
合流|ごうりゅう|Linking up / Merge / Recombining
ないし　（Grammar)|ないし|From ..... To &nbsp; &nbsp; &nbsp; &nbsp;・ Between ............... and
キョトンと|と|(looking) blankly
執念|しゅうねん|Tenacity
妥当|だとう|Appropriate / Proper
記銘|きめい|Encoding, memorization (the initial act of)Nuance記銘
 is a specialized term refer
不可侵|ふかしん|Nonaggression (treaty in this case)
病原菌|びょうげんきん|Virus / Germ
誤爆|ごばく|bombing (shelling) the wrong target; (be killed by) friendly fire
擬音|ぎおん|Sound effect / imitative sounds (on news, broadcasts etc)
転移|てんい|Transfer; shift; metastasis (medical); transference.
Nuance: A formal word used 
足がつく|あしがつく|to be traced (of a criminal); to be tracked
窒素|ちっそ|nitrogen
山葵|わさび|Kanji for wasabi
魔性|ましょう|Demonic charm; seductive allure; bewitching qualityNuances:This
 term describes 
煮汁|にじる|broth
高架線|こうかせん|1. overhead wires2. elevated railway
台車|だいしゃ|1. platform truck, hand truck, trolley, dolly, cart2. (railway) truck, bogie, fl
駆使|くし|1. using freely, making full use of, having a good command of2. working (someone
手持ち品|てもち ひん|goods in stock or on hand or in one's possession
世話係|せわ がかり|attendant, person who looks after one's needs, caretaker
