真摯|しんし|Sincerity / Earnestness
凭れる|もたれる|Lean on / Rely on
流民|りゅうみん|Refugees
羽織る|はおる|To put on (eg clothing)
病巣|びょうそう|病原のある箇所
賽銭|さいせん|monetary offering
お色直し|お いろなおし|changing one's dress (e.g. at the wedding reception)
禁じ手|きんじ て|forbidden move (sumo, shogi, go, etc.), prohibited move, foul
文飾|ぶんしょく|literary embellishments
両者の間に摩擦が生じています。|りょうしゃの まに まさつが しょうじています|There is some friction between the two of them
反乱軍|はんらんぐん|Rebellious / Insurgent troops
母鳥が雛に虫を持ってきた。|ははどりが ひなに むしを もってきた|The mother bird brought worms for her young ones
起爆装置|きばくそうち|Fuse
信奉者|しんぽうしゃ|Adherent / Devotee / Believer
胡散臭い|うさんくさい|Suspicious looking / Shady
恩を売る|おんを うる|To demand gratitude / to do something for someone in order to create an obligati
鉄帽|てつぼう|helmet
咎人|とがにん|offender; criminal
スルー||Ignoring
野盗|やとう|brigand; bandit
自動詞|じどうし|intransitive verb
成り行き|なり ゆき|1. course (of events) / development / progress2. abbr for "market order" on an e
小粋|こ いき|1. stylish, smart, chic, tasteful, snappy, dapper2. conceited, cheeky
魅する|みする|to charm, to bewitch, to enchant, to captivate, to fascinate
算数|さんすう|Arithmetic
托する|たくする|To entrust / leave
潜在意識|せんざいいしき|Subconscious (awareness)
寄せ付けない|せよせつけない|To keep away / keep off
透ける|すける|To be transparent / To show through
大の字に|のだいのじに|Sprawled (on floor) / Spread eagled / In the shape of the "dai" kanji
策定|さくてい|政策や計画をいろいろ考えて決めることDecision / Settling on
狭量|きょうりょう|Narrow-mindedness
復元|ふくげん|restoration (to original state or location); reconstruction; reversion
別段|べつだん|particular; special
文言|もんごん|wording (esp. of written text)
機関紙|きかんし|bulletin
変種|へんしゅ|variant, variation, variety, mutation, freak, novelty, exception
雨雲|あまぐも|雨を降らせる黒っぽい雲
罷免|ひめん|Dismissal / Discharge / Throw out
経験談|けいけんだん|Story of ones experience
安らぎ|やすらぎ|Ease / Contentment (Kimi wa petto)
流砂|りゅうしゃ|Quicksand
算盤|そろばん|Abacus
横線|おうせん|Horizontal line
けしからん|けしからん|Outrageous / Rude / Inexcuseable
字画|じかく|Stroke count
供える|そなえる|To offer (flowers at a grave most likely)
五里霧中|ごりむちゅう|Totally at a loss / lose ones bearings / all at sea
隠者|いんじゃ|Hermit / Recluse
ルーペ||magnifying glass
死に絶える|にしにたえる|to die out; to become extinct
ギスギス||stiff (atmosphere, manner, etc.); cold; unfriendly; unsociable; edgy
切り株|きり かぶ|Stump (of a tree say) / Stubble
腐臭|ふしゅう|smell of something rotten, rotten smell
遜色|そんしょく|inferiority
起筆|きひつ|beginning to write, beginning of a brush-stroke
歌声|うたごえ|Ones Singing Voice
陶芸|とうげい|Ceramic / Pottery
最大限|さいだいげん|Maximum
賠償|ばいしょう|Reparations / Compensation&nbsp;
暗黒物質|あんこくぶっしつ|Dark matter
呼び出す|びよびだす|To summon / To invoke or call a function or subroutine (programming)
尚更|なおさら|All the more ... (reason to go, etc)
つま先|つま さき|Tiptoe
福利厚生|ふくりこうせい|Welfare program
足蹴|あしげ|Kick
いがみ合う|いがみ あう|To snipe at each other; to bicker; to be at loggerheads.Nuance:"いがみ合う"
 describe
透視投影|とうしとうえい|{comp} perspective projection
政論|せいろん|political argument
指数的|しすうてき|exponential
写生（する）|しゃせいする|Sketch
止まる|とまる|To keep / remain / stay (webpage for example)
娼婦|しょうふ|A whore
非番|ひばん|Day off; off duty.Nuance:"非番"
 specifically refers to a scheduled day off from w
検証|けんしょう|Verification / Inspection
孤立|こりつ|Isolated
連邦|れんぽう|Federation of states / commonwealth
月経周期|げっけいしゅうき|Menstrual cycle
結露|けつろ|Dew / Condensation (in their brand new house)
腫れ上がる|れはれあがる|To swell up
船舶|せんぱく|Craft / Ship
尼|あま|A nun
光合成|こうごうせい|photosynthesis
可視化|かしか|1. visualization (data, results, etc.), visualisation2. making something visible
古株|ふるかぶ|1. old-timer, veteran, senior2. old stump, old roots
角材|かくざい|squared timber, rectangular lumber
摘み|つまみ|Knob / control / volume
飛び切り|びとびきり|Exceptionally, extremely, the very bestNuance飛び切り
 is an adverb and noun modifie
突っ立つ|つっ たつ|To stand up
開き直る|きひらきなおる|To become defiant / To turn upon / To become serious
～こそ　。。　が　Grammar|こそが|Basically just けれど, "though" but with more 強調
談話|だんわ|Conversation / Talking
虚妄|きょもう|事実でないこと。うそいつわりFalsehood / Untruth / Delusion
探究|たんきゅう|research; investigation; enquiry; inquiry; study
英傑|えいけつ|great man; hero; master mind
忸怩|じくじ|Ashamed; bashful; feeling deep embarrassmentNuances:This
 rare four-character id
歴代|れきだい|successive generations; successive emperors
下賤|げせん|(1) low birth; humble origin; (adj-na) (2) lowly; base; vulgar; coarse
近衛兵|このえへい|Imperial Guard (Meiji); personal guard / english guards okay too!
不義理|ふ ぎり|neglect of one's social obligations; failure to perform one's social duties; dis
霊園|れいえん|(garden) cemetery, park-style cemetery, memorial park
蛸足|たこあし|many-legged, octopus-like
息を吹き返す|いきを ふき かえす|to resume breathing, to come around, to come back to life
臓器売買|ぞうきばいばい|organ trade
吸着|きゅうちゃく|1. adsorption2. adhesion (by suction), attachment, sticking to
手段を選ばない|しゅだんを えらばない|to do whatever it takes, to use every trick in the book, to use any means, to st
彼女は青白い顔をしているね。|かのじょは あおじろい かおをしているね|Her face is pale.
夕暮れ|ゆうぐれ|Evening / Twilight
起訴|きそ|Prosecution / Indictment
捏造|ねつぞう|Fabrication / Forgery / Fake
鉄拳|てっけん|Fist
隆盛|りゅうせい|Prosperity
聞き届ける|きき とどける|要求や願いなどを聞いて承知する。聞き入れる注意して聞き確かめるto grant
霜焼け|しもやけ|frostbite; chilblains
名馬|めいば|fine horse; famous horse
ややあって|ややあって|a little while later; for a little while; some time later; for some time; presen
ホイル||foil (esp. aluminium foil)
好事家|こうずか|person of fantastic taste
珍宝|ちんぽう|rare treasure
校閲|こうえつ|revision, proofreading
