無垢|むく|Purity
文節|ぶんせつ|Phrase / Clause
阿鼻叫喚|あびきょうかん|agonizing cries; pandemonium; two of Buddhism's hells
奇怪|きかい|strange; wonderful; weird; outrageous; mysterious
お鉢が回ってくる|お はちが まわってくる|it's my turn, the ball is in my court, it's up to me
遊軍|ゆうぐん|reserve corps, flying squadron
頑な|かたくな|obstinate, stubborn, mulish, die-hard, bigoted
膝頭|ひざがしら|kneecap
泣訴|きゅうそ|imploring with tears in one's eyes
惨敗|ざんぱい|To be thrashed / hammered
抵触|ていしょく|Being incompatible with / Conflicting (linux license?)
芸術家は色彩に対する目を持っていなければならない。|げいじゅつかは しきさいに たいする めを もっていなければならない|An artist must have an eye for color
使節|しせつ|Delegate / Ambassador / Minister / Envoy
常勝|じょうしょう|Unbeaten / Invincible
痛み分け|みいたみわけ|Match declared drawn due to injury (sumo)
残響|ざんきょう|Echo / Reverberation
苦悶|くもん|Anguish
愚連隊|ぐれんたい|Gang of young toughs
背徳|はいとく|corruption; immorality; lapse from virtue; fall from virtue
転じて|てんじて|on the other hand
すし詰め|すし づめ|jam-packed, packed in like sardines
当座貸越|とうざ かしこし|overdraft
僅かに|わずかに|Slightly (using word for &quot;few&quot;)
身分|みぶん|Social Position / Social Status
～だに　Grammar|だに|Even, so much asNuance～だに
 is a classical Japanese grammar particle that survive
成否|せいひ|Success or failure
立ち上げる|ちたちあげる|To boot (a computer) / To start something (business, computer etc)
繰り出す|くり だす|1. to draw (a thread), to let out (e.g. a rope)2. to head out as a group, to set
吉兆|きっちょう|lucky omen; good omen
ヤジ||Hooting / Jeering / Heckling
出まかせ|でまかせ|eaking without thinking; words spoken without much thought
三位一体|さんみいったい|1. the Trinity2. three parts, three components, three factors, three aspects
誰得|だれ とく|1. who benefits (from that)?, who cares?, who would want that?, who is it meant 
貯木場|ちょぼくじょう|lumberyard
支出|ししゅつ|Expenditure / Disbursement
説く|とく|Explain / Preach
拮抗|きっこう|Rivalry
次長|じちょう|Deputy [assistant] [general] manager
赴く|おもむく|To go / To proceed
借入れ|かりいれ|Debt
野営|やえい|Camping / Making camp
屈強|くっきょう|Robust / Muscular / Strong / Sturdy
