木彫り|きぼり|wood carving, woodcraft
ワンセグ||1seg (Japanese terrestrial digital broadcasting service for mobile devices)
模式図|もしきず|schematic diagram
穿孔カード|せんこう|punch card
心配性な人|しんぱいしょうな ひと|A natural worrier
使命|しめい|Mission / Errand / Message
試行錯誤|しこうさくご|Trial and error
着工|ちゃっこう|Start of construction work
会社の不正が摘発されました|かいしゃの ふせいが てきはつされました|Injustices in the company were uncovered
物腰|ものごし|Manner / Demeanor / Bearing
肩胛骨|けんこうこつ|Shoulder blade / Scapula
締め括る|めしめくくる|1. to bring to a finish2. to bind firmly
斃す|す|Another character for&nbsp;倒す
無粋|ぶすい|unrefined; tactless; vulgar; lacking elegance or sophistication
Nuance: 無粋 descr
パネェ||See also: 半端ない, Slang, Abbreviationa lot, to a very great extent, absolutely
登攀|とうはん|scaling, climbing, ascending
汗だく|あせだく|dripping with sweat, bathed in perspiration
ひざ掛け|ひざ かけ|lap blanket
粋狂|すいきょう|whim, vagary, capriciousness, eccentricity好奇心から人と異なる行動をとること。物好きなこと。また、そのさま。酔興。「真
総当たり|そうあたり|brute force (in cryptography), using all combinations / round robin
画家|がか|Artist / Painter
どさくさ|どさくさ|Mess / Confusion
官房|かんぼう|Government secretariat
遮断機|しゃだんき|Railway crossing gate
ものは考えようだ。|ものは かんがえようだ|Something good can come out of it (考え方による)
時計方向|とけい ほうこう|Clockwise
生還|せいかん|Returning alive / Reaching the home plate (baseball)
歯並び|はならび|Row of teeth
酒宴|しゅえん|Drinking bout / Banquet
愚民政策|ぐみんせいさく|policy of keeping the people ignorant and easily subjugated
生姜|しょうが|ginger
水飴|みずあめ|mizuame, glucose syrup, starch syrup, corn syrup
温泉卵|おんせんたまご|egg slow-boiled so that the yolk is hard but the white is still soft (traditiona
穿孔|せんこう|perforation, punching, boring, drilling
でたらめ|でたらめ|Nonsense, random, haphazard, irresponsibleNuanceでたらめ
 describes something that i
動力装置|どうりょく そうち|Power Plant
飢饉が人々にひどい窮乏をもたらした。|ききんが ひとびとにひどい きゅうぼうをもたらした|Famine caused great distress among the people
白粉|おしろい|Powder / Face powder
浮かれる|うかれる|Have fun / Merry / Be in high spirits
刎頚|ふんけい|Decapitation
引導を渡す|いんどうを わたす|To perform the last rites over the deceased
羽目をはずす|はめをはずす|to cut loose; to act without restraint
被食者|ひしょくしゃ|Prey
怪人|かいじん|mysterious person
囃す|はやす|1. to play accompaniment, to keep time2. to cheer, to applaud3. to jeer, to mock
力こぶを入れる|ちからこぶを いれる|to put a lot of effort (into), to take a strong interest (in), to put great emph
お萩|お はぎ|rice ball coated with sweetened red beans, soybean flour or sesame
垂直面|しで ちょくめん|Vertical Plane
撒き散らす|まき ちらす|To spread / scatter / sprinkle
会食|かいしょく|Dining together
聞き入れる|きききいれる|To comply with / To grant (eg a wish)
調停|ちょうてい|To mediate / conciliate / arbitrate (like go between)
貪る|むさぼる|Be greedy / Covet
恐嚇|きょうかく|intimidation; threat
弾幕|だんまく|barrage
治外法権|ちがいほうけん|extraterritoriality
猟具|りょうぐ|hunting gear
語感|ごかん|1. sense of language2. feeling of a word, impression a word makes, nuance
腕甲|わんこう|brassard (armor), brassart, rerebrace, vambrace
岩板|がんばん|Rock plate (earth plates)
変動費|へんどうひ|Variable costs
覆面をした男達が旅客を襲って金を奪った。|ふくめんをした おとこだてが りょかくを おそって きんを うばった|Masked men held up the passengers and robbed them of their money
分子|ぶんし|Molecule
人揃え|ひと そろえ|A set / Suit (of figurines)
内出血|ないしゅっけつ|Internal bleeding
言いつける|いいつける|To tell / To order / 命令する
使う物と捨てる物とを選り分けた|つかう ものと すてる ものとを りえりわけた|I separated the useful things from the garbage
抄録|しょうろく|Quotation / Abstract / Selection / Summary (of some translations into English)
招致|しょうち|Invitation / Summons / Bidding (eg to hold olympics)
気骨がある|きこつがある|have backbone
借り上げる|かり あげる|to hire; to lease; to requisition; to charter
石にかじりついても|いしにかじりついても|come hell or high water
抱える|かかえる|To hold / embrace
引き返す|きひきかえす|Reverse ones steps / go back / retrace
浸る|ひたる|To be immersed in / soaked in
吹き出す|きふきだす|To gush out / To spout out / To spurt out
悪天候が式を台無しにした。|あくてんこうが しきを だいなしにした|The bad weather marred the ceremony
動議|どうぎ|A motion
押し込める|しおしこめる|To shut up / To imprison
伸び伸び|びのびのび|At ease
天与|てんよ|Godsend / Heavens gift
彼女は彼のために口添えした。|かのじょは かれのために くちぞえした|She spoke up for him
歌姫|うたひめ|songstress; diva
フリーター||(from freelance and arbeiter) young people subsisting on part-time work; one who
揉みくしゃ|もみくしゃ|1. jostling, being jostled, being mobbed, (in a) crush2. crumpling
飼い殺し|かい ごろし|1. keeping a domestic animal beyond its useful life2. keeping a person on the pa
蚕|かいこ|Silkworm
鼻たれ|はなたれ|Drooling
まみえる|まみえる|To have an audience / To meet (humble)
面積|めんせき|Area (500m2 etc)
審美的|しんびてき|Aesthetic
創世|そうせい|Creation of the world
果てしない|はてしない|endless; boundless; everlasting
ひとところ|ひとところ|one place; the same place
本丸|ほんまる|core, center, centre, focus, crux
進ぜる|しんぜる|"To present (respectfully)," "to offer," or "to dedicate (to a superior or deity
そうこうする内に|そうこうする うちに|in the meantime, meanwhile
里親|さとおや|1. foster parent, foster parents2. (pet) caretaker
疲労|ひろう|Fatigue
腹痛|はらいた|Stomach pain
着こなし|きこなし|Dressing well
苗床|なえどこ|Seedbed / Seed-plot / Nursery
筋骨|きんこつ|Muscles and bones
短筒|たんづつ|pistol; revolver
受けが良い|うけが よい|Popular (with)
暇を出す|ひまを だす|1. to dismiss (an employee), to discharge, to let go, to fire2. to divorce one's
傲然|ごうぜん|proud, arrogant, haughty
ちょこん|ちょこん|Translation:ちょこん (chokon) – Perched cutely; sitting or placed in a small, neat w
修辞|しゅうじ|figure of speech, rhetorical flourish
早食い競争|はやぐい きょうそう|speed-eating contest
交わる|まじわる|mingle, socialize
為政者|いせいしゃ|Statesman
会場をくまなく見て回りました|かいじょうをくまなく みて まわりました|I checked the hall thoroughly (every nook and cranny)
机に貼ってあるツールを剥がしてください|つくえに はってあるを はがしてください|Please remove the stickers that are stuck to the desk
強張る|こわ ばる|Become stiff / Stiffen
見境なく|みさかいなく|Indiscriminately
鎮める|しずめる|To suppress (nerves) / control / quell / to calm
応酬|おうしゅう|(1) exchange; reciprocation; give-and-take; return; (2) reply; riposte
こそ泥|こそ どろ|sneak thief; petty thief; cat burglar
越権行為|えっけんこうい|exceeding one's authority; abusing one's legal authority; ultra vires activities
