乳糖不耐症|にゅうとうふたいしょう|lactose intolerance
玄人|くろうと|Expert / Professional
小首|こくび|Head
手の甲|のてのこう|Back of the hand
賛否両論|さんぴりょうろん|The pros and cons
あの選手はばねのある体をしている|あの せんしゅはばねのある からだをしている|That player has a physique like a power spring
香煙|こうえん|Incense smoke
輸血|ゆけつ|Blood transfusion
武装蜂起|ぶそうほうき|armed uprising
海将|かいしょう|Vice admiral
稼ぎ時|かせぎ どき|winning streak; good time to make a profit
出し抜く|だし ぬく|to outwit; to outmanoeuvre; to steal a march on; to get the jump on; to anticipa
踵|かかと|heel (of foot, shoe etc)
大張り切り|おお はり きり|great enthusiasm, high excitement
拍動|はくどう|pulsation, pulsebeat
筋を違える|すじを ちがえる|to pull a muscle, to strain a muscle
周知|しゅうち|Known / Public
無礼者|ぶれいもの|Insolent fellow / Rude fellow
偏狭|へんきょう|"narrow-minded," "intolerant," or "petty."Nuance:This term criticizes someone wh
場慣れ|ばなれ|experience; being accustomed (to something); poise in a critical situation
顔文字|かおもじ|Emoticon / Smiley
扇子|せんす|Fan
一体いつになったら自分の家が持てることやら。|いったいいつになったら じぶんの いえが もてることやら|I wonder when I'll be able to have my own house. (I feel almost hopeless.)
財団法人|ざいだんほうじん|Incorporated foundation (something trying to improve japan productivity in this 
たとえ兄弟といえども、憎しみ合うこともある。|たとえ きょうだいといえども にくしみ あうこともある|Even siblings sometimes hate each other (兄弟でも)
官舎|かんしゃ|Official residence
闖入者|ちんにゅうしゃ|Intruder
かの|かの|that (someone or something distant from both speaker and listener, or situation 
捕らぬ狸の皮算用|とらぬ たぬきの かわざんよう|counting one's chickens before they've hatched; counting raccoon dog skins befor
ウマが合う|が あう|to get on well (with a person), to be a good match with one's horse (e.g. of a r
発報|はっ ぽう|activation of an alarm, sounding a warning
首を括る|くびを くくる|to hang oneself, to strangle oneself
対数目盛|たいすうめもり|logarithmic scale
花園|はなぞの|Flower Garden
初恋|はつこい|First Love
精算|せいさん|Settlement of accounts / adjustment
低迷する|ていめいする|To hang low (clouds), to hover low (price level)
道草|みちくさ|Loitering; dawdling; stopping along the way.Nuance:"道草"
 literally means "roadsi
擦れる|すれる|To be rubbed
公正取引委員会|こうせいとりひきいいんかい|Fair Trade Commission
変貌|へんぼう|Transformation
乳房|ちぶさ|Breast / Nipple
雌伏の時代|しふくの じだい|Years of Biding His Time
金本位|きんほんい|gold standard
混ぜこぜ|まぜこぜ|jumble (of two or several things), mix
件|くだり|passage, paragraph
貧困層|ひんこんそう|Poorest segment of the population
お揃い|お そろい|Matching (watch, clothes etc) / together
くまなく|くまなく|All over / In every nook and crannny / Everywhere (body check)
向日葵|ひまわり|Sunflower
親愛|しんあい|Deep affection / beloved / Dear (often used as the opening greeting of a letter)
砕けた|くだけた|Easy / Affable / Familiar
書き連ねる|かき つらねる|To make a list / To enumerate
似非|えせ|False / Would-be / sham / pretended / mock (Hacker!)
今日は早く起きて弁当を拵えた|きょうは はやく おきて べんとうを こしらえた|I got up early today to make lunch boxes
安寧|あんねい|Public peace
純潔|じゅんけつ|Purity / Chastity
懇意|こんい|kindness / friendship
成就|じょうじゅ|Fulfillment / Realisation
振りまく|ふりまく|1. to scatter, to sprinkle, to spray, to strew2. to lavish (money, charm, etc.)
抓る|つねる|To pinch / nip
大地|だいち|Ground / Earth / The solid earth
変異体|へんいたい|Mutant / Variant
報奨金|ほうしょうきん|Cash bonus / Reward / Bounty
幾度|いくど|Many times
張り合う|りはりあう|To compete / to rival / fight for (brothers competing on jlpt)
もぐもぐ|もぐもぐ|Mumbling / Chewing ones words
萌やし|もやし|bean sprouts
ぎっくり腰|ぎっくり ごし|strained back; slipped disk
如何わしい|いかがわしい|1. suspicious, dubious, unreliable2. indecent, unseemly
居着く|いつく|1. to settle down, to stay (for good), to stay long, to stay on2. 殖民, 定居, 安家落戶, 
愛媛県|えひめけん|Ehime-ken
拠点|きょてん|Base / Stronghold
転勤|てんきん|Transfer / Relocation (not 移転)
疾うに|とうに|A long time ago / Already
官給品|かんきゅうひん|Government issued goods
画面取り込み|がめん とり こみ|screen capture
鎖帷子|くさりかたびら|chain mail (armor, armour)
取り押さえる|りとりおさえる|To capture / pin down / subdue
扇情|せんじょう|sensationalism; stirring up strong emotions
勢い込む|いきおい こむ|to do with enthusiasm, to be excited to do, to throw oneself into
集権排除|しゅうけんはいじょ|decentralisation
熟読玩味|じゅくどくがんみ|reading carefully with appreciation, giving (something) a careful perusal
簀巻き|すまき|1. wrapping something in a bamboo mat2. wrapping somebody in a bamboo mat and th
高架|こうか|elevated (structure), overhead
羽交い締め|はがい じめ|pinioning, binding arms behind the back
いかにも|いかにも|Indeed / as if
当分|とうぶん|For the time being
填める|はめる|To insert / To put in / To have sex / To fuck
年貢の納め時|ねんぐの おさめ とき|Time to pay the piper / Lit: time to pay the land tax
掻っ攫う|っ さらう|To nab / To snatch
管区|かんく|Jurisdiction
暴騰|ぼうとう|Sudden rise
彼女は昔からそそっかしい|かのじょは むかしからそそっかしい|She has always been careless
そけい|そけい|Groin (that Aguero injured again)
有史以来|ゆうしいらい|Since the dawn of history
正負|せいふ|positive and negative; +-; plus and minus
五月蠅い|ごがつ はえい|うるさい
得手不得手|えてふえて|strong and weak points, likes and dislikes, strengths and weaknesses
脳漿|のうしょう|spinal fluid, gray matter, grey matter
中継|ちゅうけい|To relay / broadcast / hookup
得心|とくしん|Being convinced of / Being satisfied with (someone listening and accepting an ex
矩形|くけい|Rectangle
憎まれ口|まれにくまれぐち|Abusive language
離れ離れ|れはなればなれ|Separate / Scattered
腰を上げる|こしを あげる|To finally start to do something / to get off ones arse
むしゃくしゃ|むしゃくしゃ|vexed; irritated; fretful
キビキビ||briskly
常套句|じょうとうく|Conventional phrase / Stock phrase / Cliche
筆舌に尽くしがたい|ひつぜつに つくしがたい|beyond description
揉み上げ|みもみあげ|Sideburns
抑止力|よくしりょく|Deterrent
論者|ろんしゃ|an Advocate
取り柄|りとりえ|Redeeming Feature / Worth
