釣鐘|つりがね|Hanging bell
代理人|だいりにん|An agent
要綱を定めて行政指導をすること|ようこうを さだめて ぎょうせいしどうをすること|the act of giving administrative guidance after providing a general plan
邀撃|ようげき|ambush; assault
馬の骨|のうまのほね|(derog) person of doubtful origin
前世|ぜんせい|one's previous life; previous existence
病棟|びょうとう|(hospital) ward
突んのめる|つんのめる|to pitch forward, to fall forward
差分ファイル|さぶん|difference file
学割だとだいぶ安いな。|がくわりだとだいぶ やすいな|It is quite cheap with a student discount.
漂流|ひょうりゅう|To drift (on the sea)
睨む|にらむ|Verb for "to stare / glare / watch / suspect"
視野|しや|Field of vision / Outlook
私案|しあん|Ones private plan
虫干し|むしぼし|To air out (her books!)
性状|せいじょう|Characteristics (of this virus)
驚喜する|きょうきする|Pleasant suprise
猊下|げいか|&nbsp;(hon) your highness; your grace; your eminence
鷹|たか|Falcon / Hawk
元帳|もとちょう|Ledger
諸悪の根源|しょあくの こんげん|root of all evil
バラバラ||Separately (4 doubler)
過去を省みる|かこを かえりみる|To review the past
宥める|なだめる|to Soothe / Calm / Quiet / Appease / Comfort
軍備競争|ぐんびきょうそう|Arms race
隠避|いんぴ|Helping a criminal to avoid arrest
咳き込む|きせきこむ|To cough violently / To have a coughing fit
不適|ふてき|Inadequacy / Unfitness / Inappropriateness
強要|きょうよう|Coercion / Extortion
みんな口々に意見を言った|みんな くちぐちに いけんを いった|Everyone gave their own opinions
嘘をつくことを不本意とすること|うそをつくことを ふほんいとすること|unwillingness to tell lies
耳偏|みみへん|Kanji "ear" radical at left
用意周到|よういしゅうとう|Thoroughly prepared / Very careful
オカルト||1. 超自然の現象。神秘的現象。2. 目に見えないこと。隠れて見えないこと。
決闘（する）|けっとうする|Duel
空がにわかに暗くなったな。|そらがにわかに くらくなったな|The sky darkened rapidly.
文面|ぶんめん|Content (of a letter, report etc)
ぴんとくる|ぴんとくる|To know intuitively / To get (a joke or explanation)
湿地|しっち|Wetland
借入金と預金を相殺した|かりいれきんと よきんを そうさいした|My borrowings and savings cancelled each other out
盆暗|ぼんくら|Stupidity / Idiocy / Blockhead / Idiot
風潮|ふうちょう|Tide / Current / Tendency / Trend
人外|じんがい|acting inhumanly; inhuman person
被さる|かぶさる|被さる（かぶさる）means "to hang over," "to loom
 above," or "to cover (like a blanket)."
満身創痍|まんしんそうい|1. having wounds all over one's body, being wounded all over2. receiving a drubb
怪文書|かいぶんしょ|dubious document, anonymous document containing defamatory statements
含み資産|ふくみ しさん|hidden assets
互角|ごかく|Equal / Close / Square / Even
見劣り|みおとり|Unfavourable comparison
自嘲|じちょう|Self derision
浴びせる|あびせる|To pour on
埋め込む|めうめこむ|To embed (a file into another)
立役者|たてやくしゃ|Leading actor / Person who acts as driving force behind something (Linux!) / Key
～てからというもの|てからというもの|After A happens, B changed (everything changes)
列席者|れっせきしゃ|persons present
合点承知之助|がてん しょうちのすけ|got it, roger, leave it to me
工具箱|こうぐばこ|toolbox
薬物|やくぶつ|Another word for &quot;Medicine / Drugs&quot;
咲き乱れる|さき みだれる|To bloom in profusion
～をせずに済まない|をせずに すまない|Have to do / しないわけにはいかない / しなければならない
こつこつ|こつこつ|Steadily / unflaggingly
