無印|むじるし|Unbranded / Unlabeled
満天|まんてん|The whole sky
即刻|そっこく|Immediately / At once / Instantly
飲めば飲むほど注意力が鈍る。|のめば のむほど ちゅういりょくが にぶる|The more you drink, the less careful you will be
朝の礼拝は賛美歌ではじまった。|あさの れいはいは さんびかではじまった|The morning service began with a hymn
郷に入っては郷に従え|さとに はいっては さとに したがえ|When in Rome, do as the Romans do
太刀打ち|たちうち|Crossing swords / opposition / contention
工芸|こうげい|Technical art
一蓮托生|いちれんたくしょう|Sharing ones lot with another
骨折り損|りほねおりぞん|Waste of labour or energy
謝意|しゃい|Gratitude / Thanks
知らん顔|らんしらんかお|(1) feigned ignorance; pretending not to recognize (somebody); (2) unconcerned a
駆潜艇|くせんてい|submarine chaser
成語|せいご|A set phrase
ほうじ茶|ほうじ ちゃ|roasted green tea
聴診器|ちょうしんき|Stethoscope
成分献血|せいぶん けんけつ|Blood component donation (practice &quot;component&quot; part :P)
トロい|い|Weak / Stupid (ditzy?)
無我夢中|むがむちゅう|Losing oneself inBeing absorbed in
摘発|てきはつ|Exposure / Laying bare
必着|ひっちゃく|To be delivered (by some date)
買い渋る|かい しぶる|to be reluctant to buy
接写|せっしゃ|close-up photography
鮮度|せんど|(degree of) freshness
陽光|ようこう|Sunlight
差別|さべつ|Discrimination / Segregation
面談|めんだん|Another word for &quot;interview&quot; from Hana Kimi, not 面接
厳か|おごそか|Majestic / Dignified / Stately
降り注ぐ|りふりそそぐ|To rain incessantly / to downpour
責め苦|めせめく|Torture
かき氷|かき ごおり|shaved ice (usually served with flavored simple syrup); Italian ice; snow cone; 
カイワレ大根|だいこん|this stuff
粘っこい|ねばっこい|sticky, stiff, tenacious, persistent
親権|しんけん|parental authority, parental rights, custody
重点|じゅうてん|Important point / Stress
半面|はんめん|One side (not 片側 or 一方) (of a tennis court)
中指をドアに挟んでしまった。|なかゆびをに はさんでしまった|I caught my middle finger in the door.
漂う|ただよう|To drift about / to float / to hang in the air
断片|だんぺん|Fragment / Bits and pieces / Crumb
物言い|ものいい|Manner of speaking
歩み寄る|みあゆみよる|To step up / to compromise / to meet halfway
役所仕事|やくしょしごと|Red tape / Bereaucratic bungling
念願|ねんがん|Ones heart desire / Ones long cheshired wish
追送検|ついそうけん|forwarding documents regarding an additional charge to the public prosecutor
正六面体|せいろくめんたい|{math} regular hexahedron; cube
社交的（な）|しゃこうてきな|Sociable / Forthcoming
円満|えんまん|Peace / Harmony / Perfection
スポロアウト先生が植物を新しい風土に馴染ませた。|せんせいが しょくぶつを あたらしい ふうどに なじませた|Professor Sprout acclimated the plant to a new environment
撹乱|かくらん|Disturb / Upset  / Throw into confusion
耐用年数|たいようねんすう|（Machines) service life
今回は入札が一件しかありませんでした|こんかいは にゅうさつが けんしかありませんでした|There was only one tender (bid) on this occasion
彼は将来のためにお金を蓄えている|かれは しょうらいのためにお かねを たくわえている|He has saved money for the future
あの男、ポーカーにかけては紳士にあるまじき凄腕だぞ|あの おとこにかけては しんしにあるまじき すごうでだぞ|The man is too clever with cards to be a gentleman
峻厳|しゅんげん|strict; stern; rigorous; severe
切れ者|れきれもの|sharp and able person
一遍に|いっぺんに|All at once (not&nbsp;&nbsp;一斉)
