雑草|ざっそう|Weed
なんてざまだ！|なんてざまだ|What a sight you are!
勧告に即して作成される|かんこくに そくして さくせいされる|be developed from a recommendation
因果関係|いんがかんけい|Causal relationship / Consequence
清らか(な)|きよらかな|Clean / Pure
～たが最後|たが さいご|After X then ずっと something else
恋しがる|こいしがる|To yearn for / To miss
固唾|かたず|saliva held in ones mouth during times of tension
事象|じしょう|event; phenomenon; matter
今しがた|いましがた|a moment ago, just now
レッテルを貼る|を はる|to label (someone as)
ダボダボ||1. loose (of clothing), loose-fitting2. plenty (of pouring a liquid)3. sloshing 
見越す|みこす|To anticipate / To foresee
統合失調症|とうごうしっちょうしょう|Schizophrenia
免じて|めんじて|(exp) (as ...に免じて) in consideration of; in deference to; out of respect for; for
紋切り型|りもんきりがた|Stereotyped / Cliched
排気量|はいきりょう|Engine displacement (ie, 250cc)
能書き|のうがき|Boasting / Advertising the excellence of ones wares
決別|けつべつ|Separation / Farewall (from Sephiroth)
背格好|せいかっこう|Ones height or stature / ones physique
ぽつり|ぽつり|Isolated / Standing alone
迷わす|まよわす|To puzzle / perplex / bewilder / mislead / delude
無辜|むこ|Innocent / Blameless
縊り殺す|り ころす|to strangle to death
引き結ぶ|ひき むすぶ|1. to connect, to link together, to pull together, to draw together2. to close t
煮立つ|にたつ|to boil, to simmer
海産|かいさん|Marine
号外|ごうがい|Extra / Special (newspaper special, added free gift thing)
運用|うんよう|Operation / Management
二者|しゃ|Two persons
針葉樹|しんようじゅ|Conifer / needle leaved tree
蜥蜴|とかげ|lizard
盆休み|ぼんやすみ|Bon holidays, Bon holiday period (in mid-August)
氷雨|ひさめ|Freezing Rain
一瞬|いっしゅん|In a moment
天変地異|てんぺんちい|Natural disaster / Calamity (not 天災)
得意がる|とくいがる|To be inflated with pride
その農家ではトマトの促成栽培をしている|その のうかではの そくせいさいばいをしている|Tomatoes are grown intensively on that farm
あの会社は多角経営だ|あの かいしゃは たかくけいえいだ|That is a diverse market company
愚行|ぐこう|Folly / Foolish move
怒り狂う|りいかりくるう|to be in a fit (of anger); to rage
くねらす|くねらす|to wriggle, to twist (one's body), to writhe
出典|しゅってん|Reference / Source (noun)
聞き耳を立てる|きききみみを たてる|Keeping ears open / Straining ones ears / Listen with all ones ears
捩る|ねじる  よじる  すじる もじる|1. to screw, to twist2. to distort, to parody, to make a pun3. to torture, to wr
歳月|さいげつ|Time
弟が私のケーキを横取りした|おとうとが わたしのを よこどりした|My younger brother stole (intercepted??) my cake
窄める|すぼめる|&nbsp;to make narrower; to shut (an umbrella); to shrug (one's shoulders); to pu
とっ散らかる|とっ ちらかる|to be scattered around, to be all over the place
献花|けんか|flower offering, floral tribute, laying flowers
押入|おしいれ|Closet
直通|ちょくつう|direct link
思い浮かべる|いおもいうかべる|To be reminded of / to call to mind
七夕|たなばた|The star festival (begins July 7th - August) - think start of Densha Otoko
往々にして|おうおうにして|From time to time / now and then / occasionally
見所|みどころ|Good points / Highlights
風流|ふりゅう|Refined elegance
奮う|ふるう|To rouse up (courage!)
風来坊|ふうらいぼう|Wanderer / Vagabond / Hobo
取り持つ|りとりもつ|to mediate; to entertain; to serve
かち割る|かち わる|to hit and break open, to crush, to smash
厨房|ちゅうぼう|1. kitchen, galley2. (Internet) troll
挑む|いどむ|Another verb for &quot;to challenge&quot;, not 挑戦. Also apparently can mean &quo
番人|ばんにん|Guard / Watchman
しんどい|しんどい|Worrisome / Bothersome / Tiresome
一切れ|ひときれ|A slice / small piece (say, of pizza)
彼らは結婚式の日取りを繰り上げた。|かれらは けっこんしきの ひどりを りくりあげた|They advanced the wedding date
非礼|ひれい|Impoliteness
申し付ける|しもうしつける|To order / To instruct
纏わり付く|まつわり つく|To coil about / to follow about&nbsp;
食い下がる|いくいさがる|To hang on / To persist
宙に浮く|ちゅうに うく|to float in the air; (2) to be unfinished; to be unsettled; to be undecided
蛾|が|moth
供養塔|くようとう|memorial tower
博愛|はくあい|Philanthropy / Humanitarianism
表意文字|ひょういもじ|Hieroglyph / Ideograph (What kanji characters are, as they give meaning)
富豪|ふごう|Wealthy person / Millionaire
停滞|ていたい|Stagnate / Congestion / Falling into arrears
金づる|かねづる|Source of revenue / Financial supporter
逐語的|ちくごてき|Word for word / Verbatim
請願|せいがん|Petition (the queen not to kill him, only imprison him forever instead)
危なっかしい|あぶなっかしい|Dangerous / Critical / Grave
収納|しゅうのう|Crop / Harvest / also "putting or stowing away"
傑出|けっしゅつ|being outstanding; excelling; being foremost
禁制|きんせい|prohibition; ban; embargo
婚活|こんかつ|(abbr) 結婚活動)searching for a marriage partner; marriage hunting; activities leadi
科す|かす|to inflict; to impose (a fine, etc.)
革|かわ|Leather
