一帯|いったい|Area / Vicinity
頻度|ひんど|Frequency
水分子は、２個の水素原子と１個の酸素原子からなる|すいぶん こは この すいそ げんしと この さんそ げんしからなる|A water molecule has two hydrogen atoms and one oxygen atom
如何にして|いかにして|In what way / How (can he board the ship)
彼は猫背なので実際より小さく見える|かれは ねこぜなので じっさいより ちいさく みえる|Because he stoops, he looks smaller than he actually is
波乱万丈|はらんばんじょう|Stormy and full of drama / full of ups and downs
接頭辞|せっとうじ|prefix
球根|きゅうこん|Bulb (plant)
幻想的　な|げんそうてきな|Fantastic / Magical / Wondrous / Fairytail like / Whimsical
敬虔|けいけん|devout / modest
見放す|みはなす|Abandon / Desert (AGAIN FFS)
呪詛|じゅそ|Curse / Hex
う〜む、相貌から判断するに上海からか。|うむ そうぼうから はんだんするに しゃんはいからか|Hrmmm, to judge from their looks they might be from Shanghai
災害|さいがい|Catastrophe / Calamity
本格的|ほんかくてき|full-scale, authentic
業務委託契約|ぎょうむいたく けいやく|Outsourcing agreement
無心|むしん|wring、squeeze、rack、gouge、extort / Be absorbed in
境目|さかいめ|Border / Boundary / Line
同士討ち|どうしうち|friendly fire; killing each other by mistake
乾物|かんぶつ|dry provisions, dried food, dried goods, groceries
彼女は育児で忙しいよ。|かのじょは いくじで いそがしいよ|She is busy looking after her children.
仕業|しわざ|Act / Action / Deed
彼は暗算をするほど頭が良くない。|かれは あんざんをするほど あたまが よくない|He doesn't have enough brains to do sums in his head
もじもじ|もじもじ|fidgety / squirming / restlessly
宿敵|しゅくてき|Old enemy / longtime enemy / archenemy / traditional rival
雷光|らいこう|Lightning
繋ぎ|つなぎ|filler; stopgap (job, budget, etc.)
外つ国|とつ くに|foreign country
取り入れる|りとりいれる|To take in / adopt
恩義|おんぎ|Debt of gratitude / favour / obligation
気質|きしつ  かたぎ|Character / Trait / Temperament
意味合い|いみあい|Implication / Nuance
奥底|おくそこ|Depth / Bottom
佇む|たたずむ|Stand still
形無し|かたなし|spoiled; spoilt; ruined; loss of face;
ひとっ走り|ひとっ ぱしり|spin (as in 'take a car for a spin'); run
足しげく通う|あししげく かよう|to visit frequently; to haunt
著名人|ちょめいじん|celebrity, personality, prominent figure
電解|でんかい|electrolysis, electrolytic
犯意|はんい|criminal intent, malice
余り物|りあまりもの|Residual / Residue / Leftover / Remainder
暖炉|だんろ|Fireplace / Hearth / Stove
土手|どて|Embankment
～ぐるみ　Grammar|ぐるみ|All of / Everyone / 全体 / 全員
彼はいつも尤もらしい話をする|かれはいつも もっともらしい はなしをする|He always tells convincing stories
悠久|ゆうきゅう|eternity; perpetuity; permanence
質問攻め|しつもんぜめ|barrage of questions
寿命|じゅみょう|Lifetime
彼はギターの伴奏で歌った。|かれはの ばんそうで うたった|He sang to guitar accompaniment
断罪|だんざい|(1) judgment (of a crime); conviction; condemnation; (2) beheading; decapitation
旧知|きゅうち|old friend; old acquaintance
公転|こうてん|revolution (of heavens)
気に病む|きに やむ|Anxious / to lose sleep over / chew up
耕作|こうさく|Cultivation / Farming
目玉|めだま|Special feature / Centerpiece / Showpiece / Eyeball
押し退ける|しおしのける|To push aside / To brush aside
扇動|せんどう|Incitement (racial inciting hate etc)
のっぺり|のっぺり|Flat / smooth / expressionless / blank
ふくよか|ふくよか|plump; full; well-rounded
大目玉|おおめだま|good scolding
俊足|しゅんそく|1. swiftness of foot, fast runner2. swift horse, fleet steed3. person of great t
公言|こうげん|declaration, profession
わずか|わずか|Few
退ける|しりぞける|To remove / sweep aside
化合物|かごうぶつ|Chemical compound
銘打つ|めいうつ|To engrave an inscription / to mark / to label
接線|せっせん|Tangent (in trigonometry)
事務的|じむてき|Businesslike
向上心|こうじょうしん|Desire to improve onself / ambition / aspiration
悠長|ゆうちょう|Leisurely / Slow / Deliberate / Easygoing
たまりかねる|たまりかねる|find it hard to bear
間際に|まぎわに|To on the verge of (verge of winning, verge of half time)
外為|がいため|Foreign Exchange
とはいえ、|とはいえ|Be that as it may, nonetheless
紛れもない|まぎれもない|Certain / Unmistaken
極め付き|めきわめつき|Guaranteed (to be genuine / valuable etc) / Certified
退く|しりぞく|To step back / To retreat / To move back / To resign
海藻|かいそう|Seaweed
相貌|そうぼう|Looks / Features
不活性|ふかっせい|inert
発達|はったつ|Development / Progress
態勢|たいせい|state, preparedness
好転|こうてん|A turn for the better
このプロジェクトには手こずりました|このには てこずりました|I had trouble with this project
変幻自在|へんげんじざい|capable of ever-changing appearance
感情移入|かんじょういにゅう|empathy
大発生|だいはっせい|explosive increase (in number of pests), (severe) outbreak or upsurge of pests
究める|きわめる|To master / study thoroughly
主観的|しゅかんてき|Subjective
遺伝|いでん|Heredity / Inheritance
追試を受ける|ついしを うける|to Resit an exam
糞|くそ|Excrement / Dropping / Dung / Mess (animals?)
彼は本当に無欲です|かれは ほんとうに むよくです|He is really unselfish
魔改造|ま かいぞう|extreme modification (esp. of cars or toy figurines)
彼は花壇の昆虫を見るためにかがみこんだ。|かれは かだんの こんちゅうを みるためにかがみこんだ|He bent over to see insects in the flowerbed
堤防|ていぼう|Bank / Weir
資金の貸し手は高利益の時期を享受している。|しきんの しかしては こうりえきの じきを きょうじゅしている|Money lenders are enjoying a profitable period
共著者|きょうちょしゃ|Collaborator / Coauthor / Joint author
切り裂く|りきりさく|To cut up / To tear to pieces
恥じ入る|じはじいる|to feel ashamed; to be abashed
不良品を返品したよ。|ふりょうひんを へんぴんしたよ|I returned the defective product.
好感|こうかん|Good feeling
混迷|こんめい|Confusion
給油|きゅうゆ|Refueling (car, plane etc) / lubricating (a machine) / oiling
杳として行方が知れない。|ようとして ゆくえが しれない|Nothing whatever is known of him
まんまとだまされた|まんまとだまされた|I was completely [fairly] taken in
怪奇現象|かいき げんしょう|Unnatural phenomenon / Strange happenings / Haunting
速報|そくほう|News flash
暫定|ざんてい|Provisional / Tentative (CEO, Steve Jobs)
復旧|ふっきゅう|To be restored (internet service? phone service?)
陰謀|いんぼう|Conspiracy / Plot
支障|ししょう|Obstacle / Hindrance
横転する|おうてんする|Turning sideways / Barrel roll
創案者|そうあんしゃ|Originator / Inventor
興奮剤|こうふんざい|Stimulant
村翁|そんおう|village elder
垂直に|すいちょくに|Vertically
寝転ぶ|ねころぶ|To lie down
受け持つ|けうけもつ|Have charge of
閲覧ソフト|えつらん|Browser (computer)
