講堂|こうどう|Lecture hall / auditorium
鳴り響く|りなりひびく|To ring / resound / blast / roar
お手柔らか|お てやわらか|Gently / Mildly
食感|しょっかん|Food texture
本領|ほんりょう|Speciality / Characteristic / Duty (of the white mage in FF14!)
質感|しつかん|Feel of a material
随伴|ずいはん|attendance; accompanying; following
順風満帆|じゅんぷうまんぱん|smooth sailing
綿織物|めんおりもの|Cotton Fabrics
乾く|かわく|To get dry
引き続き|きひきつづき|Continuing for a long time / In succession / Without a break
届け出る|けとどけでる|To report / To notify (the police etc)
焼却炉|しょうきゃくろ|Incinerator
漏電|ろうでん|short circuit; leakage (of electricity); electrical fault
安請け合い|けやすうけあい|Promising without due consideration
面汚し|つらよごし|disgrace; shame
懲役|ちょうえき|Penal servitude (prison time)
青銅|せいどう|Bronze
泣き寝入り 2|きなきねいり|giving up in frustration; accepting meekly; being compelled to accept a situatio
刑事責任|けいじせきにん|criminal liability
怒鳴る|どなる|To shout / bark / roar
宣言|せんげん|Declaration / Proclomation / Pronouncement
こっ酷い|こっ ぴどい|Bad / Harsh / Severe
黙認|もくにん|To tolerate (mages destroying that town) / To overlook
小道|こみち|Path / Lane
矮小|わいしょう|Stunted / Pigmy
有志|ゆうし|voluntary; volunteer; sympathizer
門出（する）|かどでする|To Set out
張本人|ちょうほんにん|Ringleader
自力|じりき|By oneself / Self made
あの人って大ざっぱな性格だからね。|あの ひとって おおざっぱな せいかくだからね|He's the type who doesn't worry about details
満面|まんめん|Whole face (started smiling)
彼女は浜辺に佇んだ|かのじょは はまべに たたずんだ|She paused on the beach
寝巻き|ねまき|Pajamas
畢竟|ひっきょう|After all
氷結|ひょうけつ|freezing; freezing over
純真無垢|じゅんしんむく|pure; purity
ムカムカする|する|Be sick to the stomach / queasy
高水準|こうすいじゅん|High level (overview of something)
自衛隊派遣の是非をめぐって激しい議論が交わされた。|じえいたいはけんの ぜひをめぐって はげしい ぎろんが かわされた|There were fierce arguments over the pros and cons of dispatching the Self-Defen
冷ややか|ひややか|Cold / Frigid
フル回転|ふるかいてん|Full operation (of his phone)
零細企業はインフレで苦境に陥っています。|れいさいきぎょうはで くきょうに おちいっています|Small enterprises are feeling the squeeze of inflation
毛脛|けずね|hairy legs
開催中|かいさいちゅう|In session (the world cup! football season)
家族手当|かぞくてあて|Family allowance
欠乏|けつぼう|Shortage / Famine / "Want"
晩酌|ばんしゃく|Drink at home with the evening meal / dinner time drink
ウカウカ月日を送る|つきひを おくる|to dream away one's time―idle away one's time
吐き捨てる|はき すてる|To spit out
何か重い兇器でやられたらしく、頭蓋骨は粉砕された。|なにか おもい きょうきでやられたらしく ずがいこつは ふんさいされた|His head had been shattered by a savage blow from some heavy weapon
脱力感|だつりょくかん|Lethargic / exhaustion
天幕|てんまく|curtain; tent; pavilion
四柱推命|しちゅうすいめい|Four pillar astrology - originally Chinese method of fortune-telling based on th
誠実|せいじつ|Sincere / Honest
福祉予算は削減されないことに決まったのよ。|ふくし よさんは さくげんされないことに きまったのよ|They decided not to reduce the social welfare budget.
婦人|ふじん|Woman / Lady (iknow .. another)
商標権|しょうひょうけん|Trademark rights
余所余所しい|よそ よそしい|Cold / Stiff / Distant / Unfriendly
結実|けつじつ|Bearing fruit / being successful / achieving success
