親指|おやゆび|Thumb
まれ|まれ|rarely (2 hiragana characters, one word)
政府は物価の統制を解除した。|せいふは ぶっかの とうせいを かいじょした|The government lifted price controls
極まりない|きわまりない|Extremely / In the extreme / Boundless / Limitless
多様性|たようせい|Diversity / Variety
試験の事を考えると憂鬱になります|しけんの ことを かんがえると ゆううつになります|I get depressed thinking about exams
代償|だいしょう|Compensation
術|じゅつ|Way / Method / Means
突っ掛ける|つっ かける|To slip on
発作的|ほっさてき|spasmodic(ally); fitful
盥|たらい|tub, washbasin, washbowl
稲作|いなさく|Rice crop
位置づけ|いちづけ|Placement / Fixed position / Matching out / Location
裾|すそ|Skirt / Tail
お尋ね者|お ねたずねもの|Wanted man / Person sought by the police
浮き輪|きうきわ|Swimming ring / Life buoy
へばる|へばる|to be exhausted; to be worn out
見習い|みならい|Apprentice
到来|とうらい|Arrival
時節|じせつ|1. season2. the times3. opportunity; occasion
爪の垢を煎じて飲む|つめの あかを せんじて のむ|to take a lesson from (a wise person), to follow in the footsteps of, to boil th
ゆうべはろくに寝ていない。|ゆうべはろくに ねていない|I barely slept last night.
仕事には慣れも必要です。|しごとには なれも ひつようです|Getting used to the work is also necessary in any job.
倒立|とうりつ|Headstand / Handstand
彼は目上の人にとても気を使います。|かれは め のうえのひとにとても きを つかいます|He's very respectful of his seniors.
介抱する|かいほうする|To look after, To take care of (sick person)
彼女は前言を取り消した|かのじょは ぜんげんを りとりけした|She took back her word / She swallowed her words
細める|ほそめる|To make narrow (eyes?)
踏み付ける|みふみつける|To trample down / To tread on
絢爛|けんらん|gorgeous; brilliant; dazzling; ornate; gaudy; flowery
手先|てさき|Fingers
草食|そうしょく|Herbivour
突き進む|きつきすすむ|To push forward / hustle / make ones way
潜む|ひそむ|To lurk / To lie dormant / To be hidden / To be concealed
肩口|かたぐち|Top of the shoulders / collar
やり切れない|やり きれない|Unbearable / Intolerable / Too much
子供たちは父からの戒めを固く守っていた|こどもたちは ちちからの いましめを かたく まもっていた|I protected the children from their fathers harsh punishment
そのくせ|そのくせ|And yet / Even so / Nonetheless
