要件|ようけん|Necessary condition / Requirement
寄宿|きしゅく|lodging
開通|かいつう|opening (of a new road, railway, etc.); going into operation (e.g. telephone com
順不同|じゅんふどう|&nbsp;(exp) (listed in) no particular order; arbitrary order; random order
酩酊|めいてい|drunkenness, intoxication
最近の子供たちは夜更かしです。|さいきんの こどもたちは よふかしです|These days children stay up till late.
手をつける|てをつける|To start work on / To embezzle / To use (money obtained illegally)
肝試し|きもだめし|Test of courage / A dare
彼女は赤ちゃんをおんぶしています|かのじょは あかちゃんをおんぶしています|She is carrying the baby on her back
有り合わせ|りありあわせ|Available / On hand
堕胎|だたい|abortion; feticide
戦線離脱|せんせん りだつ|leaving the front line, retiring from the game, deserting the battle
責務|せきむ|Duty / Obligation
相性|あいしょう|Compatibility / Chemistry
冬季|とうき|Winter season
陰性反応|いんせいはんのう|Negative Reaction
御曹司|おんぞうし|Son (son and heir? used for domyouji)
襲来|しゅうらい|Invasion / Raid / Attack / Visitation (of a calamity)
彼女は腹立ちまぎれに婚約を破棄した。|かのじょは はらだちまぎれに こんやくを はきした|She broke off her engagement in a fit of anger
蝕む|むしばむ|Eat into / Undermine
異端者|いたんしゃ|Heretic
そっと|そっと|Softly / Gently (pat?)
母は張り切ってお弁当を用意したの。|ははは りはりきってお べんとうを よういしたの|My mother went all out when she made this lunch box.
愚問|ぐもん|Stupid question
募る|つのる|To solicit help or participation&nbsp;/ To grow violent / to become stronger / t
虚偽だとは言わないまでも、かなり紛らわしい表現だ。|きょぎだとは いわないまでもかなり まぎらわしい ひょうげんだ|I can't go so far as to call this wording deceptive, but it sure is misleading.
譲渡す|じょうとす|To hand over / To fork over / To fork up / To turn in
腹ペコ|はらぺこ|hungry; starving
承服|しょうふく|accepting; consenting; agreeing; submission; compliance; agreement; consent
世話が焼ける|せわが やける|to be troublesome; to require the aid and labour of others
スコップ||shovel, spade, scoop
機嫌|きげん|Mood / Health
要塞|ようさい|Fortress / Fort
鞭打ち|むちうち|Whipping / Beating with a whip / Whiplash
彼は煙に巻かれて窒息した。|かれは けむりに まかれて ちっそくした|He suffocated, smothered in smoke
烈火|れっか|Raging fire / Conflagration
完膚なきまで|かんぷなきまで|Completely / Thoroughly / Horribly / without exception / until theres no untouch
崩御|ほうぎょ|(hon) death (of an emperor); demise
悲痛|ひつう|grief, sorrow, extreme sadness, heartbreak
彼女は自然と調和した暮らし方をしている|かのじょは しぜんと ちょうわした らしくらしかたをしている|She lives her life in harmony with nature.
合致|がっち|Agreement / Concurrence / Conformance / Compliance
番地|ばんち|House number / Address
万里|ばんり|Thousand of miles
~てかなわない|てかなわない|can’t stand; unable to
汚物|おぶつ|filth (esp. excrement, feces, urine); muck; waste
薙ぎ払う|ぎなぎはらう|To mow down / To scythe down
燥ぐ|ぐ|to make merry; to frolic; to be in high spirits
突起|とっき|1. to bulge out2. projection; prominence; bump
路傍|ろぼう|roadside
異様|いよう|Bizarre / Strange / Queer / Odd
この定規にはミリメートルの目盛りがある。|この じょうぎにはの めもりがある|This ruler has the scale in millimeters
雇い主|いやといぬし|Employer
物言う|ものゆう|To do the talking / To make all the difference
目論見|もくろみ|Project / Programme / Scheme (other programs that dont have lots of resources!)
食いしん坊|いしんくいしんぼう|Glutton
極道|ごくどう|Wicked / Evil / Immoral
