特別委|とくべつい|Special committee
逆ギレ|ぎゃくぎれ|Being angry at someone who would normally be angry at you, situation wherein the
図抜ける|ずぬける|To tower above / to stand out
灰燼|かいじん|Ash / Embers / Complete destruction
よそ|よそ|Somewhere else
田植え|たうえ|Rice planting
尋問|じんもん|Cross-examination / Interrogation / Questioning
不可避|ふかひ|Inevitable
雨宿り|あまやどり|taking shelter from rain
悪相|あくそう|1. 恐ろしくて気味の悪い顔つき。醜い人相。2. 不吉な兆し。縁起の悪い現象。
仄暗い|ほの ぐらい|gloomy, obscure
屑|くず|Waste / Scraps
舎弟|しゃてい|Younger brother, underling (my boss my hero)
波打つ|なみうつ|Wave / Ripple
捻じ伏せる|ねじ ふせる|to hold down; to twist someone's armto force (someone) to yield (e.g. an argumen
混在|こんざい|existing alongside (each other), mixture, intermingling
婉曲|えんきょく|Euphemism
絶対値|ぜったいち|Absolute value (of a variable)
新規|しんき|New / Fresh / New rules or regulations
別れ道|れわかれみち|Branch / Forked road / Crossroads / Turning point
地元紙|じもとし|Local newspaper
濡れ衣|れぬれぎぬ|False accusations (not sure why, also wet clothes!)
霊峰|れいほう|sacred mountain
密造|みつぞう|illicit manufacturing, illicit distilling, moonshining
毛皮を税関で没収されたんだ。|けがわを ぜいかんで ぼっしゅうされたんだ|The fur was seized at customs.
強欲な|ごうよくな|Another word for greedy. "Im a greedy merchant"
彼は欲望が強い人です。|かれは よくぼうが つよい ひとです|He's a person with strong desires.
穴埋め|あなうめ|Filling in gaps / filling in blanks (ie in a form)
征途|せいと|(military or pleasure) expedition
力量|りきりょう|ability; capacity; capability; talent; (2) physical strength
復す|ふくす|to return to normal; to recover; to restore
水害|すいがい|Flood
痔|じ|Hemorrhoid / Piles
驚愕|きょうがく|Suprise / Fright / Shock
輪郭|りんかく|Outlines / Border
大理石|だいりせき|Marble
吟遊詩人|ぎんゆうしじん|Minstrel (archer turns into ff14)
主賓|しゅひん|main guest; guest of honor; guest of honour
不肖|ふしょう|unworthy (of one's father, teacher, etc.)
まく|まく|sow (seeds)
常道|じょうどう|Normal or proper practice
婦人科|ふじんか|Gynecology
焼け野原になる|けやけのはらになる|Be destroyed by fire / lit: turned into a burnt field
視線|しせん|Ones eyes / Glance / Look
前兆|ぜんちょう|Omen / Signs / Premonition
紛糾|ふんきゅう|Complication / Confusion / Disorder
責め苛む|めせめさいなむ|To torture / to persecute / to excruciate
旗色|はたいろ|Situation / ones position / outlook
梃子|てこ|Lever
忠孝|ちゅうこう|loyalty and filial piety
ボイン||1. (slang) big breasts; big boobs2. boing; sproing; pow;
血だまり|ちだまり|pool of blood
吹き抜け|ふき ぬけ|1. 家屋の柱の間に壁がなく、風が自由に通る構造。また、建物の内部で、天井がなく、上下階を貫いてひと続きにしてある構造2.&nbsp;風が吹き抜けること
市販|しはん|over the counter / off the shelf　/&nbsp;Selling on the market
桟橋|さんばし|Pier / Wharf
埋立地|うめたてち|Reclaimed land / Landfill
不動産の価格が騰貴しています|ふどうさんの かかくが とうきしています|The price of real estate is rising
誇大|こだい|Exaggeration / Hyperbole
帰投|きとう|return to base of soldiers, military aircraft or ships
煙になる|けむりになる|to go up in smoke, to burn down, to be cremated, to vanish into thin air
秒読み|びょうよみ|Countdown
捌ける|さばける|品物が売り切れる。また、よく売れる。はける世事に通じていて、物分かりがよい混乱していたものが整理されてきちんとなるTo be in order / to flo
ダイヤ||Train schedule
角錐台|かくすいだい|truncated pyramid / frustum
国交|こっこう|Diplomatic relations / national friendship
落下|らっか|Fall / Drop / Come down
手向ける|たむける|To pay a tribute to a person who is about to depart / offer something to diety o
収賄事件は政府に疑惑を投げかけた。|しゅうわいじけんは せいふに ぎわくを なげかけた|The bribery scandal cast doubts on the government
毛細血管|もうさいけっかん|Capillary vessel
初老|しょろう|Past middle aged / aging / maybe around 40
つべこべ|つべこべ|complaining; nitpicking
出納帳|すいとうちょう|Account book
父母|ちちはは|father and mother, parents
視察|しさつ|To inspect
補給が尽きはじめている。|ほきゅうが つきはじめている|The supplies are beginning to give out
開け放つ|けあけはなつ|To throw open / To leave open (the cage!)
社員の親睦のために宴会をします|しゃいんの しんぼくのために えんかいをします|The reception was held for the employees to socialise
置時計|おきどけい|Clock to be placed on tables / bookshelves etc
即金|そっきん|spot cash; cash payment; immediate payment (in cash); cash down
随一|ずいいち|The best / The greatest / The foremost
彼は学校に滑り台を寄贈した|かれは がっこうに りすべりだいを きぞうした|He donated the slide to the school
備わる|そなわる|Be possessed of / Be provided with
温和な|おんわな|Mild / Gentle / Moderate / Quiet
際立つ|きわだつ|To stand out, like 目立つ
生け贄|いけ にえ|Sacrifice / Victim / Offering
藻掻く|も かく|To struggle / to wriggle / to squirm
読書家|どくしょか|avid reader; bookworm
彼女は職場で不当な扱いを受け腹を立てた|かのじょは しょくばで ふとうな あつかいを うけ はらを たてた|She was furious as she was being treated unfairly at work
禁忌|きんき|Taboo
駄弁|だべん|Foolish Tale / Nonsense
水虫|みずむし|athlete's foot
片付く|かたづく|To put in order / to solve / to displose
岩石|がんせき|Rock / Big stone
東証|とうしょう|Tokyo stock exchange (shorthand)
酒気|しゅき|Liquor smell / Tipsiness
彗星|すいせい|Comet
掲げる|かかげる|To suggest / To set forth
局所化|きょくしょ か|Localisation (localise broadcasts in CCNA network?) not language
器用貧乏|きようびんぼう|Jack of all trades and master of none
足場|あしば|Footing / Foothold / Scaffold
芝刈り機が簡素な作りの荷車に積んである。|りしばかりきが かんそな つくりの にぐるまに つんである|Some lawn equipment is loaded into the jerry-built cart
在留|ざいりゅう|Residence / Stay
流用|りゅうよう|Misappropriation (of funds)
ほら話|ほら ばなし|tall story; tall tale; cock-and-bull story
近況|きんきょう|Recent state
逼迫|ひっぱく|Impending / Stringency (financial) / Tight / Hard
喘ぐ|あえぐ|To gasp / To breathe hard
修道士|しゅうどうし|Monk / Friar
悪行税|あくぎょう ぜい|sin tax (excise, etc. on certain goods deemed harmful to society and individuals
縮小|しゅくしょう|Reduction / Cut / Curtailment (not 削減)
姪|めい|Niece
執事|しつじ|Butler
懲罰委員会|ちょうばついいんかい|Disciplinary Committee
しょんぼり|しょんぼり|Being downhearted
鍛錬|たんれん|Training / Disciplining / Hardening / Tempering / Forging
地平線|ちへいせん|horizon (related to land)
嫌味を言う|いやみを いう|to make snide remarks, to put into bad mood
満たない|みたない|Less than / fraction of / below (ie, less than 10% of books)
目付き|めつき|Look / Eye
車で陸橋を渡った|くるまで りっきょうを わたった|We crossed the viaduct by car&nbsp;
