処遇|しょぐう|Treatment / Dealing with
支那|しな|Derogatory name for China
基部|きぶ|base, foundation
共感 （する）|きょうかんする|To Sympathise
生物工学|せいぶつこうがく|Biotechnology
投影|とうえい|Projection
尾翼|びよく|Tail plane (back part of my plane!)
～としたところで and ～としたって|としたところで としたって|Both mean "even if" / ようとしても
結う|ゆう|To do up / Dress
版画|はんが|Engraving
手本|てほん|Sample (of something)
改革|かいかく|Reform / Crusade (think, reforming a business)
雇用が停滞し続けた。|こようが ていたいし つづけた|Employment continued to lag
人権擁護|じんけんようご|Protection of human rights
瞬殺|しゅんさつ|1. defeating in an instant2. instant kill
発奮する|はっぷんする|To be inspired
不用意|ふようい|Unpreparedness / Carelessness
緩慢|かんまん|Slow / Sluggish
一体化|いったいか|Unification / Integration
懇親会|こんしんかい|Friendly reunion / Get-together
庭に花の種をまきました。|にわに はなの たねをまきました|I planted some flower seeds in the garden.
山地|さんち|Mountain district / highlands
店員が出て来ないので客はしびれを切らして出て行った|てんいんが でて こないので きゃくはしびれを きらして でて いった|As no clerk appeared, the customer lost patience and left the shop
あやふや|あやふや|Uncertain / Vague / Ambiguous
曲者|くせもの|Ruffian / Villain / Thief / Suspcious fellow
空疎な誓約|くうそな せいやく|Empty vows
上等（な）|じょうとうな|Good / Superior / Magnificent
寄り道|りよりみち|dropping by, going out of the way
商魂たくましい|しょうこんたくましい|Enterprising / Aggressive (always for salesman)
技師長|ぎしちょう|Chief engineer
彼が言ったことなど気に留めるな。|かれが いったことなど きに とめるな|Don't take any notice of what he said
嫁いびり|よめいびり|bullying a young wife
自虐|じぎゃく|self-torture, masochism, inflicting damage to oneself
折半（する）|せっぱんする|To go halves on something
熱血漢|ねっけつかん|Hot blooded person / passionate person
指揮|しき|Command / Initiative
擬似|ぎじ|False / Mock / Quasi-
放ったらかす|ほうったらかす|To let aside / To neglect
明るみに出された。|あかるみに だされた|It was brought to light
真髄|しんずい|True meaning / Mystery / Essence / Soul / Core
宿願|しゅくがん|Long standing desire
脱水症状|だっすいしょうじょう|Dehydration
迷彩|めいさい|Camouflage / Disguise
貿易収支の概括|ぼうえきしゅうしの がいかつ|Overview of trade balance
意固地（な）|いこじな|Another word for &quot;Stubborn&quot; - from Death Note
途上|とじょう|En-route / Halfway
強面|こわおもて|fierce look; frightening look; tough look
二つに一つ|ふたつに ひとつ|One of two (possibilities, alternatives, etc)
推薦|すいせん|Recommendation
追悼式|ついとうしき|Memorial Service
～いかんでは|いかんでは|Depending on / 次第で / によって
再起|さいき|Comeback / Recovery
書架|しょか|bookshelf; bookcase
棄権者|きけんしゃ|non-voter
上目遣い|うわめづかい|upturned eyes
手のひら|てのひら|palm
拘置所|こうちしょ|Detention house / Prison
目覚まし時計は今やわき役?|ましめざましどけいは いまやわき やく|Are normal alarm clocks now playing second fiddle?
意を決する|いを けっする|To ready oneself / to resolve
雪がちらちら降っている|ゆきがちらちら ふっている|A light snow is falling
用を足す|ようを たす|(1) to take care of some business; to go on an errand; (2) to relieve oneself; t
