通信|つうしん|Correspondence / Communication
後退灯|こうたい とう|Backup light / reversing light
震源地|しんげんち|Epicentre (of earthquake)
業火|ごうか|Hell fire
小癪な|こしゃくな|Saucy / Cheeky
重々しい|おもおもしい|Serious / Grave
～ごとく　Grammar|ごとく|Basically means のように
床ずれ|とこずれ|Bedsores
雨垂れ|あまだれ|Raindrops
特異点|とくいてん|singularity, singular point
熱を伝える|ねつを つたえる|to conduct heat
暖冬|だんとう|Warm winter
代金には規定の手数料が含まれます。|だいきんには きていの てすうりょうが ふくまれます|Our price includes a set handling fee.
物知り|ものしり|knowledgeable person
特務機関|とくむきかん|Secret service / Secret military agency
絶大|ぜつだい|Supreme / Immeasureable
その試合は雨のため、延期を余儀なくされた|その しあいは あめのため えんきを よぎなくされた|Due to the rain, the game had to be postponed
そこが目の付け所だ|そこが めの けつけどころだ|That's the point to consider
復讐|ふくしゅう|Revenge
父のいびきは大きいんだ。|ちちのいびきは おおきいんだ|My father snores loudly.
歯を矯正する|はを きょうせいする|To have braces
ここを根拠地となす。|ここを こんきょちとなす|They make this place a base of operation.
湧き出る|きわきでる|To gush forth
しみじみ|しみじみ|Fully / Keenly / Heartily
あなたの言葉を心に留めておきます|あなたの ことばを こころに とめておきます|I will keep your words in my heart
赤いバラが萎れてしまった|あかいが しおれてしまった|The red rose has wilted
嗅ぎまわる|かぎまわる|To sniff around / To snoop around / To nose about
見なす|みなす|To consider / regard something (as something, one way)
航路|こうろ|Course / Route / Run
舞台裏|ぶたいうら|Offstage / Backstage / Behind the scenes
彼女は作り笑いを浮かべた|かのじょは りつくりわらいを うかべた|A forced smile flickered on her face
悪銭|あくせん|Ill gotten money
彼女の名を騙る|かのじょの なを かたる|Assume her name / personate
土日|どにち|Saturday and Sunday / Another word for weekend
彼は彼女の人柄に好感を持った|かれは かのじょの ひとがらに こうかんを もった|He had a good feeling about her character
残滓|ざんし|remains; dregs; vestiges; remnant; residue
瀕する|ひんする|to be on the verge of; to be about to; to be on the point of
弾片|だんぺん|shrapnel, shell or bullet fragment
貯水池|ちょすいち|reservoir
消去法|しょうきょほう|(process of) elimination
動脈|どうみゃく|Artery
東洋|とうよう|The East
残忍|ざんにん|Cruelty / Atrocity / Brutality
ともすると (Grammar!)|ともすると|Prone to X / Liable to X / Apt to X
何気ない|なにげない|Casual / Unconcerned
感謝祭|かんしゃさい|Thanksgiving (US holiday)
古典|こてん|Classics
弾ける|はじける|To burst open / To split open
草履|ぞうり|Japanese footwear sandals, super japanesey ones
波紋|はもん|Ripple / Ring on the water
ワカメ||wakame (species of edible brown seaweed)
茶目|ちゃめ|(1) playful; mischievous; (n) (2) joker; prankster; scamp; rascal; (3) brown eye
火達磨|ひだるま|body covered with flames
画帳|がちょう|picture album
異種交配|いしゅこうはい|crossbreeding
潜り込む|りもぐりこむ|To slip into / to crawl into / to conceal oneself (under)
無難|ぶなん|Safety / Security (safer to not bother learning chinese!)
おしおき|おしおき|Punishment / Scolding
爪跡|つめあと|Fingernail mark / scratch / after-effects
この歌は一昔前に流行りました|この うたは ひとむかしまえに はやりました|This song was popular some years ago
気兼ね|きがね|Constraint / Hesitation
臨戦態勢|りんせんたいせい|War preparation
天文学|てんもんがく|Astronomy
大ざっぱ|おおざっぱ|Rough (as in not precise) / Broad / Sketchy
表計算|ひょうけいさん|Spread sheet (ie MS Excel)
ニキビ||Acne / Pimple
彼を救うには一時の猶予もなかった|かれを すくうには いちじの ゆうよもなかった|There was not a moments grace to save him
彼女は盲腸の手術を受けた|かのじょは もうちょうの しゅじゅつを うけた|She had an appendectomy
平定|へいてい|Suppression / Repression / Subjugation
完封|かんぷう|Complete blockade (seal) / baseball shutout
返納|へんのう|returning (to the authorities); restoring
残留|ざんりゅう|Stay behind / Stay back / Residual (Drogba staying at Chelsea)
ぞんざい|ぞんざい|rough, rude
野次馬|やじうま|Curious onlookers&nbsp;
略語|りゃくご|Abbreviation
従う|したがう|To abide by the rules / obey / follow
じっと|じっと|Without moving / still
多様|たよう|Many types
言い合い|いいいあい|ANOTHER word for &quot;quarrel&quot; or &quot;argue&quot;
馴染ませる|なじませる|To domesticate / To make fit in / To mix thoroughly and evenly
釈明|しゃくめい|Explanation / Vindication
追随|ついずい|Follow
当座|とうざ|1. for the time being, for the present, temporarily, for a time2. immediate, cur
剣豪|けんごう|Great Swordsman
彼は均整がとれた顔立ちをしている|かれは きんせいがとれた かおだちをしている|He has symmetrical facial features
大目|おおめ|Large eyes
和綴じ|わとじ|Japanese-style bookbinding
醸成|じょうせい|1. brewing, fermenting2. arousing, causing, creating, bringing about
親心|おやごころ|Parental Love
補助教材|ほじょ きょうざい|Teaching aids
色白|いろじろ|Fair skinned / light complexion
紋章|もんしょう|Crest / Coat of arms (on the big door)
語呂|ごろ|Sound (of a sentence) / Euphony
飛沫感染|ひまつかんせん|spray/droplet infection
嵩|かさ|bulk; volume; quantity
靴べら|くつべら|shoehorn
火山灰|かざんばい|Volcanic ash
万人に受け入れられている考え|まん にんに けうけいれられている かんがえ|A universally accepted idea
一足先|ひとあしさき|One step ahead
心行く|こころゆく|To be completely satisfied or contented
識別する|しきべつする|To distinguish / Recognise / Tell apart
勃発|ぼっぱつ|Outbreak / Outburst / Sudden occurrence
逆説的に言えば、彼は正しい。|ぎゃくせつてきに いえば かれは ただしい|Paradoxically, he is right
つじつまが合う|つじつまが あう|to be consistent; to be coherent
ベニヤ板|いた|plywood
ゲス野郎|やろう|sleazebag, asshole, shithead, lowlife
兵隊が銃をかまえていたよ。|へいたいが じゅうをかまえていたよ|The soldier was holding the gun at the ready.
飲み干す|みのみほす|To drink down&nbsp;
熱帯夜|ねったいや|Sweltering night / Night in which temperature doesnt fall below 25 degrees
彼の容態は日増しに良くなっている|かれの ようだいは ひましに よくなっている|His condition is improving day by day
掛け持ち|けかけもち|Holding two or more positions concurrently (orchestra!)
近所|きんじょ|Another word for &quot;neightbourhood&quot; - this is the one Erina used. I reck
打ちのめす|うちのめす|To knock down / To beat (someone) up
気高い|けだかい|saintly、angelic、saintlike、sainted、angelical、beatific、noble、high-flown、grand、high
悶える|もだえる|To be in agony
介在|かいざい|mediation; interposition; intervention
取っ手|っとって|Door handle
下書き|したがき|Draft (think of your phone!)
敵う|てきう|To match / compare to (ie, be as good as someone)
競い合う|いきそいあう|To compete with / to vie for (the robot sushi business)
