耐性|たいせい|Resistance (eg to antibiotics)
野良犬|のらいぬ|stray dog
底抜け上戸|そこぬけ じょうご|extremely heavy drinker, insatiable drinker
象徴|しょうちょう|Symbol / Symbolize
器具|きぐ|Utensil / Implement
控えめ|ひかえめ|Modest / Moderate / Conservative (requirements for a husband? :))
緊迫|きんぱく|Tension / Electric
推論|すいろん|Inference / Deduction (ie type deduction in Scala)
肉声|にくせい|natural voice (without a microphone)
魘される|うなされる|To have a nightmare / To make a noise during a nightmare
彼の死は我が社にとって大きな痛手であった。|かれの しは がわがしゃにとって おおきな いたでであった|His death was a great loss to our firm.
分骨|ぶんこつ|&nbsp;(n,vs) part of a person's ashes
一日の長|のいちじつのちょう|Superiority
駆け巡る|かけ めぐる|To run about /　To rush about
提灯|ちょうちん|Japanese lantern
集う|つどう|To meet / To assemble / To congregate
にわか講師なので苦労した|にわか こうしなので くろうした|I had a hard time because I was just improvising as a teacher
同音|どうおん|The same pronunciation / 同じ発音 / The same pitch 同じ音程
無碍|むげ|Free from obstacles
殺める|あやめる|to wound; to murder
春たけなわ|はるたけなわ|spring is in full swing, height of spring (esp. in April), peak of spring
渇き|かわき|Thirst (seems this character interchangeable with normal one)
切っての|きっての|The most .... of all
夜型の生活|よるがたの せいかつ|Night owl lifestyle
独裁的|どくさいてき|dictatorial
アバウト||1. approximate (number), rough (calculation)2. sloppy (person), lackadaisical
機影|きえい|sight (signs) of an aeroplane (airplane)
取り合う|りとりあう|To take each others hands / To clasp hands
人一倍|ひといちばい|More than others / redoubled / unusual
所得税は収入に応じて課税される|しょとくぜいは しゅうにゅうに おうじて かぜいされる|The amount of tax we must pay is dependent on our income
耳寄り|みみより|Ear grabbing / Hot / Welcoming / Encouraging
文革|ぶんかく|Cultural revolution
浮き彫りになる|きうきぼりになる|To become distinct / thrown into relief?
血の痕跡を残してはならない|ちの こんせきを のこしてはならない|I must not leave even the slightest trace of blood
書式付け|しょしきつけ|formatting
いい加減|いい かげん|Irresponsible / half-baked
介す|かいす|To use as an intermediary / to assist / to mediate
厳重注意|げんじゅうちゅうい|Reprimand / Stern warning
密偵|みってい|Spy / Emissary
彼は声は低音が魅力です|かれは こえは ていおんが みりょくです|His deep voice is entrancing
根付く|ねつく|To take root / To strike
縦穴|たてあな|Pit / Shaft (that you crawl down in ff7)
筆跡|ひっせき|Handwriting
交流会|こうりゅうかい|Cultural exchange
決議|けつぎ|Resolution / Vote / Decision
頼りにする|たよりにする|To rely on
奔走する|ほんそうする|Running about / Efforts / Activity
偏る|かたよる|Be one sided / deviate
総合職|そうごうしょく|General Management (Professional career track)
価格表|かかくひょう|Price list
果たす|はたす|To carry out / perform / fulfill
拝む|おがむ|To worship
飛ばす|とばす|Fly / Shoot
麻薬組織|まやくそしき|Drug cartel / Drug syndicate
修士課程|しゅうしかてい|Masters course
素麺|そうめん|Thin wheat noodles (the white ones from 結婚できない男)
門戸|もんこ|Door
熟練工|じゅくれんこう|Skilled workman / master mechanic
煌めく|きらめく|to glitter; to glisten; to sparkle; to twinkle; to glare; to gleam
泡だて器|あわだて き|eggbeater, whisk
前転|ぜんてん|forward somersault, forward roll
茶道|さどう|Tea Ceremony
タブる|る|to Duplicate / Repeat
辛辣|しんらつ|Bitter / Sharp / Acrimonious
凄腕|すごうで|Go-getter / Live wire / Resourceful person
民宿|みんしゅく|Private home providing lodging for travelers
専務|せんむ|Managing director
頭蓋骨|ずがいこつ|Skull / Cranium
氷嚢|ひょうのう|ice bag, ice pack
淫声|いんせい|screams produced during sex
取り上げる|りとりあげる|take up, confiscate
油井|ゆせい|Oil well
血反吐|ちへど|bloody vomit
お茶汲み|お ちゃくみ|serving tea (esp. at a company), tea server, tea lady
雇う|やとう|To employ / hire
生存本能|せいぞんほんのう|Survival Instinct
そのビルには最初の防犯装置が備わっています|そのには さいしょの ぼうはん そうちが そなわっています|This building is equipped with the latest crime prevention devices
釈然|しゃくぜん|Well satisfied with an explanation / to have ones heart completely cleard of dou
イクナイ||not good, bad
盛んになる|さかんになる|to prosper; to flourish; to thrive; to become popular; to become widespread
恋敵|こいがたき|one's rival in love
固定|こてい|Stability / Fixed (Fixed salary / regular customer etc)
日にち|ひにち|date, number of days (I nearly finished iknow ... cant be much more of this shit
叱咤|しった|Scolding / Rebuke / Reprimand (vivi from the rat kid)
組み伏せる|くみ ふせる|to hold (someone) down, to pin down, to wrestle to the ground
幻聴|げんちょう|auditory hallucination
静脈|じょうみゃく|Vein 末梢の毛細血管網から血液を心臓に向けて送る血管。小・中静脈を経て上下の大静脈となり、心臓に戻る。動脈に比べて壁が薄く、中静脈以降には弁があって逆流を防
任命される|にんめいされる|To be appointed / nominated / designated (more referees at football games)
ケチつける|つける|To find fault with / to rain on ones parade / to nitpick / quibble
命懸け|いのちがけ|Risking ones life / Life and death / Risky / Desperate
読者層|どくしゃそう|Class of readers (ie the young people)
彼は克明に働く|かれは こくめいに はたらく|He is faithful to his duties
金品|きんぴん|Money and goods
専門的|せんもんてき|Professionally
手元|てもと|At hand
戯言|たわごと|Nonsense / Bullshit
疎遠|そえん|Estrangement / Neglect / Silence
くすくすと笑う|くすくすと わらう|To chuckle / giggle
棍棒|こんぼう|A stick / club / bludgeon (early day cricket bat etc)
挑戦的|ちょうせんてき|Challenging
続出|ぞくしゅつ|One after another
あわよくば|あわよくば|&nbsp;(exp) if there is a chance; if possible; if circumstances permit; if thing
表立つ|おもてだつ|To become public / To be known
煮えたぎる|にえたぎる|to boil, to be boiling hot, to be on a rolling boil
軌道に乗る|きどうに のる|To be on track / To be going to plan
母は女手ひとつで子供五人を育てた。|ははは おんなでひとつで こども にんを そだてた|My mother brought up five kids all by herself.
思い直す|いおもいなおす|To re-think / To think back upon / To change ones mind
目線|めせん|Ones gaze / From the point of view of
彼の服装は一風変わっている|かれの ふくそうは いっぷう かわっている|His clothes are eccentric
聞き流す|きききながす|To ignore
口利き|くちきき|&nbsp;(1) mediation; good offices; intervention; mediator; middleman; (2) influe
生姜焼き|しょうがやき|pork fried with ginger
うっかり者|うっかり もの|careless person; absentminded person; thoughtless person
軟弱な|なんじゃくな|Physically weak, also used for things like prone to sickness
始発|しはつ|First departure
質素|しっそ|Simple / Modest / Frugal
短編|たんぺん|Short [film, Story etc]
思い込み|いおもいこみ|Wrong impression / Subjective impression / assumption / prejudice
政治家は国民のために奉仕すべきだ。|せいじかは こくみんのために ほうしすべきだ|A politician should serve the people
X に言わせれば|に いわせれば|In X's opinion ...
