橋梁|きょうりょう|Bridge
罰点|ばってん|cross mark; demerit mark; an X
思い者|おもい もの|heavy object; something heavy (literally or figuratively)
Nuance: 思い者 literally 
放置|ほうち|Neglect / Leave
太極拳|たいきょくけん|Tai-chi (martial art)
正規表現|せいきひょうげん|(computer) Regular Expression
現下|げんか|The present time / Current
～もさることながら|もさることながら|Even more than A, not only, &nbsp;[A]もさることながら[B] expresses that [B] is of greate
病気を未然に防ぐのは簡単ではない|びょうきを みぜんに ふせぐのは かんたんではない|It is not easy to prevent sickness beforehand
配給|はいきゅう|Distribution (of a film etc) / Rationing (food etc)
街宣車|がいせんしゃ|Right wing propoganda truck
印|しるし|Mark / Symbol (not&nbsp;&nbsp;記号)
複写|ふくしゃ|Copy
一企業人|きぎょう じん|One businessman
結合|けつごう|Combination / Union
非の打ちどころのない|ひの うちどころのない|Spotless / Perfect / Impeccable / Beyond reproach
来たす|きたす|To cause / To induce / To bring about a result or state
眩い|まばゆい|Dazzling / Glaring / Dazzlingly beautiful
企業は利益を社会に還元するべきだ|きぎょうは りえきを しゃかいに かんげんするべきだ|Companies should return profits to society
卑怯者|ひきょうもの|A coward (the proper word i expect, not&nbsp;&nbsp;度胸のない)
別れ話|れわかればなし|Talk about divorce or separation
奉じる|ほうじる|&nbsp;(1) to present; to dedicate; (2) to obey; to follow; to believe in; to ser
肩慣らし|かたならし|warming up; limbering up
明示|めいじ|explicit statement; specification
堕する|だする|to degenerate, to lapse into
区分け（する）|くわけする|To classify / sort
括弧の部分は省略できます。|かっこの ぶぶんは しょうりゃくできます|The part in parentheses can be omitted.
自棄|やけ|Desperation
行政書士|ぎょうせいしょし|notary public; paralegal qualified to prepare legal documents on administrative 
～を以て　（文法）|を もって ぶんぽう|at (time / momen) 期限を表す。～でThis is a formal expression.It is often used as a gree
聴衆から歓声があがった。|ちょうしゅうから かんせいがあがった|A cheer went up from the audience
迫力満点|はくりょくまんてん|Full impact / Packing a punch
殺戮|さつりく|Slaughter / Massacre
追突|ついとつ|Collision
根強い|ねづよい|Firmly rooted / Deep seated
駆け込む|けかけこむ|To rush in (at the last minute) / To stampede
店子|たなこ|Tenant
忠言逆耳|ちゅうげん ぎゃく じ|Good advice is harsh to the ear
岩登り|いわのぼり|rock climbing
悪口を言う|わるぐちを いう|To talk behind someones bank
到底|とうてい|(not) possibly, utterly
小屋|こや|Hut / Cabin / Shed
夜行性|やこうせい|Nocturnal habit
渋る|しぶる|To hesitate / To be reluctant
中傷合戦|ちゅうしょうかっせん|mud-slinging (e.g. in a political campaign), mud-slinging match, smear campaign,
病欠|びょうけつ|absence due to illness, sick leave
幼虫|ようちゅう|larva, grub, maggot
詰まる|つまる|To get stuffed / become blocked
陰徳|いんとく|secret charity
下腹|かふく|Abdomen / Stomach (careful not to mean くだりばら　Which means diarrhoea..)
全盛時代|ぜんせいじだい|Golden age
酌|しゃく|Pouring alcohol
よそ行き|よそ いき|Best behaviour / Formal / going out
大逆|だいぎゃく|High treason
悶死|もんし|death in agony
振り上げる|りふりあげる|To raise overhead
彼の連絡先を方々に問い合わせたんだ|かれの れんらくさきを かたがたに いといあわせたんだ|I inquired everywhere for his contact information (note, different reading..)
未練がある|みれんがある|Lingering attachment (cannot stop thinking about, cannot get out of ones mind)
採血する|さいけつする|To take a blood sample
汚れ|よごれ|dirt / spot / blemish / stain
塵も積もれば山となる|ちりも つもれば やまとなる|A penny saved is a penny earned (literally, even dust accumulates into a mountai
卸売り|おろしうり|Wholesale
軍国主義|ぐんこくしゅぎ|Militarism
直向に|ひたむきに|Earnest / Single-minded
とやかく言う|とやかく いう|To find fault with / to say all kinds of things
滝壺|たきつぼ|Basin under a waterfall
多作|たさく|(ant: 寡作) prolific (writer, artist, etc.); productive; (n,vs) (2) producing many
首府|しゅふ|その国をおさめる役所のある都市
苦しめる|くるしめる|Torment / trouble
秘める|ひめる|To hide / To keep to oneself
法務省|ほうむしょう|Ministry of justice
あたかも　Grammar|あたかも|Same as まるで　。　For the part of "as if"
船賃|ふなちん|Fare / Freight
水入らず|みずいらず|By themselves / With no one else
先行する|せんこうする|To precede / go before X
一息|ひといき|Pause / Rest / One breath
垣間見る|かいまみる|To take a peep at / to catch a glimpse of
反旗|はんき|Banner of revolution / Standard of revolt
国連総会は停戦決議案を採択した。|こくれんそうかいは ていせん けつぎあんを さいたくした|The United Nations General Assembly adopted the cease-fire resolution
男児|だんじ|Boy / Son&nbsp;
卸す|おろす|To sell wholesale
看取る|みとる|To care for the sick
無酸素運動|むさんそうんどう|anaerobic exercise
討論する|とうろんする|To debate
塩、コショウはよく使われる調味料です。|しおはよく つかわれる ちょうみりょうです|Salt and pepper are commonly used seasonings.
塗装する|とそうする|Another word for &quot;to paint&quot;
村落|そんらく|village; hamlet; settlement
根抵当権|ね ていとうけん|revolving mortgage
代名詞|だいめいし|Pronoun
上腕二頭筋|じょうわんにとうきん|Biceps
名残|なごり|Remains / Traces / Memory
失踪|しっそう|Disappearance
和製英語|わせいえいご|Japanese word constructed of elements from one or more English terms, pseudo-Eng
火傷|かしょう|A burn / Scald
接岸|せつがん|Coming alongside a pier or quay
轢く|ひく|to run over (with a vehicle), to knock down
編む|あむ|To knit
放送|ほうそう|Broadcast
公害|こうがい|Pollution
まとめ|まとめ|summary
黒のドレスに赤いスカーフが映えますね|くろのに あかいが はえますね|A red scarf looks especially attractive with a black dress
その老人は俗世界から超然としている。|その ろうじんは ぞくせかいから ちょうぜんとしている|The old man stands aloof from this world.
彼には気を許すな。|かれには きを ゆるすな|Be on your guard against him
本懐を遂げる、宿志を遂げる|ほんかいを とげる しゅくしを とげる|to attain one's cherished object
互換|ごかん|1. interchange2. transposition3. compatible (e.g. PC)
物事|ものごと|Thing / Matter
誇らしい|ほこらしい|Proud / Arrogant / Splendid
下等|かとう|Inferior / Low grade
朝寝坊|あさねぼう|Oversleeping / Late riser
法令|ほうれい|Laws and ordinances / Acts (of parliament etc)
梅|うめ|Japanese Plum / Apricot
午後5時には電灯がつきます。|ごご  じには でんとうがつきます|The light will be turned on at 5:00 pm.
非合理|ひごうり|Illogicality
ネコババ||The act of hiding something and pretending like you know nothing about it, espec
娘が始めて寝返りしました|むすめが はじめて ねがえりしました|My daughter rolled over for the first time
睾丸|こうがん|Testicles / Balls
疾風迅雷|しっぷうじんらい|with lightning speed
線画|せんが|Line drawing
即戦力|そくせんりょく|ready fire-power; battle-ready forces; immediate asset (to a team or firm); some
異世界|いせかい|another world (esp. in fiction); otherworld; parallel universe; different-dimens
